N	4gram	Vygotskiy_	Analitik
1	состоит в том что	1	7
2	не что иное как	1	6
3	одного и того же	1	6
4	в том что он	3	4
5	в том или ином	1	4
6	одной и той же	3	3
7	с этой точки зрения	2	2
8	в такой же мере	1	2
9	один и тот же	1	2
10	заключается в том что	8	2
11	одно и то же	3	2
12	одна и та же	2	1
13	прибавим к этому что	1	1
14	и эти два плана	1	1
15	и в самом деле	14	1
16	в том случае если	4	1
17	от начала к концу	1	1
18	будем иметь дело с	1	1
19	том и заключается что	1	1
20	достигает своего апогея в	1	1
21	до тех пор пока	2	1
22	в том смысле что	1	1
23	в той же мере	1	1
24	к тому или иному	1	1
25	в таком случае это	1	1
26	всего романа в целом	1	1
27	мы уже говорили о	1	1
28	свидетельствует о том что	1	1
29	в том и заключается	1	1
30	речь идет о том	1	1
31	как мы постараемся сейчас	1	1
32	и вместе с тем	3	1
33	только в том что	1	1
34	то же самое что	2	1
35	том что он не	2	1
36	состоит в том чтобы	1	1
37	или во всяком случае	2	1
38	ни одна из них	1	1
39	может быть определена как	1	1
40	в самом деле в	1	1
41	как это имеет место	1	1
42	до такой степени что	1	1
43	это имеет место в	2	1
44	одна из них не	1	1
45	мы будем иметь дело	1	1
46	сказанного выше следует что	1	1
47	мы видим что в	1	1
48	не в том что	1	1
49	ответ на этот вопрос	1	1
