N	3gram	Tiupa_Anal	FransuaR
1	то же время	7	55
2	в то же	7	55
3	мы уже говорили	1	43
4	в том что	12	27
5	до сих пор	1	27
6	в большинстве случаев	1	22
7	с точки зрения	2	20
8	в этом отношении	3	20
9	для того чтобы	1	17
10	о том что	7	17
11	в связи с	1	16
12	то есть в	1	15
13	но и в	2	15
14	жизни и смерти	1	15
15	и прежде всего	2	14
16	не может быть	2	13
17	дело в том	3	13
18	с одной стороны	3	13
19	на самом деле	1	13
20	с другой стороны	7	12
21	в отличие от	5	11
22	можно сказать что	2	11
23	в той или	2	10
24	той или иной	6	10
25	как и в	6	10
26	в данном случае	11	10
27	в значительной степени	3	10
28	в конце концов	1	10
29	не только в	5	10
30	мы видим что	1	9
31	по отношению к	9	9
32	так и в	1	9
33	до известной степени	3	9
34	и т.п в	1	9
35	в свое время	4	9
36	таким образом в	1	8
37	после того как	1	8
38	и т.п все	1	8
39	в самом деле	1	7
40	в то время	1	7
41	включает в себя	2	7
42	можно было бы	1	7
43	подобно тому как	3	7
44	к тому же	7	6
45	и в особенности	1	6
46	в свою очередь	7	6
47	в применении к	1	5
48	и в эпизоде	1	5
49	и в этой	1	5
50	в одной из	2	5
51	комедии дель арте	1	5
52	во всяком случае	6	5
53	и тот же	1	5
54	в первом случае	1	5
55	только то что	1	5
56	как бы в	1	5
57	как раз в	1	5
58	в этой системе	2	5
59	и так сказать	1	5
60	в основе своей	2	5
61	и той же	2	4
62	в частности и	1	4
63	по ту сторону	1	4
64	в одном из	1	4
65	не нуждается в	1	4
66	свое отражение в	1	4
67	на этот вопрос	1	4
68	в первой части	1	4
69	и то что	2	4
70	в самом начале	1	4
71	что и в	1	4
72	не могла не	1	4
73	во втором случае	1	4
74	одной и той	2	4
75	как раз и	1	4
76	в тарасе бульбе	3	4
77	но он не	1	4
78	это уже не	1	4
79	один и тот	1	4
80	же время в	2	4
81	и как бы	2	3
82	друг от друга	1	3
83	в сущности не	1	3
84	смысле этого слова	1	3
85	в особенности же	1	3
86	между тем как	1	3
87	не только не	3	3
88	и того же	4	3
89	уже говорили о	1	3
90	у шекспира и	1	3
91	со всех сторон	1	3
92	дело здесь не	4	3
93	в целом ряде	1	3
94	но дело в	1	3
95	смерти старого и	1	3
96	так и на	1	3
97	нового времени в	1	3
98	как бы ни	1	3
99	в этом смысле	1	3
100	в себя момент	2	3
101	одного и того	4	3
102	именно потому что	1	3
103	хотя и в	1	3
104	о том какое	1	3
105	тех или иных	1	3
106	в пределах одной	1	3
