N	2gram	Voloshinov	BTomashe
1	у нас	1	3
2	все это	4	2
3	в ней	1	2
4	можно было	1	2
5	и не	4	2
6	вопрос о	1	1
7	говорить о	2	1
8	творчества и	1	1
9	и о	2	1
10	со всем	1	1
11	не только	7	1
12	таким образом	9	1
13	в эпоху	1	1
14	прежде всего	9	1
15	и в	16	1
16	на самом	4	1
17	так и	4	1
18	оно сплошь	1	1
19	в своей	2	1
20	во всяком	3	1
21	и потому	3	1
22	за пределы	2	1
23	говорить об	1	1
24	по крайней	3	1
25	как часть	1	1
26	с другой	1	1
27	уничтожается это	1	1
28	совершенно не	8	1
29	крайней мере	3	1
30	всяком случае	3	1
31	было бы	2	1
32	не следует	1	1
33	точно и	1	1
34	и ее	4	1
35	чем на	1	1
36	почти совершенно	2	1
37	в пределах	2	1
38	в данном	1	1
39	в области	3	1
40	его не	1	1
41	а не	1	1
42	отнюдь не	4	1
43	как всякий	1	1
44	и на	4	1
45	между ними	3	1
46	еще не	5	1
47	все же	1	1
48	что в	3	1
