N	3gram	Berdyaev_N	Tvorches
1	в том что	1	11
2	о том что	1	8
3	не может быть	4	6
4	в наше время	3	5
5	до сих пор	1	4
6	сами по себе	1	3
7	в отличие от	1	3
8	это значит что	1	3
9	во всяком случае	1	3
10	как и в	1	3
11	с другой стороны	2	3
12	и не может	1	3
13	это не значит	2	2
14	заключает в себе	1	2
15	в том числе	1	2
16	не значит что	3	2
17	том числе и	1	2
18	не могут быть	1	2
19	в высшей степени	6	2
20	в известном смысле	1	2
21	не в силах	1	2
22	никогда не было	2	2
23	вместе с тем	2	2
24	в свою противоположность	1	2
25	так же как	2	2
26	не только в	1	2
27	от других людей	1	2
28	переходит в свою	1	2
29	лишь в том	1	1
30	к этой теме	1	1
31	как будто бы	1	1
32	это тем что	1	1
33	не менее чем	1	1
34	быть понята как	1	1
35	по своему духовному	1	1
36	мы говорим о	1	1
37	он не может	2	1
38	прежде всего они	1	1
39	от жизни в	1	1
40	и мы не	1	1
41	и потому что	1	1
42	к самой жизни	2	1
43	и того же	1	1
44	потому что не	1	1
45	в нем нет	2	1
46	о том чтобы	1	1
47	большую роль в	2	1
48	к вопросу о	1	1
49	исторической эпохи и	2	1
50	в том и	2	1
51	равно как и	2	1
52	и должно быть	2	1
53	но и в	1	1
54	он создает себе	1	1
55	других людей и	1	1
56	в том смысле	1	1
57	века с ее	1	1
58	но она не	1	1
59	это связано с	1	1
60	до этого быть	1	1
61	то что в	1	1
62	и не в	1	1
63	он не имел	1	1
64	но и потому	1	1
65	с одной стороны	2	1
66	в то время	1	1
67	со всех сторон	3	1
68	я не могу	1	1
69	можно было бы	1	1
70	только потому что	1	1
71	не только потому	1	1
72	есть прежде всего	1	1
73	что в нем	2	1
74	же как и	1	1
75	одного и того	1	1
76	добро и зло	1	1
77	и в истории	1	1
78	в каком-то новом	1	1
79	играют большую роль	1	1
80	вопрос о том	2	1
81	это и есть	1	1
82	ни в чем	1	1
83	себя на место	1	1
84	людей и от	1	1
