N	4gram	Nazirov_Tv	Marksizm
1	в то же время	18	15
2	бы то ни было	1	12
3	одного и того же	1	9
4	но в то же	5	9
5	на самом же деле	1	5
6	и не может быть	2	5
7	каких бы то ни	1	4
8	все более и более	1	3
9	в том числе и	1	3
10	в таком случае это	1	2
11	одна и та же	1	2
12	нет и не может	1	2
13	так же как и	1	2
14	не что иное как	1	1
15	самом же деле этот	1	1
16	отнюдь не сводится к	1	1
17	дело в том что	4	1
18	мы уже говорили что	1	1
19	и добро и зло	1	1
20	а вместе с тем	1	1
21	по мере приближения к	1	1
22	или во всяком случае	1	1
23	том же году по	1	1
24	не сами по себе	1	1
25	с другой стороны и	1	1
26	в соответствии с этим	1	1
27	одну и ту же	1	1
28	то же время он	2	1
29	то же время они	1	1
30	в том же году	2	1
31	что у нас не	1	1
32	лежащая в основе всех	1	1
33	и в свою очередь	1	1
