N	2gram	Bakhtin_Pr	Problemy
1	и в	83	106
2	и не	41	90
3	как бы	27	70
4	может быть	23	66
5	в его	15	56
6	в этом	24	52
7	в нем	21	51
8	чужое слово	7	49
9	не может	18	49
10	из подполья	6	48
11	как и	13	44
12	что он	6	44
13	у достоевского	30	43
14	точки зрения	17	40
15	но и	16	40
16	для него	1	39
17	и его	13	39
18	а не	19	38
19	о себе	2	37
20	то же	10	36
21	не только	14	36
22	в пределах	8	35
23	то что	14	33
24	но в	12	33
25	прежде всего	20	32
26	он не	5	29
27	в то	8	29
28	чужого слова	1	29
29	все это	11	29
30	и все	14	28
31	в одном	4	27
32	не в	10	27
33	к себе	8	26
34	же время	8	26
35	в самом	7	25
36	и с	10	25
37	к нему	3	25
38	с точки	13	25
39	в сущности	15	25
40	себе самому	7	25
41	с самим	7	24
42	не как	5	24
43	вовсе не	12	24
44	героя и	3	24
45	рядом с	2	23
46	и на	27	23
47	слова и	5	23
48	по себе	3	22
49	в каждом	5	22
50	что я	2	22
51	таким образом	9	22
52	там где	3	21
53	как мы	12	21
54	все же	3	20
55	никогда не	10	20
56	только в	10	20
57	потому что	9	20
58	что в	5	19
59	достоевского в	12	19
60	с его	4	19
61	отношению к	5	19
62	слова в	3	19
63	уже не	5	18
64	по отношению	6	18
65	в себе	10	18
66	еще не	10	18
67	о нем	2	18
68	на самом	2	18
69	но не	9	18
70	все эти	9	18
71	и к	13	17
72	себе самом	2	17
73	самим собою	6	17
74	с ним	3	17
75	а в	4	17
76	в том	22	17
77	это не	10	17
78	так и	9	17
79	человека из	2	17
80	так же	4	16
81	если бы	1	16
82	в своей	5	16
83	этом смысле	5	16
84	в другом	1	16
85	о мире	1	15
86	у него	5	15
87	третьего типа	3	15
88	до конца	3	15
89	и для	5	15
90	достоевского не	3	15
91	чужим словом	2	15
92	и наконец	4	15
93	и сам	1	14
94	на чужое	2	14
95	в своем	2	14
96	как раз	6	14
97	в конце	5	14
98	а как	4	14
99	другого человека	1	14
100	в отношении	3	14
101	слово героя	2	14
102	себя самого	3	14
103	так как	12	14
104	я не	6	14
105	он и	2	14
106	лишь в	1	14
107	но все	1	13
108	на него	2	13
109	точка зрения	1	13
110	с другими	6	13
111	его в	4	13
112	большинстве случаев	9	13
113	в мире	8	13
114	и это	3	13
115	достоевского и	8	13
116	героя в	2	13
117	роман достоевского	2	13
118	в романе	9	13
119	себя и	3	13
120	перед нами	17	13
121	в романах	5	13
122	творчестве достоевского	6	13
123	романа достоевского	1	13
124	в большинстве	9	13
125	в целом	3	13
126	при этом	6	12
127	даже в	3	12
128	отношении к	2	12
129	достоевского как	1	12
130	и как	1	12
131	и даже	5	12
132	чужому слову	1	12
133	и слово	2	12
134	к тому	2	12
135	во всяком	2	12
136	в котором	8	12
137	авторское слово	1	12
138	к чужому	1	12
139	что и	4	12
140	не знает	8	12
141	так сказать	8	12
142	себе и	2	12
143	мире достоевского	2	12
144	так что	1	12
145	для достоевского	5	12
146	и что	3	12
147	за пределы	7	12
148	было бы	6	12
149	между тем	2	12
150	как в	10	12
151	том что	9	12
152	но это	7	12
153	ничего не	8	12
154	слово в	5	12
155	в одной	4	12
156	последнее слово	2	12
157	в плане	3	12
158	пределах одного	6	11
159	тем что	2	11
160	их в	3	11
161	входит в	1	11
162	с другой	4	11
163	ни одного	1	11
164	он сам	5	11
165	должно быть	4	11
166	это слово	1	11
167	слово и	2	11
168	бы в	2	11
169	видения и	3	11
170	мы уже	9	11
171	в форме	6	11
172	не могут	4	11
173	в двойнике	1	11
174	дело идет	1	11
175	бы и	3	11
176	так чтобы	1	11
177	этого слова	3	11
178	своему предмету	2	11
179	сознания и	1	11
180	она не	4	11
181	произведениях достоевского	4	11
182	или как	1	11
183	рассказа в	1	11
184	как будто	3	11
185	конце концов	1	11
186	а я	3	11
187	более того	9	11
188	самого начала	5	10
189	авторского слова	1	10
190	слово не	1	10
191	в произведении	3	10
192	что не	1	10
193	сих пор	8	10
194	свой предмет	3	10
195	в него	4	10
196	до сих	8	10
197	с собою	1	10
198	в слове	2	10
199	идеи в	2	10
200	в творчестве	8	10
201	герой достоевского	1	10
202	достоевский в	3	10
203	той же	6	10
204	в самой	2	10
205	романах достоевского	7	10
206	к одному	2	10
207	творчества достоевского	13	10
208	далеко не	4	10
209	лишь как	1	10
210	отношение к	14	10
211	в той	2	9
212	зрения на	1	9
213	другой стороны	3	9
214	в них	4	9
215	хотя бы	6	9
216	достоевского но	4	9
217	друг с	6	9
218	ивана карамазова	4	9
219	хотя и	10	9
220	но он	3	9
221	с самого	4	9
222	точек зрения	1	9
223	из одного	2	9
224	могут быть	5	9
225	в единство	1	9
226	всяком случае	1	9
227	ни в	4	9
228	самим собой	1	9
229	да и	3	9
230	героев достоевского	5	9
231	романе достоевского	2	9
232	или в	7	9
233	раз и	2	9
234	и потому	6	9
235	человека в	6	9
236	же и	1	8
237	авантюрный сюжет	9	8
238	в результате	2	8
239	произведений достоевского	8	8
240	и до	6	8
241	о том	3	8
242	мы увидим	1	8
243	художественного видения	2	8
244	чужой голос	3	8
245	все время	2	8
246	из них	7	8
247	переходим к	1	8
248	и он	5	8
249	несмотря на	3	8
250	но как	2	8
251	одним из	6	8
252	здесь не	5	8
253	и у	8	8
254	первого типа	1	8
255	и от	4	8
256	мы должны	4	8
257	нам кажется	4	8
258	должна быть	1	8
259	что это	2	8
260	тон и	2	8
261	в человеке	1	8
262	не на	1	8
263	самого достоевского	1	8
264	в монологическом	1	8
265	с ними	2	8
266	и так	4	8
267	в диалоге	1	8
268	наконец в	3	8
269	из его	1	8
270	его целом	1	8
271	достоевского нет	1	8
272	в произведениях	2	8
273	уже в	3	8
274	того что	1	8
275	это и	1	8
276	же не	2	8
277	с их	3	8
278	в стилизации	2	8
279	менее всего	4	8
280	романов достоевского	3	8
281	с другом	6	8
282	в стиле	1	8
283	то перед	5	8
284	знает и	1	8
285	и о	3	8
286	бы он	1	8
287	от него	3	7
288	устную речь	3	7
289	уже говорили	3	7
290	тем как	1	7
291	мысли и	2	7
292	в виду	3	7
293	на свой	2	7
294	в жизни	14	7
295	к самому	5	7
296	отличается от	2	7
297	и со	1	7
298	вопрос о	1	7
299	в себя	8	7
300	о достоевском	1	7
301	только на	3	7
302	сказать что	12	7
303	что все	3	7
304	что она	2	7
305	от себя	1	7
306	что они	2	7
307	все его	3	7
308	это я	1	7
309	не было	5	7
310	голосов и	1	7
311	не о	2	7
312	героя с	1	7
313	я все	1	7
314	как его	2	7
315	лишь на	3	7
316	между ними	14	7
317	себя как	2	7
318	в этих	8	7
319	и следовательно	1	7
320	во всех	15	7
321	полифонического романа	2	7
322	кажется что	3	7
323	если же	5	7
324	друг другу	1	7
325	и др	18	7
