N	3gram	Medvedev_U	VrazhdaK
1	то же время	3	4
2	в то же	3	4
3	в том что	2	2
4	не может быть	4	2
5	но в то	1	2
6	не было бы	1	1
7	а между тем	2	1
8	в известном письме	1	1
9	в конце концов	2	1
10	еще один пример	1	1
11	равно как и	1	1
12	в той же	1	1
13	но это не	1	1
14	на то что	1	1
15	по нашему мнению	3	1
16	и в то	1	1
17	по крайней мере	2	1
18	в этом смысле	2	1
19	и то что	2	1
20	до сих пор	2	1
21	или по крайней	1	1
22	на первый план	1	1
23	с другой стороны	3	1
24	на первый взгляд	1	1
25	тем что он	1	1
26	в этом отношении	2	1
27	все же не	1	1
