N	4gram	Tiupa_Narr	VerxiiNi
1	в том числе и	1	4
2	бы то ни было	1	2
3	с этой точки зрения	1	2
4	в то же время	7	2
5	до сих пор еще	1	2
6	в том виде в	1	2
7	точно так же как	1	2
8	состоит в том что	5	1
9	которые к тому же	1	1
10	самое следует сказать и	1	1
11	то же самое происходит	1	1
12	том виде в каком	1	1
13	то же самое следует	2	1
14	и т.д вплоть до	2	1
15	и в то же	2	1
16	одного и того же	2	1
17	же самое следует сказать	1	1
18	еще и потому что	1	1
19	следует сказать и о	1	1
20	здесь говорить не приходится	1	1
21	в том или ином	1	1
22	один и тот же	1	1
