N	2gram	Vygotskiy_	Otkroven
1	у него	9	22
2	человеческой природы	1	20
3	и в	55	19
4	и не	19	13
5	но и	16	13
6	в этом	30	12
7	человека в	3	11
8	а не	16	11
9	не только	24	11
10	не в	12	11
11	может быть	34	11
12	вопрос о	6	10
13	и все	15	10
14	в нем	13	10
15	потому что	48	9
16	прежде всего	6	9
17	не было	2	9
18	в самой	1	9
19	никогда не	15	9
20	и он	7	8
21	он был	3	8
22	нет ничего	1	7
23	от него	5	7
24	в его	8	7
25	он не	10	7
26	но он	6	7
27	до конца	7	7
28	все это	8	6
29	как и	9	6
30	в самом	18	5
31	в том	50	5
32	для него	5	5
33	него в	1	5
34	в этой	15	5
35	а в	7	5
36	до самого	2	5
37	отношение к	1	5
38	в россии	1	5
39	о его	1	5
40	то что	69	5
41	что в	43	4
42	и мысли	1	4
43	того чтобы	43	4
44	есть лишь	1	4
45	не может	15	4
46	него и	1	4
47	всегда есть	1	4
48	что не	5	4
49	человек и	1	4
50	все эти	5	4
51	на земле	1	4
52	в легенде	2	4
53	и его	10	4
54	он сам	1	4
55	в романах	1	4
56	с его	6	4
57	только одно	1	3
58	в русской	1	3
59	и от	2	3
60	все что	1	3
61	как художник	1	3
62	и вот	7	3
63	хотя бы	5	3
64	это не	9	3
65	для того	45	3
66	с ним	4	3
67	мысли и	1	3
68	когда он	10	3
69	романах достоевского	1	3
70	быть может	1	3
71	в этих	3	3
72	не могут	4	3
73	в своих	9	3
74	как бы	33	3
75	было бы	15	3
76	сердце в	1	3
77	могут быть	8	3
78	в себе	13	3
79	человек был	1	3
80	и есть	7	3
81	что он	30	3
82	самой глубины	1	3
83	никто не	4	3
84	различие между	1	3
85	это было	4	3
86	нем нет	3	3
87	и ее	1	3
88	о том	24	3
89	того что	12	3
90	к нему	1	3
91	еще не	6	3
92	всего в	1	2
93	и к	5	2
94	как к	1	2
95	и потому	8	2
96	так и	6	2
97	что они	11	2
98	тогда уже	1	2
99	и то	12	2
100	но никогда	1	2
101	в душе	2	2
102	все же	11	2
103	что у	7	2
104	был еще	1	2
105	не могли	4	2
106	он восклицает	1	2
107	так как	20	2
108	и очень	5	2
109	должно быть	6	2
110	к этой	2	2
111	даже и	2	2
112	к ней	3	2
113	человека все	1	2
114	его не	2	2
115	для всякого	1	2
116	и ни	4	2
117	уже в	7	2
118	ничто не	1	2
119	любовь к	1	2
120	в другом	3	2
121	совсем не	3	2
122	личности и	1	2
123	так что	8	2
124	в своем	12	2
125	на периферии	2	2
126	с тем	10	2
127	и из	3	2
128	с которой	2	2
129	в которой	4	2
130	ее в	2	2
131	о которой	1	2
132	не все	3	2
133	и этим	1	2
134	одно из	1	2
135	что и	11	2
136	для человека	1	2
137	которую он	2	2
138	от самого	1	2
139	в уста	3	2
140	человеческая природа	1	2
141	в истории	1	2
142	ума и	1	2
143	его в	2	2
144	должен был	7	2
145	чем в	3	2
146	их не	2	2
147	ко всем	2	2
148	мысль о	5	2
149	вместо того	1	2
150	и с	3	2
151	что же	1	2
152	те которые	1	2
153	и там	2	2
154	частью в	1	2
155	он в	3	2
156	и о	5	2
157	природы и	1	2
158	сказать что	14	2
159	настолько же	1	2
160	что для	6	2
161	тем что	8	2
162	него не	1	2
163	что есть	3	2
164	чего это	1	2
165	и на	12	2
166	сложнее и	1	2
167	в других	1	2
168	с чем	3	2
169	учение о	1	2
170	что все	12	2
171	ничего не	4	2
172	хотя и	1	2
173	не есть	4	2
174	в своей	8	2
175	по себе	13	2
176	не имеет	2	2
177	к этому	5	2
178	и никогда	1	2
179	самого конца	2	2
180	том что	46	2
181	и душа	1	2
182	и для	13	2
183	что ведь	1	2
184	не занят	1	2
185	в ее	3	2
186	подойти к	1	2
187	но в	7	2
188	и нет	1	2
189	вопросом о	1	2
190	уже с	2	1
191	чтобы сделать	2	1
192	и изображает	1	1
193	что было	1	1
194	мысли он	1	1
195	ближе к	2	1
196	во всем	3	1
197	этой и	1	1
198	один когда	1	1
199	в каждом	2	1
200	если вы	2	1
201	во всяком	2	1
202	не так	4	1
203	ко всему	1	1
204	ни к	1	1
205	он указывает	3	1
206	видели в	1	1
207	его и	2	1
208	попал в	1	1
209	совершенно ином	1	1
210	во внешнем	2	1
211	совершенно не	11	1
212	смерть и	1	1
213	был чисто	1	1
214	все и	2	1
215	том случае	1	1
216	а потому	1	1
217	то он	2	1
218	людского племени	1	1
219	ее и	1	1
220	умереть в	1	1
221	но оно	1	1
222	нет такого	1	1
223	которой все	2	1
