N	2gram	Medvedev_S	PoTuStor
1	может быть	2	17
2	и в	3	16
3	таким образом	2	9
4	в этом	5	9
5	прежде всего	1	9
6	и только	3	9
7	не может	1	8
8	и его	1	8
9	не только	3	7
10	я и	1	6
11	конечно не	1	6
12	все эти	1	5
13	только для	1	5
14	в чем	1	5
15	еще не	2	5
16	как бы	2	5
17	в него	1	5
18	все это	7	4
19	в его	3	4
20	так и	1	4
21	его в	1	4
22	только в	2	4
23	и не	1	4
24	но и	2	4
25	хотя бы	1	4
26	в этой	1	4
27	отнюдь не	1	4
28	и наконец	1	4
29	в том	5	3
30	те же	1	3
31	между ними	1	3
32	в конечном	1	3
33	и как	1	3
34	что в	2	3
35	том что	2	3
36	в этих	1	3
37	во всяком	1	3
38	и потому	1	3
39	только как	2	3
40	по крайней	1	3
41	даже не	1	3
42	а в	1	3
43	то что	2	3
44	и есть	1	3
45	в области	1	3
46	всяком случае	1	3
47	крайней мере	1	3
48	и мы	2	2
49	они не	1	2
50	мы не	1	2
51	что это	1	2
52	в область	1	2
53	для нас	3	2
54	но как	1	2
55	у него	1	2
56	в них	1	2
57	все то	1	2
58	конечном счете	1	2
59	между собою	1	2
60	из тех	1	2
61	но ведь	3	2
62	как и	1	2
63	что он	1	2
64	только то	1	2
65	в своей	1	2
66	на первый	1	2
67	между собой	1	2
68	с помощью	1	2
69	в частности	2	2
70	за пределы	2	2
71	было бы	2	2
72	и о	1	2
73	в систему	1	2
74	что на	1	2
75	о том	1	2
76	один из	1	2
77	и по	1	2
78	с ним	1	2
79	для этого	1	2
80	то же	2	2
81	никогда не	1	2
82	науки о	1	1
83	дает нам	1	1
84	построение не	1	1
85	с одной	1	1
86	это и	2	1
87	но именно	1	1
88	в сущности	1	1
89	не должна	1	1
90	основной вопрос	1	1
91	ведь это	2	1
92	связи с	1	1
93	психологии и	1	1
94	на этот	1	1
95	столь же	1	1
96	именно и	1	1
97	в свои	1	1
98	но не	1	1
99	и им	1	1
100	в конце	2	1
101	в связи	1	1
102	зависит от	1	1
103	случае только	1	1
104	есть метод	1	1
105	в мире	1	1
106	все же	1	1
107	перейти к	1	1
108	на все	1	1
109	по самому	1	1
110	в смысле	2	1
111	же законы	1	1
112	полагает что	1	1
113	вовсе не	1	1
114	что эти	1	1
115	опираясь на	1	1
116	а с	1	1
117	в данном	1	1
118	первый план	1	1
119	наука о	1	1
120	и история	1	1
121	наконец в	1	1
122	одной стороны	1	1
123	не дает	1	1
124	быть не	1	1
125	различает два	1	1
126	как совокупность	1	1
127	перенес в	1	1
128	и что	2	1
129	где же	1	1
130	ни одно	1	1
131	только когда	1	1
132	не место	1	1
133	с другой	1	1
134	это же	1	1
135	же самое	1	1
136	правда он	1	1
137	к изучению	1	1
138	она может	2	1
139	главным образом	2	1
140	расти и	1	1
141	и благодаря	1	1
142	бы он	1	1
143	что она	1	1
144	право на	1	1
145	их на	1	1
146	эти два	1	1
147	мы должны	1	1
148	мы еще	1	1
149	ничего не	1	1
