N	2gram	Bakhtin_Pr	NovoeSre
1	а не	30	17
2	не может	31	16
3	и в	59	16
4	совсем не	1	12
5	нового времени	4	12
6	и не	66	11
7	и есть	6	10
8	что в	14	9
9	истории и	1	9
10	в том	17	8
11	как не	9	8
12	жизни и	21	8
13	он не	11	8
14	в этом	40	7
15	может быть	38	7
16	не будет	1	7
17	как и	21	7
18	воля к	2	6
19	ни в	5	6
20	не знает	5	6
21	не в	10	6
22	лишь в	4	6
23	высшей степени	2	6
24	с его	14	6
25	но это	7	6
26	в высшей	2	6
27	никогда не	19	6
28	и к	5	5
29	не только	26	5
30	в ней	8	5
31	все это	12	5
32	в жизни	7	5
33	в нем	38	5
34	с ее	5	5
35	должен быть	1	5
36	перестает быть	4	4
37	и потому	9	4
38	не во	3	4
39	со всех	2	4
40	должно быть	4	4
41	воли к	1	4
42	потому что	20	4
43	это не	13	4
44	прежде всего	17	4
45	в них	5	4
46	то что	21	4
47	не было	5	4
48	новое время	1	4
49	и все	4	4
50	не менее	3	4
51	не имеет	2	4
52	и для	5	4
53	эпохи и	1	4
54	о том	5	4
55	наше время	1	4
56	к лицу	1	3
57	верить в	1	3
58	во всех	8	3
59	вопрос о	4	3
60	и пр	3	3
61	должна быть	4	3
62	она не	9	3
63	тому как	5	3
64	в ее	4	3
65	смысле слова	1	3
66	что такое	1	3
67	в прошлом	1	3
68	лицом к	1	3
69	за пределы	10	3
70	стремится к	1	3
71	конечно не	7	3
72	подобно тому	5	3
73	в истории	3	3
74	не существует	1	3
75	в новое	1	3
76	в духе	3	3
77	с другой	3	3
78	в основе	6	3
79	к ним	3	3
80	в россии	1	3
81	сказать что	9	3
82	наряду с	1	3
83	всех сферах	1	3
84	не значит	4	3
85	не есть	2	3
86	в своей	17	3
87	в мире	10	3
88	как в	10	3
89	жизни в	3	3
90	перейти к	1	3
91	но и	22	3
92	это было	3	3
93	жизни не	1	3
94	к тому	1	3
95	человека и	2	3
96	еще не	11	3
97	от всякого	1	2
98	с этим	2	2
99	все они	4	2
100	народ русский	1	2
101	центр тяжести	1	2
102	и от	3	2
103	еще до	1	2
104	и весь	1	2
105	культуры нового	1	2
106	это и	10	2
107	силы и	1	2
108	и что	2	2
109	не могли	3	2
110	на протяжении	3	2
111	что она	6	2
112	не имеют	1	2
113	и было	1	2
114	зависит от	1	2
115	и заключается	1	2
116	познания и	1	2
117	с одной	1	2
118	хотя бы	5	2
119	такого рода	1	2
120	мы не	3	2
121	нем нет	1	2
122	того чтобы	5	2
123	вот почему	3	2
124	хотя и	1	2
125	переход к	1	2
126	так и	13	2
127	нашего времени	1	2
128	как это	2	2
129	самой жизни	2	2
130	я называю	1	2
131	этот мир	3	2
132	если нет	2	2
133	человека во	1	2
134	думать что	1	2
135	силы над	1	2
136	можно было	5	2
137	и должно	1	2
138	ни одна	2	2
139	другой стороны	3	2
140	времени и	1	2
141	с их	9	2
142	этом смысле	12	2
143	том и	2	2
144	у него	9	2
145	место в	2	2
146	свободы и	1	2
147	а в	9	2
148	будет и	1	2
149	все время	4	2
150	и даже	4	2
151	и формы	1	2
152	в свои	2	2
153	и с	10	2
154	по существу	5	2
155	жизни как	1	2
156	для этого	4	2
157	нет и	4	2
158	xviii века	1	2
159	равно как	1	2
160	капитализм и	1	2
161	могут быть	5	2
162	в себе	9	2
163	том чтобы	1	2
164	переживает кризис	1	2
165	и на	15	2
166	быть в	2	2
167	уже не	14	2
168	мира а	1	2
169	я не	7	2
170	не знал	1	2
171	века но	1	2
172	что все	5	2
173	время как	2	2
174	времени в	2	2
175	духа в	1	2
176	все эти	12	2
177	есть в	10	2
178	же как	5	2
179	такой же	1	2
180	жизни ни	1	2
181	вместе с	2	2
182	который в	2	2
183	общества и	1	2
184	одна из	4	2
185	нового типа	2	2
186	мира и	8	2
187	роль в	2	2
188	как будто	4	2
189	но не	13	2
190	в то	15	2
191	в новом	1	2
192	том что	15	2
193	бытия в	3	2
194	мир и	6	2
195	так же	10	2
196	и это	5	2
197	в смысле	4	2
198	но для	2	2
199	себя в	5	2
200	но в	7	2
201	и т.п	8	2
202	мысли в	2	2
203	мысли и	5	2
204	формы и	1	2
205	не к	1	2
206	к более	2	2
207	к содержанию	1	2
208	т.п так	1	1
209	в той	9	1
210	все в	7	1
211	всех своих	1	1
212	она сама	1	1
213	своего рода	1	1
214	мир не	1	1
215	и мир	4	1
216	на основах	1	1
217	в самом	19	1
218	лишь там	2	1
219	во всем	1	1
220	к одному	1	1
221	мир все	1	1
222	времени он	1	1
223	дальнейшее развитие	2	1
224	но те	1	1
225	было так	1	1
226	они являются	1	1
227	ее на	1	1
228	и того	1	1
229	от нее	1	1
230	но тут	1	1
231	что совершается	1	1
232	до этого	1	1
233	его принципом	1	1
234	во внешних	1	1
235	последних вопросов	1	1
236	сами не	1	1
237	и просвещения	1	1
238	шекспира и	2	1
239	может иметь	1	1
240	на западе	2	1
241	можно сказать	3	1
242	то он	3	1
243	все что	6	1
244	человека в	8	1
245	социальной жизни	2	1
246	то они	2	1
247	во все	5	1
248	и быть	1	1
249	в более	1	1
250	это конечно	1	1
251	до сих	3	1
252	мире а	3	1
253	бы к	2	1
254	и более	2	1
255	бы он	3	1
256	в котором	6	1
257	по природе	4	1
258	по преимуществу	3	1
259	и мира	1	1
260	значение в	1	1
261	и всех	2	1
262	тоже не	2	1
263	то это	1	1
264	ее он	3	1
265	выходит за	2	1
266	ничем не	2	1
267	в статье	1	1
268	отличие от	3	1
269	мир в	4	1
270	приблизиться к	1	1
271	от жизни	1	1
272	и переживает	1	1
273	нет ни	5	1
274	возможно лишь	1	1
275	же и	2	1
276	сам себя	1	1
277	конечно есть	1	1
278	нельзя сказать	1	1
279	они не	5	1
280	из них	8	1
281	бог чтобы	1	1
282	он стремится	4	1
283	к ней	1	1
284	земная жизнь	1	1
285	все еще	2	1
286	также что	1	1
287	случае если	1	1
288	о человеке	2	1
289	мы уже	4	1
290	жизни а	2	1
291	которая в	1	1
292	переходит в	2	1
293	он легко	1	1
294	то никогда	1	1
295	бесконечные и	1	1
296	в высшем	2	1
297	не могу	1	1
298	уже в	9	1
299	эти слова	1	1
300	на ее	2	1
301	кризис и	1	1
302	и про	1	1
303	к себе	2	1
304	суждено было	2	1
305	в свою	1	1
306	в значительной	1	1
307	и имеет	1	1
308	в состоянии	1	1
309	для себя	5	1
310	из этих	2	1
311	во всяком	5	1
312	том числе	1	1
313	можно лишь	1	1
314	смысле в	1	1
315	не хочу	2	1
316	платоновском смысле	1	1
317	одну из	1	1
318	с миром	2	1
319	путь которым	1	1
320	в человеческом	1	1
321	но во	1	1
322	природе своей	3	1
323	для того	3	1
324	в каких	1	1
325	людей но	1	1
326	не по	3	1
327	быть не	1	1
328	вся жизнь	1	1
329	не для	1	1
330	нужно признать	1	1
331	церковь как	1	1
332	капиталистического общества	1	1
333	истину и	2	1
334	и правды	1	1
335	единого духа	4	1
336	лишь для	1	1
337	более всего	1	1
338	в этот	2	1
339	это уже	1	1
340	он и	9	1
341	должны перейти	1	1
342	что вся	1	1
343	или нет	1	1
344	было бы	10	1
345	мы должны	6	1
346	в сущности	11	1
347	о самом	1	1
348	не должна	1	1
349	материализмом с	1	1
350	в его	44	1
351	значительной степени	1	1
352	он стремился	1	1
353	от этой	1	1
354	и групп	1	1
355	истории как	1	1
356	но ведь	4	1
357	значение для	2	1
358	должны быть	1	1
359	и через	2	1
360	и их	7	1
361	говорить о	3	1
362	не с	1	1
363	вступает в	5	1
364	всего как	1	1
365	бытия и	1	1
366	и ему	1	1
367	есть и	2	1
368	у нас	2	1
369	вот этой	1	1
370	и когда	1	1
371	для них	3	1
372	существу своему	1	1
373	не столько	3	1
374	совершенно так	2	1
375	других людей	1	1
376	с другими	11	1
377	часто не	1	1
378	людей и	2	1
379	к ложным	1	1
380	значение они	1	1
381	себя на	2	1
382	ни одно	1	1
383	в виду	2	1
384	или к	2	1
385	не больше	1	1
386	еще в	1	1
387	в мир	4	1
388	форме он	1	1
389	превращается в	4	1
390	и до	5	1
391	иная форма	1	1
392	и религиозном	1	1
393	слова а	3	1
394	жизнь не	1	1
395	нет никакого	1	1
396	весь мир	1	1
397	духа как	1	1
398	чтобы эти	1	1
399	привела к	1	1
400	только в	15	1
401	борьбу за	1	1
402	не на	6	1
403	не могут	6	1
404	под этим	2	1
405	по своей	1	1
406	от того	4	1
407	в нее	1	1
408	он есть	5	1
409	него как	1	1
410	от других	2	1
411	чего он	1	1
412	что образ	2	1
413	в зависимости	5	1
414	которое можно	1	1
415	творчества и	2	1
416	в большинстве	3	1
417	жизненные вопросы	1	1
418	оно не	2	1
419	замкнутости и	1	1
