N	4gram	Losev_Vlad	EvropaiC
1	бы то ни было	1	3
2	но вместе с тем	1	2
3	в то же время	7	2
4	в то время как	2	1
5	не говоря уже о	3	1
6	в том что он	2	1
7	не в том что	1	1
8	как мы сказали выше	1	1
9	одно и то же	1	1
10	в конце концов в	1	1
11	вместе с тем и	1	1
12	говоря уже о том	1	1
13	дело в том что	7	1
14	и не может быть	1	1
15	и в конце концов	1	1
16	а в том что	1	1
17	о том что он	2	1
18	в том виде в	1	1
19	уже о том что	1	1
20	нет и не может	1	1
21	одной и той же	1	1
22	то что у него	1	1
23	также и то что	2	1
24	а может быть и	1	1
