N	4gram	Medvedev_F	Vvedenie
1	той мере в какой	1	6
2	в той мере в	1	6
3	в то же время	13	6
4	не что иное как	1	5
5	в широком смысле слова	1	4
6	с одной стороны и	4	3
7	в том отношении что	1	3
8	но в то же	3	3
9	есть не что иное	1	3
10	с этой точки зрения	1	2
11	текста и т д	1	2
12	в том или ином	1	2
13	то же время в	1	1
14	как если бы оно	2	1
15	именно в этом пункте	1	1
16	и прежде всего в	1	1
17	в этом смысле и	1	1
18	в собственном смысле этого	1	1
19	может быть и речи	1	1
20	в строгом смысле этого	1	1
21	может быть и не	2	1
22	большей или меньшей степени	1	1
23	было бы сказать что	1	1
24	в связи с этим	4	1
25	не сам по себе	1	1
26	в том смысле что	2	1
27	бы то ни было	1	1
28	в зависимости от того	1	1
29	но вместе с тем	1	1
30	можно и должно изучать	1	1
31	в большей или меньшей	1	1
32	заключается в том чтобы	1	1
33	собственном смысле этого слова	1	1
34	и в конце концов	1	1
35	мы имеем в виду	1	1
36	которая сама по себе	1	1
37	с тем что в	1	1
38	не может быть и	2	1
39	если бы оно было	2	1
40	мере в какой они	1	1
41	не говоря уже о	1	1
42	и в этом отношении	1	1
43	том смысле в каком	1	1
44	в самом широком и	1	1
