N	2gram	Trubetskoy	IolandNe
1	и с	7	3
2	что в	4	2
3	самого себя	7	2
4	он не	5	2
5	должен быть	1	2
6	и не	19	2
7	в этом	17	2
8	неудивительно что	1	1
9	говорить о	3	1
10	все эти	2	1
11	для того	6	1
12	а в	5	1
13	и о	2	1
14	же это	1	1
15	за границей	1	1
16	у всех	1	1
17	что для	3	1
18	для него	6	1
19	тех же	1	1
20	тем что	3	1
21	бы его	2	1
22	а если	1	1
23	того же	1	1
24	не так	2	1
25	и задача	1	1
26	жизни и	4	1
27	с другой	1	1
28	но когда	1	1
29	было не	1	1
30	он с	1	1
31	значительной мере	2	1
32	очевидно что	1	1
33	себя в	4	1
34	могло бы	1	1
35	то и	1	1
36	что при	1	1
37	как только	1	1
38	если бы	6	1
39	отношению к	1	1
40	бы все	1	1
41	доказать что	1	1
42	по существу	5	1
43	данной личности	1	1
44	того что	3	1
45	а с	2	1
46	стало быть	1	1
47	только для	2	1
48	и тот	2	1
49	так и	1	1
50	личности для	1	1
51	в основе	1	1
52	в значительной	3	1
53	и серьезно	2	1
54	от этого	1	1
55	того чтобы	8	1
56	и без	1	1
57	бы в	1	1
58	и ничего	1	1
59	а по	1	1
60	есть только	1	1
61	и в	14	1
62	его личности	1	1
63	никогда не	5	1
64	все это	6	1
65	по отношению	2	1
66	нисколько не	2	1
67	придется не	1	1
