N	2gram	Losev_Vlad	Problema
1	и в	56	182
2	то есть	5	165
3	и не	33	152
4	вовсе не	8	145
5	то что	30	144
6	не есть	4	113
7	не только	35	104
8	потому что	16	89
9	в этом	30	88
10	может быть	12	82
11	в том	26	81
12	том что	22	81
13	не просто	1	80
14	только в	11	73
15	сказать что	14	72
16	но и	26	70
17	в виде	4	69
18	у нас	11	68
19	также и	13	68
20	и даже	23	66
21	по себе	3	64
22	даже и	12	63
23	не менее	9	58
24	о том	13	57
25	тем не	8	56
26	а не	5	56
27	так и	11	56
28	но в	19	55
29	так что	13	52
30	ни в	4	51
31	для нас	9	50
32	в себе	5	48
33	отнюдь не	3	48
34	и вообще	12	48
35	при помощи	1	47
36	было бы	7	46
37	прежде всего	5	45
38	в своей	7	45
39	что в	24	44
40	в его	18	44
41	не в	12	43
42	все эти	6	43
43	то же	10	42
44	а именно	4	42
45	как раз	7	42
46	таким образом	6	42
47	и что	11	40
48	и то	13	40
49	что он	22	40
50	так как	11	40
51	что мы	2	40
52	во всяком	8	39
53	не может	12	39
54	такого рода	4	39
55	и тем	2	39
56	в этой	4	39
57	как бы	5	39
58	в данном	1	38
59	в стихотворении	3	38
60	хотя бы	5	37
61	никак не	6	37
62	в нем	7	37
63	того что	6	37
64	точки зрения	4	36
65	есть нечто	2	36
66	еще не	2	36
67	и все	8	36
68	когда мы	2	35
69	и т	3	35
70	уже не	6	34
71	и с	27	34
72	как и	7	34
73	указывает на	2	34
74	же самое	1	33
75	в таком	2	33
76	т д	3	33
77	здесь не	6	32
78	в то	15	32
79	но не	5	32
80	едва ли	3	32
81	так же	4	31
82	в своем	10	31
83	связи с	7	31
84	что такое	3	31
85	в конце	22	31
86	но это	6	31
87	все это	7	31
88	ясно что	2	30
89	подобного рода	1	30
90	и для	4	30
91	с другой	3	30
92	настоящее время	2	30
93	в настоящее	2	30
94	в связи	9	29
95	некоторого рода	2	29
96	все же	11	29
97	можно сказать	10	29
98	перед нами	1	29
99	как мы	17	29
100	об этом	13	29
101	что же	11	28
102	мы не	2	28
103	а в	20	28
104	есть только	1	28
105	и о	6	28
106	и это	4	27
107	и как	7	27
108	хотя и	9	27
109	ничего общего	1	27
110	ничего не	4	27
111	в результате	6	26
112	другой стороны	3	26
113	крайней мере	1	26
114	да и	6	26
115	как будто	2	26
116	вместе с	9	26
117	по крайней	1	26
118	еще и	10	26
119	это не	3	26
120	и его	12	26
121	мы можем	1	25
122	и на	7	25
123	тем самым	2	25
124	всяком случае	8	25
125	с тем	4	24
126	на самом	1	24
127	тем более	4	24
128	в нашем	5	24
129	и вполне	4	24
130	не имеет	2	24
131	содержит в	1	23
132	по своему	5	23
133	на то	7	23
134	при этом	5	23
135	тут же	7	23
