N	2gram	Losev_Dial	PoTuStor
1	может быть	30	17
2	и в	35	16
3	и пр	7	12
4	таким образом	5	9
5	в этом	18	9
6	прежде всего	14	9
7	мы можем	5	9
8	и проч	1	9
9	и только	5	9
10	в психике	1	8
11	совершенно не	13	8
12	точки зрения	25	8
13	и с	10	8
14	не может	16	8
15	и его	6	8
16	не только	26	7
17	сказать что	19	7
18	и к	8	6
19	при этом	2	6
20	для него	2	6
21	самом деле	6	6
22	я и	3	6
23	и это	6	6
24	конечно не	9	6
25	с точки	18	6
26	что такое	13	5
27	ни в	20	5
28	все эти	4	5
29	только для	1	5
30	в чем	9	5
31	еще не	4	5
32	сознание и	1	5
33	как бы	19	5
34	отношение к	5	5
35	нуждается в	6	5
36	в него	2	5
37	а потому	3	4
38	все что	2	4
39	так как	24	4
40	все это	14	4
41	в его	4	4
42	мысли и	3	4
43	так и	18	4
44	на самом	5	4
45	его в	3	4
46	и даже	23	4
47	и все	11	4
48	с ними	4	4
49	только в	7	4
50	и не	51	4
51	но мы	3	4
52	можно сказать	10	4
53	с самого	2	4
54	но и	17	4
55	хотя бы	6	4
56	и может	7	4
57	и их	5	4
58	самого начала	2	4
59	в этой	3	4
60	как мы	5	4
61	мифов и	1	4
62	отнюдь не	13	4
63	в нем	25	4
64	в один	3	4
65	и ее	1	4
66	и наконец	1	4
67	но в	8	4
68	и вот	10	3
69	до сих	4	3
70	на язык	1	3
71	в том	20	3
72	мы знаем	1	3
73	с другими	2	3
74	с их	2	3
75	между ними	1	3
76	их в	2	3
77	отношения к	3	3
78	этом смысле	4	3
79	учение о	11	3
80	и как	14	3
81	что в	19	3
82	и она	1	3
83	том что	18	3
84	вместе с	3	3
85	на этом	4	3
86	в этих	6	3
87	мира и	2	3
88	сравнению с	2	3
89	и оно	2	3
90	во всех	3	3
91	во всяком	5	3
92	и потому	6	3
93	реальности и	2	3
94	в основе	4	3
95	и притом	7	3
96	тех же	1	3
97	только как	3	3
98	по сравнению	2	3
99	по крайней	11	3
100	и теперь	1	3
101	как это	8	3
102	только на	3	3
103	в одном	4	3
104	и значение	1	3
105	даже не	4	3
106	чем не	2	3
107	а в	8	3
108	то что	25	3
109	никаких оснований	1	3
110	и др	2	3
111	могут быть	6	3
112	и есть	20	3
113	сих пор	4	3
114	в общем	2	3
115	жизни и	9	3
116	в области	2	3
117	чувств и	1	3
118	всяком случае	3	3
119	во время	2	3
120	крайней мере	11	3
121	в самом	6	2
122	об его	2	2
123	мы видим	6	2
124	что оно	9	2
125	и этот	1	2
126	и мы	8	2
127	к другим	1	2
128	они не	3	2
129	почти не	3	2
130	мы не	1	2
131	с этой	3	2
132	ни было	2	2
133	что это	21	2
134	на этих	1	2
135	ее в	2	2
136	и говорить	4	2
137	может иметь	6	2
138	для нас	1	2
139	и этим	1	2
140	но как	7	2
141	что и	7	2
142	сознания и	8	2
143	быть может	5	2
144	сновидения и	1	2
145	у него	2	2
146	не на	1	2
147	не могут	4	2
148	со всеми	2	2
149	в душе	8	2
150	в них	4	2
151	а на	1	2
152	существует только	1	2
153	поэтому и	3	2
154	и других	1	2
155	эти понятия	1	2
156	все то	1	2
157	не знает	2	2
158	остается и	1	2
159	всех его	1	2
160	не нуждается	9	2
161	что не	13	2
162	и действительно	1	2
163	здесь же	1	2
164	вообще не	2	2
165	между собою	3	2
166	в жизни	3	2
167	из тех	1	2
168	но ведь	2	2
169	как и	10	2
170	что он	16	2
171	есть в	2	2
172	же как	3	2
173	не есть	67	2
174	только то	7	2
175	в своей	9	2
176	и так	2	2
177	в одно	5	2
178	связанные с	3	2
179	меньше всего	4	2
180	как с	2	2
181	по своему	4	2
182	себя и	1	2
183	только и	5	2
184	знаем что	2	2
185	не менее	5	2
186	на границе	1	2
187	в каком	10	2
188	путь к	1	2
189	три основных	1	2
190	нем нет	3	2
191	на первый	2	2
192	и вообще	10	2
193	на них	1	2
194	с этим	5	2
195	какое значение	1	2
196	при всей	1	2
197	к этому	2	2
198	оно не	2	2
199	не существует	8	2
200	что мы	3	2
201	это последнее	1	2
202	мы уже	8	2
203	другими словами	2	2
204	да еще	1	2
205	все остальные	1	2
206	из этих	2	2
207	совсем не	1	2
208	он не	5	2
209	и исторического	1	2
210	кажется что	1	2
211	в развитии	1	2
212	и образы	2	2
213	в частности	4	2
214	не будет	2	2
215	нечего и	2	2
216	оно и	1	2
217	социального и	1	2
218	для меня	5	2
219	и вся	1	2
220	говорить о	9	2
221	есть и	11	2
222	в науке	3	2
223	за пределы	4	2
224	как не	4	2
225	так же	6	2
226	и всех	4	2
227	потому и	2	2
228	этой теории	1	2
229	было бы	14	2
230	что можно	1	2
231	к ним	3	2
232	нет и	2	2
233	и о	4	2
234	своей жизни	1	2
235	если мы	3	2
236	в систему	1	2
237	с нею	3	2
238	что на	2	2
239	на высоте	1	2
240	о том	8	2
241	в голову	2	2
242	во всей	1	2
243	всю жизнь	2	2
244	явлений на	1	2
245	момент в	2	2
246	можем сказать	3	2
247	один из	3	2
248	и по	5	2
249	с ним	9	2
250	но это	12	2
251	в глубину	1	2
252	и для	2	2
253	для этого	2	2
254	того же	1	2
255	понятия и	1	2
256	то же	21	2
257	сделать это	1	2
258	не можем	1	2
259	никогда не	18	2
260	жизни но	1	1
261	к сожалению	2	1
262	мир не	1	1
263	во всем	3	1
264	они являются	1	1
265	об их	1	1
266	мире и	3	1
267	несколько слов	1	1
268	на почве	2	1
269	от нее	1	1
270	дает нам	2	1
271	представляет себе	1	1
272	что они	8	1
273	одних и	1	1
274	ни ее	3	1
275	и то	15	1
276	заметим что	1	1
277	и вместо	1	1
278	в единую	1	1
279	образом и	3	1
280	и законы	1	1
281	даны в	4	1
282	и здесь	1	1
283	та же	6	1
284	и содержания	1	1
285	мы и	3	1
286	к их	1	1
287	ли все	1	1
288	отцу и	1	1
289	мир в	1	1
290	же и	11	1
291	со всем	2	1
292	нельзя сказать	4	1
293	в коем	1	1
294	сознании а	1	1
295	данном случае	1	1
296	она как	1	1
297	только что	5	1
298	никаких сомнений	1	1
299	влечение к	1	1
300	живое существо	2	1
301	то я	4	1
302	было на	1	1
303	или только	1	1
304	лучше ли	2	1
305	время и	2	1
306	за собою	1	1
307	с одной	4	1
308	уже в	5	1
309	ним и	1	1
310	внимание на	1	1
311	во власти	1	1
312	же нужно	1	1
313	мог бы	3	1
314	тогда когда	6	1
315	ли так	1	1
316	есть прежде	1	1
317	в состоянии	2	1
318	вот она	1	1
319	не будем	1	1
320	одна и	5	1
321	мы имеем	4	1
322	еще более	3	1
323	это и	6	1
324	потом и	1	1
325	несмотря на	12	1
326	но именно	1	1
327	что мир	2	1
328	говорит и	1	1
329	понятием о	1	1
330	и философии	2	1
331	уже знаем	4	1
332	следует что	2	1
333	хотя и	4	1
334	а ведь	1	1
335	в разных	6	1
336	смысл и	6	1
337	сознания можно	1	1
338	а это	2	1
339	этом отношении	2	1
340	сохранить и	1	1
341	с тем	2	1
342	может совершенно	1	1
343	на какую-нибудь	1	1
344	имеем дело	1	1
345	в сущности	2	1
346	не должна	2	1
347	только не	2	1
348	никакому сомнению	1	1
349	как раз	7	1
350	времени не	1	1
351	говорит о	6	1
352	в качестве	2	1
353	и всегда	1	1
354	в полном	1	1
355	наслаждение и	1	1
356	здесь в	3	1
357	для них	1	1
358	и делает	1	1
359	и реальность	1	1
360	в виду	9	1
361	я не	9	1
362	подобно тому	1	1
363	весь мир	2	1
364	всей ее	1	1
365	что между	1	1
366	них и	2	1
367	можно было	5	1
368	как таковым	1	1
369	не связанное	1	1
370	сон в	1	1
371	сознания ни	1	1
372	религиозных и	1	1
373	свой метод	1	1
374	творчества и	1	1
375	самый предмет	1	1
376	современной нам	1	1
377	ведь это	3	1
378	как они	2	1
379	в своих	1	1
380	наконец мы	2	1
381	или прямо	2	1
382	мы на	2	1
383	связи с	3	1
384	не ясно	1	1
385	не их	1	1
386	нам в	1	1
387	этой точки	2	1
388	представляет собою	1	1
389	не более	1	1
390	если бы	12	1
391	столь же	1	1
392	оно ни	1	1
393	мы живем	2	1
394	сознания на	2	1
395	именно и	2	1
396	не говорит	4	1
397	и сам	1	1
398	от своего	1	1
399	имеет значение	1	1
400	с ней	2	1
401	и можно	3	1
402	и следа	1	1
403	жизнь в	2	1
404	в сознании	3	1
405	этим и	1	1
406	но эта	4	1
407	это мы	6	1
408	теперь мы	1	1
409	дело в	1	1
410	оно есть	5	1
411	месте и	1	1
412	и начинается	1	1
413	что угодно	2	1
414	он может	3	1
415	есть та	2	1
416	нужно только	1	1
417	но не	9	1
418	эти две	1	1
419	менее всего	1	1
420	и эта	3	1
421	форму и	2	1
422	быть только	3	1
423	как его	1	1
424	в глубине	1	1
425	в эпоху	2	1
426	уже совершенно	1	1
427	из того	2	1
428	а то	1	1
429	на другие	1	1
430	из всего	2	1
431	тот материал	1	1
432	вещей и	5	1
433	психики и	1	1
434	времени и	10	1
435	этом моменте	1	1
436	в конце	5	1
437	случае не	4	1
438	в корне	2	1
439	бы оно	1	1
440	случае нельзя	1	1
441	в связи	3	1
442	методами и	1	1
443	зависит от	1	1
444	и они	3	1
445	похож на	1	1
446	может стать	1	1
447	по смыслу	2	1
448	что по	3	1
449	самое и	1	1
450	душу и	1	1
451	есть метод	1	1
452	с теми	2	1
453	в мире	3	1
454	все же	9	1
455	всеми его	1	1
456	при таком	1	1
457	вообще всего	1	1
458	жизни в	1	1
459	том смысле	4	1
460	не что	4	1
461	от этого	5	1
462	мы только	1	1
