N	4gram	Bakhtin_Pr	Freidism
1	в то же время	3	6
2	мы можем сказать что	1	5
3	ни в чем не	2	4
4	как мы уже указывали	1	3
5	но в то же	1	3
6	и не может быть	1	3
7	самое приходится сказать и	1	2
8	не чем иным как	1	2
9	же самое приходится сказать	1	2
10	и тем не менее	1	2
11	бы то ни было	2	2
12	на самом же деле	1	2
13	то же самое приходится	1	2
14	все снова и снова	1	2
15	более того можно сказать	1	1
16	ни в коем случае	2	1
17	не могут быть поняты	1	1
18	чтобы войти в историю	1	1
19	в настоящее время в	1	1
20	во что бы то	1	1
21	и не нуждается в	1	1
22	бы то ни стало	1	1
23	да и теперь еще	1	1
24	не может быть конечно	1	1
25	не выходит за пределы	1	1
26	это и есть та	1	1
27	в коем случае не	2	1
28	должна быть понята и	1	1
29	не нуждается ни в	1	1
30	дело в том что	1	1
31	того можно сказать что	1	1
32	и быть не может	1	1
33	сказать и о других	1	1
34	приходится сказать и о	1	1
35	при этом условии мы	1	1
36	что бы то ни	1	1
37	явление в высшей степени	1	1
38	только при этом условии	1	1
39	не что иное как	1	1
40	и в то же	2	1
41	не может обойтись без	1	1
42	мы останавливаться не будем	1	1
43	есть не что иное	1	1
