N	2gram	Ircho_Kome	Problema
1	и в	40	182
2	то есть	1	165
3	и не	19	152
4	вовсе не	3	145
5	то что	8	144
6	не только	12	104
7	потому что	8	89
8	в этом	9	88
9	может быть	16	82
10	в том	19	81
11	том что	19	81
12	только в	6	73
13	сказать что	1	72
14	но и	14	70
15	в виде	3	69
16	у нас	3	68
17	также и	1	68
18	и даже	5	66
19	по себе	2	64
20	даже и	1	63
21	не менее	6	58
22	о том	12	57
23	тем не	3	56
24	а не	1	56
25	так и	17	56
26	но в	6	55
27	так что	6	52
28	ни в	9	51
29	в себе	3	48
30	отнюдь не	2	48
31	было бы	8	46
32	прежде всего	8	45
33	в своей	3	45
34	что в	12	44
35	в его	8	44
36	не в	8	43
37	все эти	1	43
38	то же	7	42
39	как раз	4	42
40	таким образом	13	42
41	если мы	1	42
42	и что	2	40
43	что он	11	40
44	так как	6	40
45	во всяком	4	39
46	не может	3	39
47	такого рода	6	39
48	и тем	2	39
49	в этой	9	39
50	как бы	3	39
51	той или	1	38
52	в данном	1	38
53	хотя бы	2	37
54	в нем	8	37
55	того что	1	37
56	точки зрения	7	36
57	еще не	7	36
58	и все	4	36
59	и т	11	35
60	в виду	2	34
61	и с	8	34
62	как и	12	34
63	указывает на	2	34
64	же самое	2	33
65	в таком	1	33
66	не является	2	33
67	т д	4	33
68	или иной	1	33
69	в то	14	32
70	но не	3	32
71	едва ли	16	32
72	так же	4	31
73	в своем	6	31
74	связи с	3	31
75	в конце	7	31
76	но это	2	31
77	все это	7	31
78	ясно что	9	30
79	и для	4	30
80	с другой	7	30
81	в связи	3	29
82	все же	7	29
83	перед нами	1	29
84	художественный образ	2	29
85	как мы	5	29
86	об этом	2	29
87	что же	2	28
88	данном случае	1	28
89	мы не	4	28
90	а в	9	28
91	и о	3	28
92	и это	3	27
93	и как	3	27
94	хотя и	6	27
95	ничего не	4	27
96	в результате	5	26
97	другой стороны	6	26
98	да и	5	26
99	как будто	3	26
100	вместе с	8	26
101	еще и	2	26
102	это не	2	26
103	и его	17	26
104	мы можем	6	25
105	и на	9	25
106	тем самым	1	25
107	всяком случае	4	25
108	с тем	5	24
109	на самом	1	24
110	тем более	1	24
111	в нашем	2	24
112	и вполне	1	24
113	не имеет	1	24
114	по своему	5	23
115	на то	3	23
116	при этом	5	23
117	тут же	2	23
118	в качестве	8	23
119	и притом	2	23
120	конце концов	4	23
121	а только	1	23
122	то и	3	23
123	мы находим	2	23
124	и к	2	22
125	только на	2	22
126	и является	1	22
127	сам по	1	22
128	его в	6	22
129	и от	2	22
130	и если	2	22
131	что и	10	22
132	в самом	5	21
133	и ее	5	21
134	говорить о	3	21
135	разного рода	1	21
