N	2gram	Nazirov_Tv	OGranits
1	и в	40	13
2	и его	14	12
3	прежде всего	10	9
4	может быть	11	8
5	и не	12	8
6	не может	9	8
7	в его	19	7
8	и их	2	7
9	таким образом	14	6
10	не только	16	6
11	мы должны	1	6
12	только в	7	6
13	то что	9	6
14	как бы	26	6
15	метода в	1	5
16	в поэзии	1	5
17	хотя бы	5	5
18	художественного произведения	1	5
19	в процессе	3	5
20	но ведь	2	5
21	все же	9	5
22	и наконец	3	5
23	в каждом	4	4
24	не является	3	4
25	произведения как	1	4
26	мы не	3	4
27	то же	19	4
28	было бы	2	4
29	все это	14	4
30	в сознании	1	4
31	в школе	1	4
32	лишь в	1	4
33	в своей	8	4
34	в двух	2	4
35	но мы	1	4
36	но в	11	4
37	г в	2	3
38	с этим	2	3
39	что в	17	3
40	к одному	2	3
41	связана с	2	3
42	в искусстве	3	3
43	и уже	1	3
44	так и	5	3
45	говорить о	1	3
46	в одном	3	3
47	не столько	4	3
48	отношению к	3	3
49	по отношению	3	3
50	превращается в	2	3
51	в пределах	1	3
52	в их	5	3
53	в ее	3	3
54	здесь мы	2	3
55	самом деле	4	3
56	не в	3	3
57	в которой	5	3
58	что же	1	3
59	и все	6	3
60	общего с	1	3
61	в себе	3	3
62	так как	6	3
63	вряд ли	2	3
64	да и	1	3
65	но и	10	3
66	как и	16	3
67	ничего общего	1	3
68	точку зрения	1	3
69	никогда не	13	3
70	в области	1	2
71	к сожалению	1	2
72	своего рода	7	2
73	в самом	6	2
74	нет ничего	1	2
75	и к	1	2
76	что они	3	2
77	того или	1	2
78	форм и	1	2
79	и отчасти	3	2
80	мы видим	3	2
81	иное как	1	2
82	в данном	2	2
83	мы уже	2	2
84	творческого сознания	1	2
85	и этот	1	2
86	а как	2	2
87	в своих	8	2
88	в этом	11	2
89	этой проблемы	2	2
90	что иное	1	2
91	в целях	2	2
92	данном случае	2	2
93	героя и	4	2
94	которой является	1	2
95	он только	1	2
96	с одной	2	2
97	мог бы	1	2
98	в течение	1	2
99	которое может	1	2
100	входит в	1	2
101	для себя	1	2
102	наконец в	1	2
103	одной стороны	1	2
104	и должно	2	2
105	роль в	2	2
106	в другом	1	2
107	при этом	14	2
108	между тем	2	2
109	в материал	2	2
110	в полном	1	2
111	для него	9	2
112	и стиль	1	2
113	только его	1	2
114	в этот	3	2
115	и тем	2	2
116	в руках	1	2
117	с помощью	1	2
118	связанные с	1	2
119	ее в	3	2
120	в том	13	2
121	в которую	2	2
122	с этой	4	2
123	что эта	1	2
124	и является	1	2
125	в отношении	1	2
126	но такое	1	2
127	к анализу	1	2
128	чем же	1	2
129	вслед за	2	2
130	другой стороны	2	2
131	во времени	3	2
132	не что	1	2
133	не на	1	2
134	отношений между	2	2
135	так же	6	2
136	думать что	1	2
137	в них	1	2
138	самого начала	3	2
139	а в	10	2
140	в г	1	2
141	если бы	4	2
142	мы понимаем	2	2
143	школы и	2	2
144	себе что	1	2
