N	2gram	Medvedev_U	TeoriaLi
1	в качестве	1	33
2	не только	10	24
3	и в	14	24
4	в частности	3	23
5	то есть	1	22
6	может быть	6	22
7	в том	2	20
8	и не	8	17
9	но и	4	14
10	а не	10	14
11	так и	1	14
12	в себе	2	14
13	но не	2	13
14	в этом	7	12
15	сводится к	2	12
16	но в	3	12
17	в его	2	12
18	то же	5	12
19	литературного произведения	1	11
20	том что	2	11
21	что в	1	10
22	только в	2	9
23	в данном	1	9
24	с другой	4	9
25	в искусстве	6	9
26	не в	2	9
27	в то	3	9
28	в своей	3	8
29	же время	3	8
30	всего лишь	1	8
31	не может	7	8
32	в самом	2	7
33	не столько	2	7
34	в своем	1	7
35	мы имеем	1	7
36	в области	3	7
37	в нем	1	7
38	другой стороны	3	6
39	более или	1	6
40	конечном счете	4	6
41	как и	3	6
42	приводит к	1	6
43	то что	7	6
44	художественного впечатления	1	6
45	уже не	1	6
46	с его	2	6
47	в конечном	4	6
48	или иначе	1	6
49	или менее	1	6
50	художественного творчества	5	5
51	в виду	1	5
52	так или	1	5
53	в художественном	5	5
54	можно сказать	1	5
55	иначе говоря	1	5
56	данном случае	1	5
57	для него	3	5
58	того что	1	5
59	между тем	2	5
60	он не	1	5
61	в пределах	1	5
62	могут быть	2	5
63	художественного произведения	2	5
64	не случайно	2	5
65	искусства в	1	5
66	не следует	3	4
67	что он	2	4
68	для читателя	1	4
69	художественного восприятия	1	4
70	входит в	1	4
71	и т.д	3	4
72	сказать что	1	4
73	никогда не	1	4
74	это не	3	4
75	в их	4	4
76	эстетический объект	1	4
77	но он	1	4
78	или даже	1	4
79	произведения искусства	3	4
80	и что	1	4
81	далеко не	1	4
82	в таком	1	3
83	для себя	1	3
84	литературы как	1	3
85	эстетического объекта	6	3
86	о чем	2	3
87	если бы	2	3
88	в порядке	1	3
89	их в	1	3
90	в итоге	2	3
91	сводятся к	1	3
92	одной стороны	1	3
93	искусства и	1	3
94	или иных	2	3
95	о литературе	1	3
96	имеем в	1	3
97	художественное произведение	5	3
98	не все	2	3
99	и для	2	3
100	таким образом	2	3
101	и то	3	3
102	с одной	1	3
103	в произведении	1	3
104	и потому	1	3
105	как раз	2	3
106	прежде всего	8	3
107	одним из	2	3
108	объекта и	1	3
109	в эстетический	1	3
110	художественное впечатление	1	3
111	в сторону	2	3
112	его эстетической	1	3
113	в которой	1	3
114	к области	2	3
115	этом смысле	2	3
116	в этой	4	3
117	и др	1	3
118	тех или	2	3
119	отнюдь не	1	3
120	в той	1	2
121	для всех	2	2
122	об искусстве	1	2
123	строго говоря	1	2
124	из которых	1	2
125	по себе	2	2
126	не могут	2	2
127	и даже	1	2
128	самом деле	2	2
129	не вполне	1	2
130	в известном	1	2
131	о том	1	2
132	не входит	1	2
133	в значительной	1	2
134	может служить	1	2
135	и это	1	2
136	превращается в	2	2
137	что она	2	2
138	в противном	2	2
139	он и	1	2
140	в системе	2	2
141	истории литературы	3	2
142	бы то	3	2
143	ни было	3	2
144	что такое	4	2
145	ее в	1	2
146	все это	5	2
147	что и	2	2
148	у нас	3	2
149	тем в	1	2
150	у него	1	2
151	искусства как	2	2
152	в конце	2	2
153	противном случае	2	2
154	это было	2	2
155	об этом	1	2
156	тем более	1	2
157	а для	1	2
158	могли бы	2	2
159	же художественное	1	2
160	то ни	3	2
161	а.н веселовского	1	2
162	и является	2	2
163	и эстетической	1	2
164	за пределы	1	2
165	говоря иначе	2	2
166	во мне	1	2
167	человека и	1	2
168	эстетической реальности	1	2
169	нас самих	1	2
170	и прежде	1	2
171	с которыми	1	1
172	эстетического восприятия	1	1
173	является в	2	1
174	все что	1	1
175	и возможностей	1	1
176	тех кто	1	1
177	таком понимании	1	1
178	первую очередь	1	1
179	перестают быть	1	1
180	эстетической функции	1	1
181	композиции лирических	1	1
182	что основной	1	1
183	это уже	2	1
184	природе и	1	1
185	не как	3	1
186	смысле можно	1	1
187	и делает	1	1
188	эта позиция	1	1
189	он уже	1	1
190	произведения в	1	1
191	тем что	2	1
192	и действительно	1	1
193	с тем	1	1
194	стороны в	1	1
195	широком и	1	1
196	что по	1	1
197	все же	3	1
198	в словах	1	1
199	о котором	1	1
200	поскольку он	1	1
201	и слово	1	1
202	искусстве от	1	1
203	на каждом	2	1
204	искусство и	1	1
205	на первый	2	1
206	по крайней	2	1
207	ориентация на	1	1
208	первый взгляд	1	1
209	все они	2	1
210	все и	1	1
211	в первую	1	1
212	не существует	1	1
213	ее к	1	1
214	в котором	1	1
215	представляется не	1	1
216	некоторыми другими	1	1
217	содержания в	1	1
218	более чем	2	1
219	то и	1	1
220	художественных произведений	2	1
221	в отдельности	1	1
222	оно является	1	1
223	точно и	1	1
224	и вся	1	1
225	если нет	1	1
226	в различных	1	1
227	а между	2	1
228	одно из	1	1
229	иначе в	1	1
230	еще один	1	1
231	и исторически	1	1
232	было и	1	1
233	ни от	2	1
234	всего что	1	1
235	и формы	3	1
236	же автор	1	1
237	с самим	1	1
238	впервые в	1	1
239	отдельности и	1	1
240	в сфере	1	1
241	него не	1	1
242	и служит	1	1
243	заданность и	1	1
244	той же	1	1
245	ее как	1	1
246	своим единственным	1	1
247	но именно	1	1
248	до конца	1	1
249	только при	1	1
250	что все	2	1
251	к простому	1	1
252	но если	1	1
253	пришлось бы	3	1
254	крайней мере	2	1
255	такое искусство?	1	1
256	тот же	1	1
257	друг другу	1	1
258	жанра в	1	1
259	искусства не	1	1
260	этого термина	2	1
261	как основной	1	1
262	героя не	1	1
263	именно к	1	1
264	этом случае	1	1
265	в свое	1	1
266	автор видит	1	1
267	эстетическое содержание	1	1
268	как такового	3	1
269	произведения как	1	1
270	научному анализу	1	1
271	должно быть	1	1
272	обе эти	1	1
273	на роль	1	1
274	так он	1	1
275	начала и	1	1
276	материала и	2	1
277	не для	1	1
278	художественной формы	2	1
279	и через	2	1
280	художественного задания	2	1
281	о литературном	1	1
282	в широком	2	1
283	не обладает	1	1
284	без этого	1	1
285	к построению	1	1
286	не было	1	1
287	термина не	1	1
288	частности все	1	1
289	отказаться от	1	1
290	а о	2	1
291	и некоторыми	1	1
292	исторической поэтики	1	1
293	по существу	2	1
294	в совокупности	1	1
295	художественном произведении	2	1
296	но по	1	1
297	не есть	2	1
298	при таком	2	1
299	по его	1	1
300	на его	1	1
301	форма в	1	1
302	бы в	1	1
303	некую систему	1	1
304	же как	1	1
305	читателя который	1	1
306	ряда и	1	1
307	остается в	1	1
308	сфере искусства	1	1
309	как таковыми	1	1
310	только к	3	1
311	поэтики в	1	1
312	свое место	1	1
313	очень часто	1	1
314	на материал	1	1
315	если не	2	1
316	она не	1	1
317	является специфическая	1	1
318	всего только	1	1
319	познания или	1	1
320	в последние	1	1
321	является одним	1	1
322	и конструктивное	1	1
323	единицы и	1	1
324	было бы	3	1
325	бы послужить	1	1
326	же самое	2	1
327	он в	1	1
328	свой опыт	1	1
329	данного произведения	1	1
330	анализу и	1	1
331	к изучению	1	1
332	что для	1	1
333	его как	1	1
334	ролью в	1	1
335	придется отказаться	1	1
336	но прежде	1	1
337	же в	1	1
338	частности с	1	1
339	идет не	1	1
340	на то	1	1
341	полагая что	1	1
342	бы ни	1	1
343	себе еще	1	1
344	степени и	1	1
345	и только	5	1
346	вся система	1	1
347	как целого	1	1
348	независимо от	1	1
349	для этого	3	1
350	или точнее	3	1
