N	2gram	Bakhtin_Pr	Dialekti
1	не есть	2	181
2	и не	66	120
3	по себе	13	79
4	а не	30	78
5	и в	59	77
6	точки зрения	36	72
7	может быть	38	71
8	не только	26	66
9	то что	21	59
10	и есть	6	55
11	ничего не	8	54
12	не может	31	53
13	и даже	4	47
14	с точки	21	46
15	что это	1	46
16	есть нечто	2	46
17	так как	11	46
18	потому что	20	45
19	стало быть	2	44
20	как бы	40	43
21	и что	2	42
22	ни в	5	42
23	не имеет	2	41
24	вовсе не	13	41
25	в том	17	40
26	в этом	40	39
27	то же	15	39
28	что такое	1	39
29	что она	6	38
30	в себе	9	38
31	что он	16	37
32	том что	15	37
33	прежде всего	17	37
34	так что	3	36
35	это не	13	36
36	она есть	1	35
37	что в	14	34
38	в нем	38	34
39	и все	4	33
40	того что	4	33
41	но и	22	32
42	ясно что	1	31
43	все это	12	31
44	сказать что	9	30
45	и как	10	30
46	было бы	10	29
47	так и	13	29
48	как и	21	28
49	никогда не	19	27
50	в виду	2	26
51	крайней мере	3	26
52	не в	10	26
53	по крайней	3	26
54	сама по	3	26
55	есть и	2	26
56	говорить о	3	25
57	и то	1	25
58	и пр	3	25
59	есть только	5	25
60	есть не	3	25
61	но это	7	24
62	если бы	12	24
63	таким образом	22	23
64	в то	15	23
65	это и	10	23
66	что оно	2	23
67	и вот	4	23
68	или от	1	22
69	я не	7	22
70	что не	6	21
71	в чем	2	21
72	личности и	1	21
73	должна быть	4	21
74	она не	9	21
75	и с	10	20
76	о том	5	20
77	что и	10	20
78	что все	5	20
79	в таком	2	20
80	только в	15	20
81	в каком	2	20
82	совершенно не	2	20
83	уже не	14	20
84	как раз	9	20
85	в самом	19	19
86	не менее	3	19
87	не существует	1	19
88	в своем	12	19
89	как же	5	19
90	и притом	3	19
91	и это	5	19
92	как это	2	19
93	тогда когда	2	19
94	что мы	2	19
95	и его	21	19
96	же время	10	18
97	хотя бы	5	18
98	с другой	3	18
99	ни на	2	18
100	что же	5	18
101	жизни и	21	18
102	в особенности	2	17
103	можно сказать	3	17
104	в сущности	11	17
105	той или	3	17
106	должно быть	4	17
107	в основе	6	17
108	он есть	5	17
109	но если	1	17
110	кроме того	3	16
111	то это	1	16
112	одно и	1	16
113	к нему	13	16
114	только не	1	16
115	тем не	1	16
116	или не	2	16
117	само по	4	16
118	в своей	17	16
119	да и	3	16
120	конечно не	7	16
121	мы не	3	16
122	об этом	4	16
123	другими словами	2	16
124	же и	2	15
125	только что	3	15
126	все же	9	15
127	так же	10	15
128	то в	1	15
129	несмотря на	7	15
130	мы уже	4	15
131	но только	3	15
132	как таковой	2	15
133	самом деле	9	15
134	хотя и	1	15
135	сознания и	9	15
136	в виде	1	15
137	личности в	7	15
138	быть и	1	15
139	и о	5	15
140	или нет	1	14
141	а именно	4	14
142	есть то	4	14
143	даже и	2	14
144	с ним	13	14
145	что тут	1	14
146	не было	5	14
147	и ее	5	14
148	пространства и	1	14
149	ни с	1	14
150	жизнь и	3	14
151	на свете	1	14
152	и потому	9	14
153	и только	2	14
154	же это	2	14
155	и к	5	13
156	говорит о	1	13
157	другой стороны	3	13
158	отличается от	3	13
159	что именно	2	13
160	не то	1	13
161	что они	3	13
162	время как	2	13
163	и следовательно	7	13
164	в смысле	4	13
165	он не	11	13
166	и та	1	13
167	с ее	5	13
168	но в	7	13
169	не могу	1	13
170	в ней	8	13
171	вы не	1	13
172	идея и	2	13
173	именно в	8	12
