N	2gram	Kanaev_Sov	UchenyiS
1	и в	7	14
2	не только	4	10
3	а не	3	10
4	и не	6	8
5	прежде всего	5	8
6	в этом	7	7
7	не может	17	7
8	может быть	12	6
9	то же	3	5
10	и только	1	5
11	все это	3	5
12	в конечном	1	4
13	с другой	1	4
14	в этой	3	4
15	конечном счете	1	4
16	конечно не	1	4
17	что такое	2	4
18	бы то	1	3
19	было бы	3	3
20	только к	1	3
21	и т.д	3	3
22	этой области	1	3
23	это не	4	3
24	как и	6	3
25	то ни	2	3
26	все же	3	3
27	ни было	1	3
28	в области	3	3
29	в то	1	3
30	у нас	3	3
31	но в	3	3
32	же время	1	3
33	все они	1	2
34	таким образом	11	2
35	в самом	2	2
36	не приходится	1	2
37	его и	1	2
38	если бы	1	2
39	самом деле	2	2
40	могут быть	2	2
41	не в	3	2
42	до сих	1	2
43	их и	1	2
44	же самое	2	2
45	крайней мере	1	2
46	но не	1	2
47	по существу	1	2
48	форму и	1	2
49	в себе	3	2
50	в его	2	2
51	в конце	3	2
52	мы не	9	2
53	мы получаем	3	2
54	сколько угодно	1	2
55	ничего не	6	2
56	что она	3	2
57	на эту	1	2
58	при таком	3	2
59	в некоторых	2	2
60	не могут	2	2
61	в том	4	2
62	это уже	1	2
63	том что	1	2
64	но это	1	2
65	этом смысле	1	2
66	а о	1	2
67	и для	1	2
68	в системе	3	2
69	к области	1	2
70	не случайно	1	2
71	конечно нет	1	2
72	с его	1	2
73	и у	1	2
74	сих пор	1	2
75	по крайней	1	2
76	только в	1	2
77	по себе	1	2
78	что все	2	2
79	но конечно	1	2
80	без труда	1	1
81	счете только	1	1
82	что в	2	1
83	не было	1	1
84	и даже	2	1
85	этого и	1	1
86	и потому	3	1
87	этом случае	1	1
88	образом на	1	1
89	в свое	1	1
90	в которой	2	1
91	этого не	1	1
92	мы можем	6	1
93	что же	5	1
94	в данном	1	1
95	все его	1	1
96	но верно	1	1
97	он уже	1	1
98	еще раз	1	1
99	нет и	4	1
100	равно как	1	1
101	он в	3	1
102	и все	3	1
103	все элементы	1	1
104	состоит из	3	1
105	же как	1	1
106	но нам	1	1
107	сказать что	1	1
108	и эта	1	1
109	в процессе	1	1
110	данном случае	1	1
111	почему и	1	1
112	но для	1	1
113	его работы	1	1
114	этот процесс	1	1
115	он ставит	1	1
116	затем он	1	1
117	и действительно	1	1
118	очень часто	1	1
119	общего и	1	1
120	почти не	1	1
121	в таком	2	1
122	то и	2	1
123	она не	1	1
124	быть в	1	1
125	в течение	1	1
126	является только	1	1
127	она в	1	1
128	в своем	1	1
129	одной стороны	1	1
130	именно к	1	1
131	мы имеем	1	1
132	их в	4	1
133	же в	1	1
134	он может	3	1
135	с новой	1	1
136	в ней	1	1
137	что такой	1	1
138	но что	1	1
139	своими собственными	1	1
140	метода не	1	1
141	всего только	2	1
142	же остается	1	1
143	и прежде	1	1
144	это значит	1	1
145	он называет	1	1
146	а это	1	1
147	в этот	1	1
148	но если	1	1
149	по мнению	2	1
150	к этому	1	1
151	это то	1	1
152	что с	1	1
153	оно конечно	1	1
154	из которых	2	1
155	друг с	2	1
156	т.д пока	1	1
157	отнюдь не	3	1
158	и вся	1	1
159	в нем	3	1
160	он не	1	1
161	как целого	1	1
162	независимо от	1	1
163	все что	1	1
164	мы снова	1	1
165	если нет	1	1
166	на его	2	1
167	познакомиться с	1	1
168	и что	2	1
169	в известном	1	1
170	они относятся	1	1
171	форма в	2	1
172	смысле можно	1	1
173	и это	1	1
174	с одной	2	1
175	которых она	1	1
176	с другом	2	1
177	должно быть	1	1
178	случае он	1	1
179	что при	2	1
180	науки является	1	1
181	как всякая	1	1
182	определяет собою	1	1
183	правда не	1	1
184	самое что	1	1
185	только возможно	1	1
186	тот же	2	1
187	уже не	2	1
188	о том	1	1
189	по его	1	1
190	и отчетливо	1	1
191	у него	2	1
192	в виде	2	1
193	если у	1	1
194	той же	2	1
195	приводит к	2	1
196	никогда не	1	1
197	человека и	1	1
