N	3gram	Medvedev_S	formyVre
1	то же время	1	21
2	в то же	1	18
3	в связи с	1	15
4	и в то	1	10
5	друг от друга	1	6
6	и в этом	1	6
7	с одной стороны	1	6
8	в том что	2	5
9	на первый план	1	5
10	по отношению к	2	4
11	во всяком случае	1	4
12	бы он ни	1	3
13	о том как	1	3
14	то же самое	1	3
15	конечно не в	1	2
16	только в этом	2	2
17	не было бы	1	2
18	тем более не	1	1
19	не выходит за	1	1
20	их между собой	1	1
21	вступает в свои	1	1
22	но только в	1	1
23	не может не	1	1
24	именно на этот	1	1
25	сама по себе	1	1
26	в конечном счете	1	1
27	это вовсе не	1	1
28	только то что	1	1
29	и наконец в	1	1
30	и никак не	1	1
31	как то что	1	1
32	жанра и стиля	1	1
33	то что в	1	1
34	в лучшем случае	1	1
35	в конце концов	2	1
36	главным образом в	1	1
37	бы они ни	1	1
38	именно в том	1	1
39	они ни были	1	1
40	выходит за пределы	1	1
41	в свои права	1	1
42	в область литературы	1	1
43	и только для	1	1
44	ровно ничего не	1	1
