N	3gram	Losev_Dial	VeschiIm
1	и т д	38	38
2	это значит что	25	25
3	не может быть	12	24
4	и больше ничего	4	12
5	бы то ни	2	12
6	не что иное	6	12
7	то ни было	1	12
8	не есть ни	14	12
9	что иное как	6	12
10	т д и	8	11
11	тем не менее	10	11
12	содержит в себе	2	11
13	по крайней мере	10	10
14	д и т	7	10
15	в том что	12	9
16	есть не что	3	8
17	от всего прочего	5	8
18	в самом деле	6	7
19	на то что	3	7
20	по сравнению с	1	7
21	вещи с ее	2	7
22	т е в	4	7
23	сама по себе	11	7
24	не значит ли	1	7
25	ни в каком	8	6
26	с точки зрения	25	6
27	то и другое	2	6
28	может быть только	1	6
29	вовсе не есть	5	6
30	значит что мы	4	6
31	и не только	5	6
32	так или иначе	2	6
33	и тем не	2	5
34	в чем же	2	5
35	сущность и явление	1	5
36	в то же	3	5
37	и то же	2	5
38	и то что	1	5
39	не потому что	2	5
40	одно и то	2	5
41	подобно тому как	5	5
42	не только в	1	5
43	что оно есть	1	5
44	было бы и	1	5
45	т е не	4	5
46	не есть просто	6	5
47	но это –	2	4
48	равно как и	2	4
49	что это –	1	4
50	о том как	2	4
51	то время как	6	4
52	что в ней	1	4
53	от того что	4	4
54	что это значит?	2	4
55	то что является	1	4
56	значит что она	1	4
57	этой точки зрения	4	4
58	с этой точки	4	4
59	есть прежде всего	4	4
60	в то время	6	4
61	более или менее	1	4
62	что не есть	3	4
63	сам по себе	6	4
64	в каком случае	2	4
65	но что такое	4	4
66	что же такое	3	4
67	не только не	7	4
68	значит не только	1	4
69	о том что	6	4
70	это и есть	4	4
71	само по себе	8	4
72	это и значит	1	4
73	есть то что	8	4
74	не есть вещь	1	4
75	то же время	3	4
76	тех или других	4	4
77	но то что	2	3
78	сказать что она	1	3
79	и значит что	1	3
80	я и хочу	1	3
81	что это есть	4	3
82	и даже не	2	3
83	но еще и	1	3
84	той или другой	1	3
85	я утверждаю что	7	3
86	от самой вещи	1	3
87	мы говорим что	1	3
88	заключается в том	1	3
89	ни от чего	5	3
90	ту или иную	1	3
91	уже не может	1	3
92	и не в	1	3
93	можно сказать что	1	3
94	можно ли сказать	1	3
95	если бы я	1	3
96	из того что	2	3
97	сами по себе	3	3
98	не есть явление	2	3
