N	2gram	Savitsky_E	EvropaiC
1	таким образом	2	34
2	в том	11	31
3	и в	37	24
4	культурных ценностей	6	20
5	том что	6	20
6	все эти	1	19
7	то что	6	18
8	не может	9	18
9	может быть	6	17
10	все же	1	15
11	точки зрения	23	14
12	к культуре	1	14
13	в этом	12	13
14	с этим	2	12
15	между тем	8	12
16	в своем	14	12
17	по отношению	1	11
18	но и	14	11
19	культуры и	2	11
20	все что	1	10
21	мы знаем	1	10
22	не только	18	10
23	так и	10	10
24	европейской цивилизации	4	10
25	как и	7	10
26	культуры в	4	10
27	во всех	6	10
28	из себя	1	10
29	как бы	6	10
30	что в	21	9
31	при этом	1	9
32	в результате	3	9
33	не в	5	9
34	и все	2	9
35	и не	14	9
36	с другом	3	9
37	потому что	3	9
38	и что	2	9
39	на то	6	9
40	друг с	3	9
41	того же	3	9
42	в самом	4	8
43	у народа	1	8
44	с точки	17	8
45	европейской культуры	3	8
46	более или	1	8
47	или менее	1	8
48	к тому	8	8
49	мы говорили	1	8
50	для того	6	8
51	если бы	2	8
52	того чтобы	6	8
53	земного шара	9	8
54	так же	9	8
55	так как	7	7
56	что при	1	7
57	того что	7	7
58	что и	3	7
59	данного народа	3	7
60	не менее	1	7
61	о которых	1	7
62	о котором	1	7
63	о том	3	7
64	вместе с	2	7
65	по своей	2	7
66	в этой	2	7
67	в сознании	1	7
68	в силу	2	7
69	для этого	1	7
70	мы можем	3	6
71	и на	6	6
72	несмотря на	4	6
73	с ним	1	6
74	что с	1	6
75	только в	9	6
76	тому же	1	6
77	от друга	2	6
78	к европейской	1	6
79	в мире	2	6
80	друг от	2	6
81	другим народом	1	6
82	и если	2	6
83	должна быть	2	6
84	народов и	3	6
85	тогда как	1	6
86	как на	3	6
87	в общем	3	6
88	с другой	7	6
89	в то	16	6
90	в европе	1	6
91	и для	3	6
92	с культурой	1	5
93	этих народов	3	5
94	и к	3	5
95	должно быть	1	5
96	тех кто	1	5
97	в состоянии	1	5
98	в его	2	5
99	из всех	3	5
100	что это	2	5
101	многие из	1	5
102	европейской культуре	2	5
103	другой стороны	2	5
104	но все	1	5
105	и с	2	5
106	или иначе	1	5
107	именно в	4	5
108	по своему	7	5
109	над дикарями	1	5
110	случае если	1	5
111	по сравнению	2	5
112	сравнению с	2	5
113	других народов	1	5
114	быть и	1	5
115	не будет	3	5
116	и их	1	5
117	далеко не	2	5
118	лишь в	1	5
119	бороться с	2	5
120	в себе	9	5
121	и от	3	5
122	что все	2	5
123	столь же	5	5
124	что культура	1	5
125	как будто	2	5
126	из них	3	5
127	но в	14	5
128	иначе говоря	2	4
129	значительная часть	3	4
130	и то	2	4
131	ее и	1	4
132	та же	1	4
133	совершеннее всех	1	4
134	на вопрос	1	4
135	в психологии	3	4
136	которых мы	1	4
137	и культура	1	4
138	из того	2	4
139	сильнее чем	1	4
140	своем развитии	1	4
141	хотя и	2	4
142	народ и	3	4
143	чем больше	2	4
144	это есть	1	4
145	в европейской	2	4
146	в их	11	4
147	в виде	5	4
148	связи с	1	4
149	что его	1	4
150	будет тем	1	4
151	и культур	1	4
152	в таком	3	4
153	другие народы	2	4
154	с тем	3	4
155	этой культуры	2	4
156	не есть	2	4
157	не могут	2	4
158	между собой	2	4
159	выше мы	1	4
160	и сейчас	2	4
161	том случае	1	4
162	выше и	1	4
163	что мы	1	4
164	культуре и	1	4
165	в течение	5	4
166	хотя бы	15	4
167	то ни	4	4
168	отрицательных последствий	2	4
169	в такой	1	4
170	мы должны	2	4
171	что эта	1	4
172	целый ряд	2	4
173	признать что	1	4
174	что для	1	4
175	и культуры	1	4
176	что как	1	4
177	том же	1	4
178	с течением	2	4
179	ибо в	1	4
180	в области	11	4
181	культуры как	2	4
182	он не	2	4
183	если мы	1	4
184	всех этих	1	4
185	мы сказали	1	4
186	то же	15	4
187	течением времени	2	4
188	никогда не	3	4
189	ближе к	1	3
190	во всем	1	3
191	бы то	4	3
192	что оно	1	3
193	последствий европеизации	1	3
194	самих себя	1	3
195	дикаря и	1	3
196	только те	2	3
