N	3gram	Propp_Isto	OGranits
1	с точки зрения	1	5
2	не может быть	6	4
3	одно и то	2	3
4	по отношению к	2	3
5	в том что	4	2
6	ничего общего с	1	2
7	не что иное	1	2
8	в зависимости от	1	2
9	в данном случае	2	2
10	но так как	3	2
11	и то же	2	2
12	есть не что	1	2
13	в самом деле	1	2
14	что иное как	1	2
15	с одной стороны	7	2
16	с другой стороны	10	2
17	с самого начала	1	2
18	и один из	1	1
19	отражается еще в	1	1
20	и тем что	1	1
21	на самом деле	1	1
22	и в индии	1	1
23	в особенности в	2	1
24	таким образом мы	3	1
25	может быть не	1	1
26	иметь в виду	1	1
27	что едва ли	1	1
28	есть одно и	2	1
29	греции и в	1	1
30	подобно тому как	2	1
31	если бы мы	3	1
32	так же как	10	1
33	что в ней	1	1
34	на то что	3	1
35	для того чтобы	3	1
36	мы уже видели	2	1
37	только потому что	1	1
38	не может входить	1	1
39	может быть это	1	1
40	постановка вопроса о	1	1
41	его роль в	1	1
42	но тем не	1	1
43	хотя бы в	1	1
44	то или иное	1	1
45	что в этом	1	1
46	в античной греции	3	1
47	тех случаях когда	1	1
48	в отличие от	1	1
49	этой точки зрения	2	1
50	уже видели как	2	1
51	из тела и	1	1
52	как и в	4	1
53	в связи с	6	1
54	то же самое	1	1
55	с ними и	1	1
56	на эту связь	1	1
57	тем не менее	6	1
58	несмотря на все	1	1
59	только то что	1	1
60	только с помощью	1	1
61	в одном случае	1	1
62	то же время	1	1
63	эта связь с	1	1
64	же представляет себе	1	1
65	в то же	1	1
66	само по себе	1	1
67	в виду что	1	1
68	об этом говорит	1	1
69	там где нет	2	1
70	с этой точки	2	1
71	не мог бы	1	1
72	в тех случаях	1	1
73	и вместе с	3	1
74	состоит в том	1	1
75	в себя как	1	1
76	а также и	1	1
77	на этом мы	1	1
78	может быть и	1	1
