N	2gram	Propp_Isto	Myshleni
1	в том	12	195
2	в этом	13	167
3	то что	17	166
4	и в	40	162
5	том что	11	161
6	таким образом	13	147
7	что в	19	119
8	мышления и	1	117
9	не только	28	116
10	того что	6	109
11	в процессе	1	101
12	так же	18	100
13	потому что	12	95
14	того чтобы	3	91
15	может быть	37	89
16	что он	32	86
17	не может	19	81
18	как и	5	79
19	для того	1	78
20	так как	20	78
21	и не	19	78
22	только в	16	75
23	в целом	3	74
24	как мы	3	72
25	но и	21	70
26	в его	10	67
27	сказать что	7	65
28	мы могли	2	65
29	как бы	6	64
30	вместе с	13	62
31	представляет собой	7	60
32	и что	14	60
33	было бы	11	60
34	в качестве	8	60
35	то же	21	58
36	в основе	4	58
37	мышления в	1	56
38	в отношении	1	55
39	могли бы	3	54
40	между собой	4	53
41	в силу	7	53
42	что мы	9	53
43	по сравнению	1	51
44	в сущности	2	51
45	мы должны	17	50
46	ребенка и	2	49
47	к тому	6	49
48	ребенка в	1	49
49	что они	13	48
50	тем что	7	48
51	мы можем	7	48
52	тогда когда	2	47
53	на основе	6	47
54	мы не	12	47
55	если бы	8	46
56	по отношению	6	45
57	но не	7	45
58	с другой	8	45
59	с тем	13	43
60	же как	7	43
61	тем самым	2	43
62	тому что	1	42
63	как это	6	42
64	отношению к	6	42
65	о том	12	40
66	по своей	2	40
67	одной стороны	7	40
68	никогда не	25	39
69	говорит он	1	39
70	с одной	8	39
71	так и	13	39
72	мы видели	4	38
73	в области	2	38
74	и к	1	37
75	вопрос о	8	37
76	если мы	4	37
77	мы видим	16	37
78	не в	11	37
79	в этой	9	37
80	с самого	4	36
81	в своем	5	36
82	все эти	6	36
83	самого начала	4	36
84	как в	7	36
85	а не	18	36
86	и его	5	36
87	с другом	3	35
88	можно было	8	35
89	в себе	6	35
90	в которой	2	35
91	друг с	4	35
92	он не	10	35
93	связи с	10	34
94	и как	3	34
95	приводит к	3	34
96	прежде всего	15	33
97	при этом	6	33
98	по себе	4	33
99	именно в	5	32
100	и на	6	32
101	той же	1	32
102	что оно	1	32
103	нас к	2	32
104	по своему	1	32
105	же самое	3	32
106	что и	9	32
107	и тем	2	32
108	но в	13	32
109	все же	17	31
110	и то	3	31
111	на то	6	30
112	этом отношении	1	30
113	этого слова	1	29
114	между тем	2	29
115	могут быть	5	29
116	показывает что	7	29
117	с этим	5	28
118	самом деле	2	28
119	в результате	2	27
120	другой стороны	7	27
121	этом случае	3	27
122	в то	4	27
123	и с	5	27
124	в своей	2	27
125	связь между	4	27
126	перед нами	5	27
127	в их	6	26
128	что это	12	26
129	для него	2	26
130	в частности	3	26
131	что она	10	25
132	еще не	14	25
133	уже в	2	25
134	все это	6	25
135	по мере	4	25
136	только не	1	25
137	мы уже	7	25
138	это не	8	25
139	мы знаем	10	24
140	тот же	3	24
141	зависимости от	3	24
142	целый ряд	1	24
143	на этот	2	24
144	того как	6	24
145	в какой	4	24
146	так что	9	24
147	что эта	3	24
148	в нем	8	24
149	как уже	2	24
150	в высшей	1	24
151	друг друга	2	23
152	этот вопрос	7	23
153	состоит в	1	23
154	бы в	2	23
155	ни в	2	23
156	как он	5	23
157	слова в	2	23
158	во всяком	1	22
159	не могут	3	22
160	то время	3	22
161	смысле этого	2	22
162	столь же	2	22
163	в зависимости	3	22
164	высшей степени	1	22
165	между ними	2	21
166	к этому	2	21
167	как говорит	1	21
168	и следовательно	1	21
169	и ее	3	21
170	на основании	1	21
171	представление о	3	21
172	в нашем	1	21
173	его в	15	21
174	в свете	4	21
175	показать что	2	21
176	там где	5	21
177	и все	1	21
178	в истории	2	21
179	ее в	7	21
180	и более	3	21
181	в пользу	2	20
182	в виду	2	20
183	не менее	7	20
184	в котором	5	20
185	в другом	6	20
186	к которому	5	20
187	из них	5	20
188	время как	3	20
189	из этих	2	20
190	на вопрос	4	20
191	в такой	2	20
192	и других	1	20
193	а в	15	20
194	говорит что	1	20
195	едва ли	2	20
196	как раз	2	20
197	как показывает	1	20
198	на этом	3	20
199	в наших	1	20
200	должно быть	2	20
201	по существу	7	20
202	их развития	1	20
203	и их	4	20
204	но мы	2	19
205	в связи	7	19
206	во всех	3	19
207	а с	4	19
208	и по	4	19
209	один из	10	19
210	ступени развития	1	19
211	но если	4	19
212	независимо от	1	19
213	в той	1	19
214	словом и	1	19
215	об отношении	1	19
216	с ним	3	19
217	в себя	2	19
218	мы говорили	1	19
219	из которых	3	19
220	во всем	3	18
221	во всей	2	18
222	но это	8	18
223	в отличие	3	18
224	приводит нас	1	18
225	и другое	2	18
226	отличие от	3	18
227	приходит к	2	18
228	этом смысле	1	18
229	чем в	2	18
230	в этих	17	17
231	к другим	1	17
232	их в	7	17
233	в одном	8	17
234	я не	5	17
235	не есть	2	17
236	сих пор	12	17
237	до сих	11	17
238	о природе	1	17
239	это положение	2	17
240	в совершенно	2	17
241	тем же	1	17
242	до конца	1	17
243	и для	5	17
244	для этого	3	17
245	иначе как	1	17
246	у него	5	17
247	ту же	1	17
248	речь есть	1	17
249	и от	2	17
250	и есть	5	17
251	то и	2	17
252	и только	4	17
253	и другие	7	16
254	и научных	1	16
255	раньше чем	6	16
256	в которых	2	16
257	слово и	1	16
258	мы имеем	25	16
259	вовсе не	3	16
260	такой же	2	16
261	и даже	4	16
262	на этой	2	16
263	исследования и	1	16
264	то в	1	16
265	видели что	5	16
266	до лет	2	16
267	для нас	17	16
268	которые в	3	16
269	которую мы	1	16
270	тому как	3	16
271	таким же	1	16
272	является в	1	15
273	в них	2	15
274	вопрос об	1	15
275	что при	3	15
276	от этого	2	15
277	и это	2	15
278	с несомненностью	2	15
279	подобно тому	3	15
280	что если	2	15
281	хотя бы	5	15
282	в начале	3	15
283	те же	1	15
284	но как	2	15
285	значит что	2	15
286	формы мышления	1	15
287	ничего не	6	15
288	как она	3	15
289	является не	2	15
290	когда он	9	15
291	по этому	2	15
292	это значит	1	14
293	думается что	1	14
294	но что	2	14
295	точка зрения	2	14
296	что у	3	14
297	что для	1	14
298	точку зрения	3	14
299	из этого	3	14
300	и здесь	15	14
301	связанные с	3	14
302	только тогда	1	14
303	одним из	2	14
304	между словом	1	14
305	одной из	6	14
306	он должен	3	14
307	показывают что	7	14
308	один и	2	14
309	научных и	1	14
310	от друга	1	14
311	не можем	4	14
312	о чем	1	14
313	который в	2	14
314	содержится в	2	14
315	когда мы	4	14
316	друг от	1	14
317	и во	1	14
318	последнее время	1	14
319	об этом	11	14
320	что эти	5	14
321	своем развитии	1	13
322	в действительности	2	13
323	для объяснения	2	13
324	с другими	2	13
325	и тот	3	13
326	показывает исследование	1	13
327	в основном	4	13
328	они не	8	13
329	но на	1	13
330	в виде	2	13
331	другом месте	2	13
332	на его	2	13
333	отнюдь не	2	13
334	она не	6	13
335	для всех	2	13
336	точно так	8	13
337	возрасте и	1	13
338	но все	9	13
339	с ней	2	13
340	связана с	7	13
341	в состоянии	2	13
342	стороны и	1	13
343	все более	1	13
344	совершается в	2	13
345	с которыми	1	12
346	даже в	5	12
347	а затем	4	12
348	на первый	2	12
349	только на	2	12
350	том чтобы	2	12
351	но он	5	12
352	ясно что	2	12
353	полагает что	1	12
354	возникает из	2	12
355	должны были	9	12
356	в одной	3	12
357	и потому	3	12
358	в самых	1	12
359	еще более	1	12
360	ко всем	1	12
361	в первом	1	12
362	ход развития	1	12
363	которые мы	1	12
364	к нему	3	12
365	от его	2	12
366	несмотря на	1	12
367	в ее	2	12
368	тем не	7	12
369	тому же	1	12
370	это мы	1	12
371	все основные	1	12
372	были бы	2	12
373	которых мы	1	12
374	никак не	1	12
375	и между	3	12
376	мог бы	3	12
377	это и	1	12
378	в ней	10	12
379	входит в	1	12
380	не столько	1	11
381	с собой	2	11
382	на примере	1	11
383	не могли	1	11
384	ключ к	5	11
385	в других	3	11
386	находится в	6	11
387	на котором	5	11
388	на том	1	11
389	отношения к	2	11
390	не означает	2	11
391	мы всегда	1	11
392	обратимся к	3	11
