N	4gram	Vygotskiy_	RusskieA
1	состоит в том что	1	26
2	в том что в	1	8
3	не что иное как	2	4
4	до тех пор пока	2	3
5	состоит в том чтобы	2	3
6	но вместе с тем	1	3
7	так же как и	2	3
8	такое же значение как	1	2
9	вместе с тем и	1	2
10	и т д и	1	2
11	привело к тому что	1	2
12	и т д с	1	1
13	на то что и	1	1
14	одни и те же	3	1
15	друг к другу и	1	1
16	а как раз наоборот	1	1
17	в отличие от других	1	1
18	мы видели что в	1	1
19	в то время как	6	1
20	одного и того же	1	1
21	приходит к выводу что	2	1
22	которое в свою очередь	1	1
23	одном и том же	1	1
24	есть вместе с тем	1	1
25	те мыслительные процессы которые	1	1
26	в одни и те	1	1
27	только о том что	1	1
28	в том что на	1	1
29	дело в том что	1	1
30	нас совершенно очевидно что	1	1
31	приводит к тому что	1	1
