N	2gram	Bakhtin_Fr	Psycholo
1	то что	9	193
2	и в	67	190
3	в том	16	163
4	что в	14	123
5	потому что	8	114
6	том что	13	113
7	и что	3	108
8	может быть	4	107
9	таким образом	20	102
10	в этом	27	100
11	то есть	49	97
12	все время	3	86
13	в самом	7	82
14	как бы	18	80
15	для того	8	78
16	того чтобы	9	78
17	что он	7	76
18	не только	23	75
19	на то	2	73
20	и не	23	73
21	что она	4	71
22	самом деле	6	70
23	точки зрения	7	69
24	не может	9	68
25	если мы	3	66
26	так же	13	63
27	так как	16	63
28	было бы	5	56
29	если бы	2	55
30	то же	18	54
31	о том	8	54
32	и мы	1	54
33	совершенно ясно	1	54
34	при этом	5	52
35	как и	19	51
36	что и	8	50
37	а не	6	50
38	что это	4	49
39	сказать что	12	46
40	только в	6	46
41	в сущности	13	46
42	заключается в	1	46
43	к тому	4	45
44	в искусстве	3	45
45	не в	8	45
46	ясно что	1	43
47	искусства и	1	43
48	в этой	13	43
49	никогда не	6	42
50	и все	18	42
51	вместе с	5	41
52	как это	5	40
53	но и	23	40
54	как раз	5	39
55	того что	4	39
56	же самое	3	38
57	и это	5	37
58	мы видим	6	37
59	и как	7	36
60	с тем	3	35
61	вовсе не	19	34
62	как на	6	34
63	и если	3	34
64	и его	19	34
65	тому что	1	33
66	все же	7	33
67	что все	4	33
68	когда он	2	33
69	же точно	1	32
70	в себе	3	32
71	все это	15	32
72	он не	9	31
73	мы не	6	31
74	в его	17	31
75	в ней	10	31
76	сейчас же	1	30
77	мы увидим	1	30
78	как будто	2	30
79	никак не	3	30
80	как в	4	30
81	с одной	2	29
82	и для	4	29
83	одной стороны	2	29
84	с точки	5	29
85	в нем	20	29
86	что они	3	28
87	и когда	1	28
88	мы можем	5	28
89	и то	2	28
90	в своих	1	27
91	в основе	6	27
92	и на	12	27
93	а в	4	27
94	с другой	3	27
95	все то	6	27
96	так что	1	26
97	художественной формы	1	25
98	и здесь	6	25
99	жизни и	11	25
100	до сих	3	24
101	с таким	1	24
102	до конца	2	24
103	тем что	3	24
104	указывает на	1	24
105	в целом	2	24
106	в своем	13	23
107	сих пор	3	23
108	из этого	5	23
109	один из	6	23
110	целый ряд	2	23
111	для этого	2	23
112	могут быть	1	23
113	казалось бы	2	22
114	с этим	6	22
115	из них	5	22
116	что у	2	22
117	между тем	3	22
118	и даже	6	22
119	как она	1	22
120	в котором	3	21
121	в двух	1	21
122	в которых	3	21
123	той же	6	21
124	в своей	6	21
125	ни в	5	21
126	в конце	12	21
127	что эта	3	21
128	но только	1	21
129	как мы	16	21
130	и вот	4	21
131	и только	2	21
132	другой стороны	2	20
133	в то	17	20
134	тот же	4	20
135	несмотря на	3	20
136	на этом	7	20
137	там где	10	20
138	это не	5	20
139	все эти	12	20
140	в одном	7	19
141	что при	1	19
142	мы уже	13	19
143	в ее	2	19
144	у него	4	19
145	с этой	1	18
146	в которой	1	18
147	можно было	5	18
148	но в	20	18
149	зависимости от	1	18
150	вслед за	1	18
151	что с	1	18
152	на самом	8	18
153	но не	6	18
154	и есть	5	18
155	был бы	1	18
156	перед нами	6	18
157	видим что	2	18
158	есть не	1	18
159	в виду	2	17
160	во всяком	1	17
161	мы все	2	17
162	полагает что	1	17
163	что для	1	17
164	из этих	4	17
165	но это	10	17
166	одна из	1	17
167	у нас	3	17
168	и о	8	17
169	и к	7	16
170	к этому	4	16
171	та же	2	16
172	говорит о	1	16
173	то это	1	16
174	самого начала	3	16
175	с самого	3	16
176	в таком	2	16
177	же как	4	16
178	не имеет	4	16
179	формы и	2	16
180	так и	14	16
181	тому как	2	16
182	от того	3	16
183	в результате	5	15
184	в них	12	15
185	только на	1	15
186	что именно	1	15
187	во всех	20	15
188	мы знаем	1	15
189	о которых	1	15
190	не могут	3	15
191	и так	1	15
192	о котором	1	15
193	совершенно верно	1	15
194	и потому	1	15
195	в зависимости	1	15
196	не просто	1	15
197	утверждает что	1	15
198	далеко не	6	15
199	еще не	5	15
200	для него	4	15
201	в частности	4	15
202	не можем	1	15
203	хотя бы	2	14
204	одной и	1	14
205	но он	5	14
206	и той	1	14
207	то время	4	14
208	это и	10	14
209	это только	1	14
210	того как	1	14
211	прежде всего	19	14
212	такой же	5	14
213	что на	3	14
214	те же	1	14
215	в жизни	4	14
216	этих двух	1	14
217	бы в	5	14
218	стоит только	1	14
219	столь же	1	14
220	должна быть	1	14
221	этом отношении	7	14
222	или в	3	14
223	по существу	4	14
224	есть только	1	14
225	в области	2	14
226	с ним	6	14
227	именно в	5	13
228	не могли	1	13
229	а с	1	13
230	этот вопрос	1	13
231	знаем что	1	13
232	в той	2	13
233	когда она	1	13
234	и он	4	13
235	говорит он	1	13
236	могло бы	1	13
237	как он	3	13
238	должен был	1	13
239	и другие	5	12
240	их в	2	12
241	не менее	4	12
242	в основу	2	12
243	того же	6	12
244	в конечном	1	12
245	в самой	8	12
246	тогда когда	3	12
247	совершенно правильно	1	12
248	в свою	1	12
249	но если	1	12
250	и этот	2	12
251	это в	3	12
252	конце концов	1	12
253	и очень	1	12
254	и с	18	12
255	например в	6	12
256	что по	3	12
257	как только	1	12
258	что этот	1	12
259	что не	4	12
260	и до	3	12
261	характера и	1	12
262	ничего не	5	12
263	в поэзии	3	12
264	об этом	5	12
265	конечном счете	1	11
266	так например	3	11
267	понятно что	1	11
268	конечно не	5	11
269	не было	3	11
270	не будет	2	11
271	мы видели	11	11
272	утверждать что	1	11
273	и сейчас	2	11
274	подобно тому	2	11
275	поэзии и	1	11
276	и поэтому	2	11
277	но мы	3	11
278	на этот	4	11
279	как к	2	11
280	уже в	1	11
281	раз в	2	11
282	на все	4	11
283	и других	2	11
284	отличие от	3	11
285	он должен	2	11
286	исходя из	1	11
287	есть в	5	11
288	по поводу	5	11
289	его в	10	11
290	совершенно справедливо	1	11
291	образом и	2	11
292	и из	1	11
293	у шекспира	1	11
294	этого слова	1	11
295	с его	11	11
296	думать что	2	11
297	на это	1	11
298	во всем	1	10
299	в другом	4	10
300	смысл и	1	10
301	в тех	1	10
302	только тогда	1	10
303	именно на	3	10
304	данном случае	4	10
305	в их	4	10
306	в одной	3	10
307	от него	2	10
308	в данном	4	10
309	тому же	5	10
310	и у	7	10
311	но как	1	10
312	все те	2	10
313	и от	6	10
314	общественного человека	1	10
315	ее в	1	10
316	это было	4	10
317	и между	1	10
318	и их	6	10
319	так сказать	2	9
320	в действительности	1	9
321	на него	2	9
322	что даже	2	9
323	кажется нам	1	9
324	и говорит	1	9
325	в чем	6	9
326	под влиянием	1	9
327	и та	2	9
328	мы будем	2	9
329	это совершенно	1	9
330	в него	1	9
331	с ее	7	9
332	бы не	2	9
333	его и	2	9
334	из его	2	9
335	в отличие	3	9
336	в виде	1	9
337	по своему	5	9
338	по его	1	9
339	на его	2	9
340	и по	3	9
341	в самых	1	9
342	и ее	2	9
343	о чем	5	9
344	но все	2	9
345	роль в	5	9
346	можно сказать	4	9
347	то как	1	9
348	и именно	1	9
349	мы говорили	2	9
350	ту же	3	9
351	если же	2	9
352	которое мы	1	9
353	в силу	1	9
354	по этому	1	9
355	должен быть	2	9
356	именно это	2	9
357	и наконец	5	9
358	формы в	1	8
359	со всей	2	8
360	для выражения	2	8
361	на сцене	1	8
362	жизни с	1	8
363	одно и	1	8
364	и тот	2	8
365	в общем	5	8
366	имеет дело	1	8
367	ни на	1	8
368	он в	4	8
369	тем же	1	8
370	о нем	2	8
371	и таким	1	8
372	как все	1	8
373	и вообще	3	8
374	этому поводу	1	8
375	место в	3	8
376	и эта	2	8
377	которой мы	1	8
378	из всех	1	8
379	и другими	2	8
380	больше чем	2	8
381	точно и	1	8
382	с другом	2	8
383	по преимуществу	2	8
384	в произведении	1	8
385	из того	1	8
386	чтобы понять	1	8
387	друг с	2	8
388	именно потому	1	8
389	кажется что	2	8
390	в нее	1	8
391	здесь совершенно	1	8
392	во время	15	8
393	к нему	5	8
394	в процессе	1	8
395	из области	5	8
396	и более	1	8
397	относится к	3	8
398	том как	2	8
399	ссылается на	2	8
400	он все	1	8
401	и во	4	8
402	он может	2	8
403	бы и	2	8
404	жизнь и	5	8
405	которую мы	1	8
406	в трех	2	8
407	стороны и	1	8
408	только то	1	8
409	еще раз	1	7
410	мысли и	6	7
411	не как	3	7
412	на которых	1	7
413	и там	4	7
414	к самому	1	7
415	от этого	2	7
416	во все	2	7
417	и те	1	7
418	рассказывает о	2	7
419	свою очередь	1	7
420	на том	2	7
421	связи с	7	7
422	в каждом	3	7
423	в особенности	7	7
