N	4gram	Bakhtin_Pr	Stilisti
1	в то же время	8	7
2	одно и то же	1	5
3	одной и той же	1	4
4	не что иное как	1	2
5	и тем же языком	1	2
6	одну и ту же	1	2
7	но в то же	3	2
8	и в то же	3	2
9	есть не что иное	1	2
10	с нашей точки зрения	1	1
11	к одному и тому	2	1
12	и ту же тему	1	1
13	к одной и той	1	1
14	и т.п то есть	1	1
15	ничего что могло бы	1	1
16	в дальнейшем мы будем	1	1
17	и не может быть	5	1
18	через нее и на	1	1
19	что могло бы стать	1	1
20	одному и тому же	2	1
21	одним и тем же	1	1
22	нет и не может	3	1
23	не может обойтись без	1	1
24	в собственном смысле слова	1	1
