N	3gram	Nazirov_Tv	Myslijsy
1	в том что	8	47
2	по отношению к	3	26
3	не может быть	2	19
4	заключает в себе	1	19
5	тем не менее	2	18
6	по крайней мере	4	17
7	и т д	10	15
8	там же с	10	15
9	в свою очередь	2	14
10	то же время	18	13
11	в то же	19	13
12	с другой стороны	2	12
13	и в этом	1	12
14	до сих пор	1	12
15	во всяком случае	2	12
16	сами по себе	2	11
17	и т п	4	11
18	с одной стороны	1	10
19	в таком случае	2	9
20	одного и того	1	9
21	и того же	1	9
22	потому что не	1	9
23	то и другое	1	9
24	о том что	6	9
25	не могут быть	2	9
26	то есть не	2	8
27	так и в	2	8
28	вместе с тем	1	8
29	на самом деле	2	8
30	только потому что	1	8
31	и в том	1	7
32	как и в	2	7
33	можно сказать что	2	7
34	не только в	2	7
35	и как бы	1	6
36	то же самое	1	6
37	с самого начала	3	6
38	может быть назван	2	5
39	по себе а	1	5
40	по себе не	1	5
41	к тому что	1	5
42	не то что	1	5
43	то что в	1	5
44	в том же	3	4
45	все более и	1	4
46	в данном случае	2	4
47	и в самом	1	4
48	могут быть названы	1	4
49	более и более	1	4
50	на этот вопрос	2	4
51	не что иное	1	4
52	дело в том	4	4
53	то все же	1	4
54	и в свою	1	4
55	и что в	1	4
56	что иное как	1	4
57	точно так же	3	3
58	что он не	1	3
59	в применении к	1	3
60	я и не	1	3
61	хотя бы и	1	3
62	это не значит	2	3
63	ничего общего с	1	3
64	в связи с	2	3
65	в наше время	4	3
66	бы то ни	1	3
67	но это не	2	3
68	в одном из	2	3
69	равно как и	1	3
70	между человеком и	1	3
71	заключается в том	1	3
72	со всех сторон	1	3
73	можно было бы	1	3
74	на первый взгляд	1	3
75	что же касается	1	3
76	нам кажется что	1	3
77	потому что я	1	2
78	а может быть	2	2
79	что у нас	1	2
80	так можно выразиться	1	2
81	о том как	1	2
82	что на ней	1	2
83	что оно не	1	2
84	мы говорим о	1	2
85	в первый раз	1	2
86	если так можно	1	2
87	то к чему	1	2
88	таким образом уже	1	2
89	рядом с ними	1	2
90	друг на друга	1	2
91	но при этом	1	2
92	что как бы	1	2
93	и в других	1	2
94	человека и все	1	2
95	бы и в	1	2
96	только то что	1	2
97	в котором нет	1	2
98	то ни было	1	2
99	это значит что	1	2
100	в целом и	1	2
101	и не может	2	2
102	не только для	1	2
103	и потому что	1	2
104	очень важную роль	1	2
105	но эти слова	1	2
106	что в душе	1	2
107	и та же	2	2
108	так же как	1	2
109	не зависит от	1	2
110	так как и	1	2
111	одна и та	1	2
112	и в истории	1	2
113	к мысли о	1	2
114	что в каждом	1	1
115	далеко не сразу	1	1
116	в самом деле	2	1
117	то по крайней	1	1
118	объяснение только в	1	1
119	всем и каждому	1	1
120	себе а как	1	1
121	значение того что	1	1
122	дойти до того	1	1
123	бы он ни	1	1
124	не одну свою	1	1
125	том что этот	1	1
126	все это в	1	1
127	не только потому	1	1
128	и по способу	1	1
129	в которую не	1	1
130	на наш взгляд	1	1
131	он вовсе не	1	1
132	нет ничего кроме	1	1
133	в ту же	1	1
134	что в одном	1	1
135	еще не знал	1	1
136	только на словах	1	1
137	это не противоречит	1	1
138	противоречит тому что	1	1
139	при этом что	1	1
140	что все это	3	1
141	д и т	1	1
142	то что называют	1	1
143	в том числе	1	1
144	но в таком	1	1
145	в себе всю	1	1
146	не повторяет в	1	1
147	мысли и чувства	1	1
148	у него в	1	1
149	важную роль в	1	1
150	и если бы	1	1
151	мы знаем что	1	1
152	т д в	1	1
153	приходит к сознанию	1	1
154	это как бы	3	1
155	бросается в глаза	1	1
156	друг за другом	1	1
157	другой стороны и	1	1
158	самого начала и	1	1
159	том числе и	1	1
160	понимается им как	1	1
161	не о том	1	1
162	как и всякая	1	1
163	в чем не	1	1
164	в каждом из	1	1
165	в отличие от	2	1
166	и многое другое	2	1
167	по мере своего	1	1
168	я смотрю на	1	1
169	к тому же	1	1
170	следовало бы искать	1	1
171	по мере приближения	1	1
172	оставим в стороне	1	1
