N	3gram	Tiupa_Hudo	KFilosof
1	по отношению к	15	22
2	не может быть	5	11
3	с точки зрения	5	10
4	может быть только	1	7
5	ни в чем	1	4
6	в чем не	1	4
7	того или иного	4	3
8	в этом смысле	1	3
9	на самом деле	1	3
10	между тем как	1	3
11	и в этом	3	3
12	то что я	2	2
13	в том что	15	2
14	той или иной	1	2
15	не со стороны	1	2
16	то или иное	1	2
17	дело здесь не	1	2
18	она могла бы	1	2
19	тем не менее	6	2
20	в то же	11	2
21	и та же	1	2
22	уже не может	1	2
23	в соответствии с	1	2
24	есть на самом	1	2
25	одна и та	1	2
26	а не в	1	2
27	бы то ни	1	2
28	то же время	11	2
29	как одно из	1	1
30	в этот момент	1	1
31	лежит в основе	1	1
32	в свою очередь	1	1
33	не сказали о	1	1
34	можно говорить об	1	1
35	не вступает в	1	1
36	в конечном счете	4	1
37	по себе а	1	1
38	во всяком случае	1	1
39	на то что	2	1
40	для себя а	1	1
41	в противоречие с	2	1
42	не только от	1	1
43	в том смысле	1	1
44	на том что	2	1
45	а не как	1	1
46	не растворяется в	1	1
47	в себя и	1	1
48	не в этом	1	1
49	то же самое	3	1
50	это уже не	1	1
51	себя в другом	2	1
52	могло бы быть	1	1
53	хотя бы и	1	1
54	ту или иную	2	1
55	в том случае	2	1
56	для себя и	1	1
57	смысл в себе	1	1
58	для того чтобы	2	1
59	в себе момент	2	1
60	только в том	4	1
61	но он должен	1	1
62	с ним в	1	1
63	бы не было	1	1
64	отношению к другим	1	1
65	не в том	2	1
66	в настоящее время	1	1
67	рядом с собой	2	1
68	в ее жизни	2	1
69	найти себя в	1	1
70	несмотря на то	1	1
71	него и в	2	1
72	другого человека и	1	1
73	формы и содержания	1	1
74	и по отношению	1	1
75	именно в этой	1	1
76	до сих пор	3	1
77	сама нуждается в	1	1
78	не потому что	1	1
79	не было ни	2	1
80	вступает в противоречие	1	1
81	я не могу	1	1
82	в первом случае	2	1
83	дело в том	1	1
84	бытия только через	1	1
85	но в то	3	1
86	здесь не в	1	1
87	такова же и	1	1
88	жизни и смерти	4	1
89	вместо того чтобы	2	1
90	и в контексте	1	1
91	и в то	2	1
92	но не по	1	1
93	о нем но	1	1
94	в нем не	1	1
95	к той же	1	1
96	и то что	1	1
97	но и от	1	1
98	мы ничего не	1	1
99	ничего не сказали	1	1
100	не может не	1	1
101	герой и героиня	1	1
102	но в этом	1	1
103	друг для друга	3	1
104	и все же	1	1
105	во второй половине	2	1
106	вследствие того что	1	1
107	к тому что	8	1
108	это отнюдь не	1	1
109	живет в мире	1	1
110	на этом пути	1	1
111	в известном смысле	1	1
112	именно в ее	1	1
113	причем все эти	1	1
114	в значительной степени	3	1
115	нет и не	1	1
116	пока еще не	2	1
117	же самое что	2	1
118	помнить и о	1	1
119	в жизни в	1	1
120	не может претендовать	1	1
121	если бы не	2	1
