N	3gram	Losev_Vlad	Poddanst
1	то же время	7	7
2	в то же	7	7
3	в том что	13	4
4	не только в	3	4
5	в сравнении с	2	3
6	с одной стороны	1	3
7	н и е	1	3
8	как никогда раньше	1	2
9	заключается в том	1	2
10	в ней не	1	2
11	в значительной мере	1	2
12	и в то	3	2
13	в том числе	1	2
14	в тот же	2	2
15	и т д	3	1
16	вопрос об отношении	1	1
17	не было бы	1	1
18	между прочим потому	1	1
19	но в общем	2	1
20	с богом и	1	1
21	можно судить по	6	1
22	что мы и	1	1
23	и в частности	3	1
24	и в годы	1	1
25	за то что	2	1
26	на пути в	1	1
27	чуть ли не	1	1
28	тех кто не	1	1
29	в этом не	2	1
30	в последние годы	2	1
31	вместе с тем	2	1
32	но в то	2	1
33	и тем самым	1	1
34	насколько можно судить	1	1
35	само по себе	1	1
36	если бы мы	1	1
37	мы знаем что	2	1
38	что уже в	1	1
39	в россии и	1	1
40	не может быть	4	1
41	человека с богом	1	1
42	во многих случаях	1	1
43	том что в	3	1
44	то что его	2	1
45	в этом смысле	4	1
46	есть для нас	1	1
47	тех пор пока	2	1
48	россия и европа	2	1
49	что во всех	1	1
50	и то что	7	1
51	что в этом	1	1
52	из этой области	1	1
53	очень и очень	1	1
54	во всяком случае	8	1
55	с и и	1	1
56	для того чтобы	3	1
57	ни к чему	1	1
58	с другой стороны	3	1
59	бы она ни	1	1
60	и не может	1	1
61	мы не будем	1	1
62	не в том	3	1
63	в том виде	1	1
64	в настоящее время	2	1
65	более или менее	5	1
66	тем более что	2	1
67	не только как	1	1
68	до тех пор	2	1
69	для тех кто	1	1
70	и теперь в	1	1
71	и в этом	1	1
72	прочим потому что	1	1
73	а в с	1	1
74	на свои собственные	1	1
