N	2gram	Bakhtin_Fr	Retstnzi
1	не может	9	4
2	и в	105	3
3	в центре	1	2
4	один из	5	2
5	произведения но	1	1
6	литературного языка	1	1
7	в особенности	7	1
8	несмотря на	5	1
9	самых первых	1	1
10	может быть	11	1
11	не только	24	1
12	точки зрения	10	1
13	с точки	6	1
14	к историческому	1	1
15	для него	12	1
16	с теми	1	1
17	первая часть	1	1
18	в ней	7	1
19	тех же	3	1
20	связи с	5	1
21	не из	1	1
22	лучше всего	1	1
23	или иными	1	1
24	его от	2	1
25	ставить в	1	1
26	лежащие в	2	1
27	если бы	1	1
28	конечно и	4	1
29	смысл и	1	1
30	на примере	1	1
31	в его	24	1
32	не менее	2	1
33	именно с	1	1
34	и заставляет	1	1
35	в языке	1	1
36	речь и	2	1
37	но и	20	1
38	мы видим	2	1
39	к тому	3	1
40	во второй	2	1
41	о формах	1	1
42	теми или	1	1
43	грамматических категорий	1	1
44	в то	5	1
45	из этих	7	1
46	и больше	1	1
47	он в	2	1
48	же время	5	1
49	то же	6	1
50	по своим	1	1
51	а не	1	1
52	без учета	2	1
53	бы в	2	1
54	нет и	2	1
55	в системе	3	1
56	и не	34	1
57	так называемая	1	1
58	и все	7	1
59	и на	25	1
60	вполне понятно	2	1
