N	3gram	Voloshinov	VelikijI
1	к тому что	2	3
2	то что мы	2	3
3	и т д	1	2
4	в том что	9	2
5	в вопросе о	1	2
6	а между тем	1	2
7	все тот же	2	2
8	но и в	1	2
9	том что он	2	2
10	не в силах	3	2
11	того что он	1	1
12	так и в	3	1
13	и теперь еще	1	1
14	во что бы	1	1
15	что бы то	1	1
16	для него не	1	1
17	сравнению с ними	1	1
18	в конце концов	2	1
19	но прежде всего	1	1
20	него не существует	1	1
21	так ли это?	1	1
22	природы в человеке	1	1
23	потому что оно	1	1
24	и никогда не	1	1
25	по сравнению с	1	1
26	есть прежде всего	1	1
27	связать себя с	1	1
28	по крайней мере	1	1
29	и марксизм в	1	1
30	не могут быть	4	1
31	идти по пути	1	1
32	хотя бы и	2	1
33	в жизни и	1	1
34	как бы в	1	1
35	и не было	1	1
36	и в вопросе	1	1
37	но все же	1	1
38	на этом пути	1	1
39	личности и ее	1	1
40	в ней дана	1	1
41	бы то ни	3	1
42	раз и навсегда	1	1
43	тому что все	1	1
44	что он был	1	1
45	то ни стало	1	1
