N	2gram	Vygotskiy_	Freidism
1	таким образом	36	34
2	и не	16	34
3	точки зрения	27	31
4	не может	11	30
5	в этом	35	28
6	может быть	25	28
7	и в	38	28
8	прежде всего	6	26
9	в его	22	25
10	и его	5	22
11	с помощью	64	20
12	мы можем	13	20
13	как бы	17	19
14	как мы	14	18
15	то что	27	17
16	вовсе не	5	16
17	с точки	11	15
18	точка зрения	1	15
19	все эти	9	15
20	так как	19	15
21	с ним	4	14
22	в своей	9	14
23	так и	11	14
24	самом деле	4	14
25	и все	5	13
26	как и	20	13
27	по отношению	4	13
28	но в	4	13
29	во всех	3	13
30	в самом	8	12
31	то же	18	12
32	ни в	12	12
33	что он	13	12
34	том что	44	12
35	точку зрения	1	12
36	для него	6	12
37	все это	8	12
38	и потому	2	12
39	мы видели	8	12
40	только в	16	11
41	мы знаем	10	11
42	сказать что	10	11
43	отношению к	3	11
44	его в	8	11
45	все что	4	10
46	один из	8	10
47	не только	16	10
48	и с	5	10
49	но и	9	10
50	конечно не	1	10
51	что же	1	10
52	тот же	10	10
53	никогда не	11	10
54	в том	59	10
55	мы уже	8	10
56	в сознание	1	10
57	он не	6	10
58	все те	1	10
59	за пределы	1	10
60	не в	10	10
61	и на	9	9
62	те же	6	9
63	уже не	3	9
64	во всяком	10	9
65	совершенно не	1	9
66	мы не	14	9
67	с его	3	9
68	к этому	5	9
69	к нему	1	9
70	в чем	2	9
71	а не	7	9
72	мы должны	15	9
73	и др	1	9
74	могут быть	9	9
75	при этом	13	8
76	все же	11	8
77	еще не	6	8
78	с этим	6	8
79	было бы	15	8
80	знаем что	1	8
81	а в	7	8
82	по мнению	1	8
83	с другими	3	8
84	на этом	3	8
85	в ней	3	8
86	всяком случае	10	8
87	что в	31	7
88	и к	9	7
89	не могут	5	7
90	связь с	4	7
91	в жизни	3	7
92	роль в	5	7
93	так сказать	1	7
94	хотя бы	2	7
95	в каком	3	7
96	если мы	12	7
97	до конца	2	7
98	что все	2	7
99	и для	4	7
100	из них	5	7
101	того что	17	7
102	не является	13	7
103	но не	7	7
104	об этом	2	7
105	и у	7	7
106	с самого	6	7
107	в нем	4	7
108	в этой	7	7
109	отношение к	1	7
110	в себе	9	7
111	в то	5	7
112	и ее	1	7
113	зрения на	2	6
114	этого периода	2	6
115	одно из	2	6
116	в корне	2	6
117	не менее	8	6
118	но мы	1	6
119	к тому	8	6
120	для марксизма	3	6
121	можно сказать	2	6
122	в основе	32	6
123	в свою	4	6
124	для того	14	6
125	из этих	5	6
126	высшей степени	11	6
127	мы имеем	6	6
128	как раз	1	6
129	что такое	1	6
130	во время	3	6
131	здесь в	2	6
132	в таком	4	6
133	она не	1	6
134	совсем не	1	6
135	и что	15	6
136	в пределах	1	6
137	человека и	6	6
138	в высшей	11	6
139	и только	4	6
140	для этого	3	6
141	всех этих	2	6
142	которой мы	1	6
143	не можем	4	6
144	что это	8	5
145	процесс образования	17	5
146	со всеми	9	5
147	в своих	3	5
148	ее в	2	5
149	в процессе	33	5
150	с ними	3	5
151	вместе с	18	5
152	со стороны	1	5
153	на первый	5	5
154	обыденной жизни	1	5
155	тех же	2	5
156	т.е в	2	5
157	того чтобы	15	5
158	увидим что	5	5
159	говорить о	1	5
160	на основании	11	5
161	и до	1	5
162	и те	3	5
163	самого начала	6	5
164	что она	7	5
165	можем сказать	1	5
166	по поводу	1	5
167	той же	8	5
168	это не	5	5
169	в ее	1	5
170	что и	14	5
171	с их	3	5
172	в которой	4	5
173	тому что	3	5
174	между ними	6	5
175	в этих	4	5
176	в себя	3	5
177	внутренней речи	19	5
178	и по	5	5
179	другими словами	3	5
180	поведение человека	1	5
181	не знает	1	5
182	как это	16	5
183	далеко не	2	5
184	только то	1	5
185	от того	8	5
186	в большинстве	1	5
187	заключается в	22	5
188	что может	1	5
189	в общем	1	5
190	отнюдь не	6	5
191	внешней речи	6	5
192	с которыми	4	4
193	все основные	1	4
194	мы и	4	4
195	в последнем	1	4
196	как с	4	4
197	в основном	6	4
198	смысле слова	5	4
199	сам по	2	4
200	характер и	2	4
201	в виду	4	4
202	сводится к	1	4
203	по себе	11	4
204	если бы	12	4
205	так называемый	1	4
206	именно в	6	4
207	в собственном	12	4
208	может стать	2	4
209	связанные с	3	4
210	как в	14	4
211	этот вопрос	5	4
212	зависимости от	7	4
213	из которого	1	4
214	ничего общего	4	4
215	это и	1	4
216	данном случае	1	4
217	в данном	1	4
218	в котором	3	4
219	в первый	2	4
220	мы увидим	4	4
221	потому что	14	4
222	и оно	1	4
223	не всегда	1	4
224	в этот	1	4
225	и т.п	3	4
226	слова и	8	4
227	только на	2	4
228	в мир	1	4
229	а только	1	4
230	в истории	9	4
231	так же	26	4
232	отметить что	1	4
233	свою очередь	3	4
234	на которые	3	4
235	нет и	1	4
236	на него	2	4
237	в своем	9	4
238	все время	6	4
239	одна из	2	4
