N	3gram	Kanaev_Sov	EvropaiC
1	в том что	1	16
2	до сих пор	1	15
3	по отношению к	1	11
4	друг с другом	2	9
5	с точки зрения	5	8
6	мы знаем что	1	7
7	на самом деле	1	7
8	в самом деле	1	5
9	не может быть	4	4
10	тот факт что	1	4
11	тем не менее	2	4
12	совершенно так же	1	4
13	в том случае	1	4
14	в этом случае	1	4
15	в этой области	1	4
16	может быть и	2	4
17	в настоящее время	2	3
18	не подлежит сомнению	2	3
19	так же как	1	3
20	то ни было	1	3
21	в данном случае	1	3
22	не может не	3	3
23	в связи с	1	3
24	бы то ни	1	3
25	в свою очередь	2	2
26	во всяком случае	2	2
27	и может быть	1	2
28	друг на друга	1	2
29	не более как	1	2
30	заключает в себе	1	2
31	в то же	1	2
32	но все же	1	2
33	с одной стороны	1	2
34	то же время	1	2
35	мы видели что	3	1
36	а может быть	1	1
37	и у нас	1	1
38	а потом и	1	1
39	это не более	1	1
40	мы уже знаем	1	1
41	в этом направлении	1	1
42	ни то ни	1	1
43	мы видим что	1	1
44	что все они	1	1
45	таким образом все	1	1
46	по крайней мере	1	1
47	но мы знаем	1	1
48	и той же	1	1
49	они не могут	1	1
50	не в том	1	1
51	важную роль в	1	1
52	и до сих	1	1
53	может не быть	1	1
54	с одной и	1	1
55	дело в том	1	1
56	и что следовательно	1	1
57	в первое время	1	1
58	в зависимости от	4	1
59	одной и той	1	1
60	мы не знаем	1	1
61	можно было бы	1	1
62	то ни другое	1	1
63	шаг за шагом	1	1
64	с самого начала	3	1
65	все они одинаково	1	1
66	уже знаем что	1	1
67	с и т.д	1	1
68	же самое что	1	1
69	бы все это	1	1
70	то же самое	2	1
71	и все же	1	1
72	по его мнению	1	1
73	все это делает	1	1
74	представление о том	1	1
75	что каждый раз	1	1
76	теперь мы должны	1	1
77	приспособления к среде	1	1
78	заключают в себе	1	1
79	тот или иной	1	1
80	и не может	1	1
81	именно в том	1	1
