N	3gram	Bakhtin_fo	KFilosof
1	по отношению к	3	22
2	не может быть	4	11
3	в соотнесении с	1	11
4	с точки зрения	9	10
5	в его целом	2	10
6	может быть только	3	7
7	мир в котором	1	7
8	в нем как	1	4
9	ни в чем	3	4
10	в чем не	3	4
11	но все эти	2	3
12	в ее целом	2	3
13	в данный момент	1	3
14	в котором он	1	3
15	бытия в его	1	3
16	на самом деле	1	3
17	между тем как	1	3
18	и в этом	2	3
19	в том что	4	2
20	бы он ни	2	2
21	той или иной	3	2
22	и для него	1	2
23	и может быть	1	2
24	он ни был	2	2
25	имеем в виду	3	2
26	не имеем в	1	2
27	мы говорим о	1	2
28	мира в котором	1	2
29	во всех отношениях	1	2
30	я и другого	1	2
31	в то же	10	2
32	и та же	2	2
33	включает в себя	1	2
34	в соответствии с	2	2
35	во всех этих	2	2
36	одна и та	2	2
37	то же время	13	2
38	смысле и в	1	1
39	для него самого	1	1
40	с нашей точки	3	1
41	в этот момент	1	1
42	сих пор не	1	1
43	лежит в основе	2	1
44	данный момент в	1	1
45	даже там где	1	1
46	в свою очередь	1	1
47	и как бы	2	1
48	отнюдь не являются	1	1
49	это не значит	1	1
50	вместе с тем	3	1
51	имеет место и	1	1
52	равно как и	4	1
53	в себе в	1	1
54	во всяком случае	1	1
55	того мира в	1	1
56	и во всех	3	1
57	в большинстве случаев	2	1
58	место и в	2	1
59	на том что	1	1
60	человек чувствует себя	2	1
61	в средние века	4	1
62	в себя и	2	1
63	день и час	1	1
64	это не имеет	1	1
65	то же самое	1	1
66	во всех его	1	1
67	конечно не в	1	1
68	нашей точки зрения	3	1
69	это с его	1	1
70	в действительной жизни	1	1
71	мы будем говорить	2	1
72	соотнесении с конкретной	1	1
73	в том же	3	1
74	в ее основных	2	1
75	для себя и	1	1
76	а следовательно и	3	1
77	для того чтобы	11	1
78	времени и пространства	4	1
79	только в том	1	1
80	то что уже	1	1
81	здесь мы видим	1	1
82	когда мы говорим	1	1
83	но для того	2	1
84	одно из проявлений	1	1
85	только в этом	1	1
86	нет но как	1	1
87	и пространства и	1	1
88	лежат в одном	1	1
89	и пр и	1	1
90	всех этих моментах	1	1
91	события его жизни	1	1
92	одного и того	6	1
93	и пр все	1	1
94	со всех сторон	2	1
95	оно прежде всего	1	1
96	в его мире	2	1
97	он не имеет	1	1
98	нисколько не противоречит	1	1
99	и связанных с	1	1
100	до сих пор	4	1
101	по самому своему	2	1
102	не для того	3	1
103	дело в том	2	1
104	смысле этого слова	1	1
105	но в то	2	1
106	и в котором	1	1
107	он вступает в	1	1
108	пр все это	1	1
109	в единый и	1	1
110	в этом ее	1	1
111	в нем нет	2	1
112	в этом мире	7	1
113	уже не только	1	1
114	и в то	7	1
115	как бы ни	1	1
116	но отнюдь не	1	1
117	пространства и времени	5	1
118	не было и	2	1
119	тогда когда оно	1	1
120	в нем не	3	1
121	в зависимости от	1	1
122	как если бы	2	1
123	и того же	6	1
124	не может не	1	1
125	но в этом	2	1
126	в нем в	2	1
127	и все же	1	1
128	до того что	1	1
129	будем говорить в	1	1
130	истина добро красота	1	1
131	и говорить о	1	1
132	к тому что	1	1
133	не в смысле	3	1
134	но все это	1	1
135	и только для	1	1
136	и в трагедии	1	1
137	играть в нем	1	1
138	никогда не было	1	1
139	его жизни в	1	1
140	добро красота и	1	1
141	но нет и	1	1
142	в значительной степени	1	1
143	что и в	1	1
144	ровно ничего не	1	1
145	в иной мир	1	1
146	может быть и	4	1
