N	2gram	Ircho_Kome	Freidism
1	таким образом	13	34
2	и не	19	34
3	точки зрения	7	31
4	не может	3	30
5	в этом	9	28
6	может быть	16	28
7	и в	40	28
8	прежде всего	8	26
9	в его	8	25
10	и его	17	22
11	с помощью	1	20
12	мы можем	6	20
13	как бы	3	19
14	как мы	5	18
15	то что	8	17
16	вовсе не	3	16
17	все эти	1	15
18	так как	6	15
19	с ним	1	14
20	в своей	3	14
21	так и	17	14
22	в душе	1	13
23	и все	4	13
24	как и	12	13
25	по отношению	5	13
26	но в	6	13
27	во всех	4	13
28	в самом	5	12
29	то же	7	12
30	ни в	9	12
31	что он	11	12
32	том что	19	12
33	во внешнем	1	12
34	для него	1	12
35	все это	7	12
36	и потому	1	12
37	мы видели	2	12
38	только в	6	11
39	мы знаем	5	11
40	сказать что	1	11
41	отношению к	5	11
42	его в	6	11
43	все что	3	10
44	один из	9	10
45	не только	12	10
46	и с	8	10
47	но и	14	10
48	конечно не	1	10
49	что же	2	10
50	тот же	5	10
51	в том	19	10
52	мы уже	1	10
53	он не	5	10
54	за пределы	2	10
55	не в	8	10
56	и на	9	9
57	те же	1	9
58	во всяком	4	9
59	совершенно не	1	9
60	мы не	4	9
61	с его	4	9
62	к этому	8	9
63	к нему	5	9
64	в чем	3	9
65	а не	1	9
66	и др	1	9
67	могут быть	3	9
68	при этом	5	8
69	все же	7	8
70	еще не	7	8
71	с этим	5	8
72	было бы	8	8
73	и вот	4	8
74	а в	9	8
75	по мнению	2	8
76	на этом	3	8
77	в ней	2	8
78	всяком случае	4	8
79	что в	12	7
80	и к	2	7
81	не могут	1	7
82	связь с	2	7
83	в жизни	1	7
84	роль в	2	7
85	хотя бы	2	7
86	в каком	1	7
87	если мы	1	7
88	до конца	3	7
89	что все	1	7
90	и для	4	7
91	из них	16	7
92	на протяжении	14	7
93	того что	1	7
94	не является	2	7
95	но не	3	7
96	об этом	2	7
97	и у	3	7
98	с самого	3	7
99	в нем	8	7
100	в этой	9	7
101	отношение к	3	7
102	в себе	3	7
103	жизни и	4	7
104	и прежде	1	7
105	в то	14	7
106	и ее	5	7
107	зрения на	2	6
108	этого периода	1	6
109	одно из	1	6
110	не менее	6	6
111	к тому	15	6
112	в основе	1	6
113	в свою	2	6
114	для того	3	6
115	же время	5	6
116	из этих	5	6
117	высшей степени	1	6
118	мы имеем	1	6
119	как раз	4	6
120	во время	11	6
121	на самом	1	6
122	здесь в	4	6
123	чем же	2	6
124	в таком	1	6
125	большинстве случаев	2	6
126	совсем не	2	6
127	и что	2	6
128	в пределах	1	6
129	и о	3	6
130	в высшей	1	6
131	и только	1	6
132	для этого	2	6
133	что это	5	5
134	в более	4	5
135	в своих	2	5
136	ее в	2	5
137	с ними	2	5
138	вместе с	8	5
139	со стороны	3	5
140	на первый	1	5
141	тех же	4	5
142	того чтобы	4	5
143	говорить о	3	5
144	на основании	7	5
145	и те	1	5
146	чем не	1	5
147	самого начала	2	5
148	что она	3	5
149	по поводу	7	5
150	той же	3	5
151	это не	2	5
152	в ее	2	5
153	что и	10	5
154	с их	4	5
155	в которой	9	5
156	тому что	4	5
157	в этих	5	5
158	в себя	3	5
159	и по	6	5
160	не было	1	5
161	во второй	4	5
162	не знает	1	5
163	как это	7	5
164	далеко не	1	5
165	от того	3	5
166	в большинстве	2	5
167	ничего не	4	5
168	в общем	2	5
169	в период	5	5
170	отнюдь не	2	5
171	с которыми	1	4
172	мы и	1	4
173	три периода	1	4
174	в последнем	1	4
175	в основном	1	4
176	уже знаем	1	4
177	сам по	1	4
178	в виду	2	4
179	сводится к	1	4
180	по себе	2	4
181	если бы	4	4
182	так называемый	1	4
183	именно в	5	4
184	в собственном	1	4
185	связанные с	2	4
186	как в	8	4
187	зависимости от	1	4
188	полагают что	2	4
189	данном случае	1	4
190	из тех	1	4
191	в данном	1	4
192	в котором	6	4
193	потому что	8	4
194	только как	1	4
195	это только	1	4
196	не всегда	2	4
197	в этот	1	4
198	слова и	1	4
199	только на	2	4
200	отца с	1	4
201	а только	1	4
202	в истории	10	4
203	так же	4	4
204	отметить что	1	4
205	связанных с	2	4
206	на которые	3	4
207	нет и	2	4
208	на него	4	4
209	в своем	6	4
210	учения об	1	4
211	все время	2	4
212	это вовсе	1	4
213	одна из	4	4
214	но это	2	4
215	едва ли	16	4
216	дает нам	1	4
217	эти высказывания	1	4
218	этой области	2	4
219	и за	3	4
220	этом отношении	3	4
221	тем не	3	4
222	человека в	2	4
223	у него	6	4
224	мы находим	2	4
225	в голову	1	4
226	в зависимости	1	4
227	по своему	5	4
228	человека к	1	4
229	выражение в	1	4
230	первый план	1	4
231	это как	1	4
232	не дает	1	4
233	то ни	4	4
234	в развитии	2	4
235	в другом	5	4
236	к ней	2	4
237	главным образом	4	4
238	в области	3	4
239	его к	1	4
240	с ее	2	4
241	в целом	6	4
242	ответ на	2	3
