N	3gram	Bakhtin_fo	VrazhdaK
1	и все же	1	5
2	то же время	13	4
3	в то же	10	4
4	в связи с	12	3
5	имел в виду	1	3
6	в том что	4	2
7	в этот момент	1	2
8	не может быть	4	2
9	но в то	2	2
10	как раз в	4	2
11	с точки зрения	9	2
12	все же в	2	1
13	в котором он	1	1
14	их и не	1	1
15	в свою очередь	1	1
16	в них много	1	1
17	каждый из них	1	1
18	в то время	3	1
19	в литературу в	1	1
20	в конце концов	1	1
21	одно и то	4	1
22	и в котором	1	1
23	и во всей	2	1
24	в это же	1	1
25	равно как и	4	1
26	о том как	2	1
27	в той же	1	1
28	так же как	2	1
29	и во многом	1	1
30	быть и речи	2	1
31	и в то	7	1
32	в соответствии с	2	1
33	и во всем	1	1
34	которого никто не	1	1
35	что в нем	1	1
36	о том что	2	1
37	в мировой литературе	2	1
38	до сих пор	4	1
39	в высшей степени	1	1
40	преступление и наказание	1	1
41	но в этом	2	1
42	в это время	1	1
43	в том же	3	1
44	во всяком случае	1	1
45	а следовательно и	3	1
46	к вопросу о	2	1
47	и в самом	1	1
48	на первый план	2	1
49	с другой стороны	1	1
50	более того в	1	1
51	в литературе и	1	1
52	связи с этим	4	1
53	в момент его	1	1
54	тем более что	2	1
55	и то же	4	1
56	тем что как	1	1
57	да и в	1	1
58	в этом отношении	5	1
59	и в этом	2	1
60	может быть и	4	1
