N	2gram	Losev_Vlad	Literetu
1	а не	5	50
2	и не	33	47
3	не только	35	46
4	и в	56	44
5	может быть	12	43
6	при этом	5	41
7	но и	26	41
8	тогда как	1	40
9	в том	26	39
10	в этом	30	38
11	своего рода	1	37
12	том что	22	32
13	такого рода	4	30
14	в частности	4	30
15	то что	30	29
16	в качестве	7	27
17	то же	10	26
18	в году	54	26
19	как и	7	23
20	в стихотворении	3	23
21	в то	15	23
22	себя в	6	22
23	не в	12	22
24	того что	6	22
25	так и	11	22
26	не может	12	22
27	я и	2	21
28	же время	7	21
29	в себе	5	20
30	я в	4	19
31	прежде всего	5	19
32	как бы	5	18
33	с другой	3	17
34	точки зрения	4	17
35	то есть	5	17
36	в его	18	17
37	в жизни	4	16
38	в этой	4	16
39	не менее	9	15
40	я не	8	15
41	в русской	1	15
42	только в	11	15
43	со стороны	5	15
44	тем самым	2	15
45	в целом	3	15
46	и даже	23	14
47	по отношению	1	14
48	что он	22	14
49	уже не	6	13
50	в своем	10	13
51	с одной	1	13
52	как это	11	13
53	но не	5	13
54	и его	12	13
55	в своей	7	12
56	о том	13	12
57	в данном	1	12
58	одной стороны	1	12
59	пути в	1	12
60	к себе	2	12
61	одним из	3	12
62	еще не	2	12
63	а также	12	12
64	не столько	4	11
65	никогда не	15	11
66	и сам	7	11
67	столь же	1	11
68	еще в	5	11
69	вместе с	9	11
70	как в	6	11
71	с его	15	11
72	это не	3	11
73	или иначе	3	11
74	а в	20	11
75	даже в	4	10
76	из них	3	10
77	что в	24	10
78	и на	7	10
79	для себя	6	10
80	так или	3	10
81	жизни в	3	10
82	потому что	16	10
83	этом отношении	2	10
84	жизни и	8	10
85	отнюдь не	3	10
86	в области	3	10
87	с этой	4	9
88	к тому	5	9
89	представляет собой	1	9
90	искусства и	1	9
91	связи с	7	9
92	один из	4	9
93	что я	5	9
94	одно из	1	9
95	в начале	7	9
96	лишь в	3	9
97	же в	3	9
98	говоря уже	3	8
99	быть может	1	8
100	в своих	7	8
101	тем что	2	8
102	все же	11	8
103	одна из	1	8
104	того же	11	8
105	едва ли	3	8
106	ли не	1	8
107	как раз	7	8
108	на себя	3	8
109	что не	3	8
110	в конце	22	8
111	особого рода	2	8
112	а именно	4	8
113	той же	6	8
114	в глазах	1	8
115	но в	19	8
116	уже в	9	8
117	для него	16	8
118	по существу	4	8
119	и как	7	8
120	и я	7	8
121	не говоря	4	8
122	вплоть до	4	8
123	в самом	3	7
124	в одном	2	7
125	другой стороны	3	7
126	для всех	2	7
127	на свою	3	7
128	именно в	4	7
129	в противоположность	1	7
130	не как	1	7
131	тому же	3	7
132	он не	13	7
133	и тем	2	7
134	и с	27	7
135	в нем	7	7
136	по своей	4	7
137	наконец в	3	7
138	до конца	8	7
139	друг друга	3	7
140	и для	4	7
141	он и	8	7
142	у нас	11	7
143	в их	2	7
144	так в	1	7
145	человека в	1	7
146	личности в	1	7
147	и других	2	7
148	и жизни	1	7
149	например в	1	6
150	казалось бы	1	6
151	уже о	3	6
