N	3gram	Tiupa_Anal	VerxiiNi
1	с одной стороны	3	7
2	с точки зрения	2	6
3	во всяком случае	6	6
4	по крайней мере	5	5
5	а с другой	1	5
6	до сих пор	1	5
7	для того чтобы	1	5
8	о том что	7	4
9	к тому же	7	4
10	в том что	12	3
11	в конце концов	1	3
12	всяком случае не	1	3
13	в связи с	1	3
14	точно так же	1	3
15	тем не менее	3	3
16	так или иначе	5	3
17	той или иной	6	2
18	таким образом в	1	2
19	есть как бы	1	2
20	с тех пор	1	2
21	можно сказать что	2	2
22	в этом отношении	3	2
23	то же время	7	2
24	в то же	7	2
25	но и как	1	1
26	так и в	1	1
27	в первом случае	1	1
28	в слове о	2	1
29	слове о полку	2	1
30	именно потому что	1	1
31	в свою очередь	7	1
32	и тот же	1	1
33	а между тем	1	1
34	не только не	3	1
35	смысле этого слова	1	1
36	может и не	1	1
37	речь идет о	2	1
38	ничего определенного не	1	1
39	к чему не	1	1
40	мы видим что	1	1
41	до известной степени	3	1
42	в соответствии с	2	1
43	одной стороны с	1	1
44	все что мы	1	1
45	не может быть	2	1
46	и далее в	1	1
47	по отношению к	9	1
48	одной из этих	1	1
49	в данном случае	11	1
50	в том или	1	1
51	и все же	1	1
52	своей ролью в	1	1
53	в отличие от	5	1
54	а в том	2	1
55	не исключая и	1	1
56	а не как	1	1
57	в этой роли	1	1
58	после того как	1	1
59	в одну из	1	1
60	из них не	1	1
61	в себе не	1	1
62	тем или иным	2	1
63	что в этом	1	1
64	о полку игореве	3	1
65	и того же	4	1
66	и т.д в	1	1
67	один и тот	1	1
68	есть то самое	1	1
69	как и ее	1	1
70	случае мы имеем	1	1
71	в ритмическом отношении	1	1
72	том или ином	1	1
73	мы знаем о	1	1
74	в связь с	1	1
75	на востоке и	1	1
76	которые могли бы	1	1
77	с другой с	1	1
78	и в сущности	1	1
79	в самом деле	1	1
80	тех пор как	1	1
81	в таком случае	2	1
82	к этому что	1	1
83	тот факт что	1	1
84	в общем контексте	2	1
85	в одном из	1	1
86	но с другой	1	1
87	состоит в том	2	1
88	только то что	1	1
89	что мы знаем	1	1
90	лицом к лицу	1	1
91	крайней мере в	2	1
92	как бы в	1	1
93	и в этой	1	1
94	с другой стороны	7	1
95	между нами и	1	1
96	уже говорили о	1	1
97	с ними в	1	1
98	мы уже говорили	1	1
99	все это было	1	1
100	не в том	1	1
101	ни к чему	1	1
102	к лицу с	1	1
103	в то время	1	1
104	но они не	1	1
105	что и в	1	1
106	не только как	1	1
107	из этих трех	1	1
108	с этого момента	2	1
109	одного и того	4	1
