N	2gram	Vygotskiy_	Vladivir
1	и в	37	116
2	то что	32	71
3	и не	15	67
4	у него	2	65
5	не только	29	65
6	в этом	32	53
7	в том	47	52
8	том что	42	51
9	что в	25	48
10	но и	23	47
11	в конце	2	41
12	в его	16	40
13	и с	10	39
14	и даже	5	36
15	сказать что	16	36
16	также и	2	36
17	там же	1	35
18	учение о	4	35
19	так что	2	35
20	же с	1	34
21	потому что	11	33
22	что он	16	32
23	не может	16	31
24	о том	14	30
25	только в	8	30
26	как мы	11	29
27	никогда не	8	29
28	для него	5	29
29	вовсе не	5	27
30	а в	4	27
31	не было	1	26
32	а к	2	25
33	в себе	8	25
34	но в	9	25
35	в то	7	25
36	и то	3	25
37	и его	10	25
38	а также	1	24
39	философии и	3	23
40	точки зрения	49	23
41	между прочим	1	23
42	он не	11	23
43	может быть	19	23
44	что же	3	23
45	кроме того	1	22
46	ни в	6	22
47	так как	11	22
48	в виде	3	22
49	об этом	6	22
50	в своей	7	21
51	вместе с	14	21
52	а именно	2	20
53	и что	11	20
54	в своем	10	20
55	для нас	4	20
56	прежде всего	12	20
57	не менее	1	19
58	в дальнейшем	1	19
59	и вообще	2	19
60	по поводу	5	19
61	как раз	8	19
62	тем не	1	19
63	таким образом	39	19
64	в течение	4	19
65	так и	12	19
66	и потому	3	19
67	как и	20	18
68	не мог	1	18
69	не в	9	18
70	хотя и	2	18
71	как это	6	18
72	с его	7	18
73	то это	2	17
74	что и	3	17
75	в этой	13	17
76	едва ли	5	17
77	и если	4	17
78	а не	5	17
79	у нас	1	17
80	все же	6	16
81	уже не	2	16
82	к тому	10	16
83	не есть	1	16
84	для себя	7	16
85	и все	7	16
86	было бы	12	16
87	того что	28	16
88	в котором	6	16
89	и к	9	15
90	то же	12	15
91	в своих	6	15
92	к этому	7	15
93	в эти	1	15
94	несмотря на	6	15
95	в связи	3	15
96	до конца	1	15
97	это было	1	15
98	того же	1	14
99	все эти	6	14
100	раз и	1	14
101	мы уже	7	14
102	и на	8	14
103	уже в	8	14
104	и как	7	14
105	во всем	4	13
106	в результате	7	13
107	с тем	8	13
108	можно сказать	6	13
109	так же	18	13
110	не просто	1	13
111	на этот	7	13
112	и от	4	13
113	что это	8	13
114	то время	5	13
115	да и	1	13
116	дело в	3	13
117	жизни и	2	13
118	по себе	9	12
119	только на	1	12
120	и это	3	12
121	и у	1	12
122	и по	3	12
123	в нем	2	12
124	то в	1	12
125	содержит в	1	12
126	если не	3	12
127	всяком случае	5	12
128	ничего не	6	12
129	во всяком	6	12
130	связи с	7	12
131	учения о	8	12
132	мы сейчас	1	12
133	при этом	6	11
134	него в	1	11
135	но что	3	11
136	в данном	5	11
137	хотя бы	7	11
138	тому же	1	11
139	в которой	6	11
140	я не	4	11
141	на то	11	11
142	и здесь	1	11
143	в основном	1	11
144	никак не	1	11
145	в отношении	14	11
146	это есть	2	11
147	еще в	1	11
148	все это	9	11
149	то он	3	11
150	мы должны	11	11
151	не очень	1	11
152	и о	1	11
153	конце концов	1	11
154	в самом	16	10
155	даже в	4	10
156	вот что	2	10
157	что все	8	10
158	такого рода	1	10
159	с точки	34	10
160	в качестве	12	10
161	что его	6	10
162	можно было	6	10
163	что для	8	10
164	отнюдь не	2	10
165	к нему	1	10
166	с ним	3	10
167	еще не	1	10
168	которую он	1	10
169	в истории	7	10
170	здесь не	1	10
171	в ней	2	10
172	но не	6	10
173	о чем	2	9
174	и сам	2	9
175	именно в	8	9
176	с этим	8	9
177	смысле слова	6	9
178	и психологии	1	9
179	с другой	16	9
180	мы знаем	3	9
181	и можно	1	9
182	но как	1	9
183	а с	8	9
184	этом смысле	3	9
185	мы будем	2	9
186	из этого	6	9
187	в начале	2	9
188	оно есть	2	9
189	отношения к	3	9
190	своей жизни	1	9
191	что мы	9	9
192	что если	3	9
193	это не	5	9
194	же время	2	9
195	ни с	1	9
196	по существу	8	9
197	этот раз	1	9
198	истории философии	1	9
199	что касается	1	9
200	в целом	29	9
201	с этой	7	8
202	это значит	1	8
203	не столько	4	8
204	в этих	3	8
205	тем что	7	8
206	в это	1	8
207	можно считать	2	8
208	которой он	2	8
209	конечно не	1	8
210	и он	1	8
211	в смысле	2	8
212	в чем	5	8
213	значит что	1	8
214	и особенно	1	8
215	как в	7	8
216	со стороны	4	8
217	свое время	1	8
218	должно быть	4	8
219	как бы	16	8
220	и для	3	8
221	тот же	7	8
222	тоже не	1	8
223	и я	2	8
224	только и	1	8
225	когда он	5	8
226	из этих	6	8
227	мы и	3	7
228	вел себя	1	7
229	к этой	4	7
230	в одном	5	7
231	в них	5	7
232	но все	3	7
233	к ней	1	7
234	на первый	3	7
235	нам представляется	1	7
236	что этот	2	7
237	но даже	2	7
238	на первом	2	7
239	точно так	2	7
240	с в	4	7
241	в нашем	3	7
242	и мы	3	7
243	выше мы	1	7
244	себе и	3	7
245	за пределы	4	7
246	о его	1	7
247	в доме	1	7
248	и есть	2	7
249	мы видели	8	7
250	здесь мы	1	7
