N	2gram	Medvedev_I	VLabPisa
1	в этом	2	29
2	и в	1	26
3	и не	2	20
4	художественного творчества	1	19
5	все это	1	13
6	что в	2	11
7	с другой	1	11
8	в художественном	1	10
9	и др	1	10
10	для него	1	9
11	другой стороны	1	8
12	все эти	1	8
13	произведения и	1	7
14	по отношению	1	7
15	очевидно что	1	7
16	отношению к	1	7
17	художественном творчестве	1	6
18	так и	1	6
19	в них	1	5
20	в целом	1	5
21	никогда не	1	5
22	только что	1	4
23	что для	1	4
24	следующим образом	1	4
25	по существу	1	4
26	должен быть	2	4
27	них не	1	4
28	по поводу	1	4
29	того что	1	3
30	утверждает что	1	3
31	если бы	1	3
32	пишет и	1	3
33	бы в	1	3
34	а в	1	3
35	как о	1	3
36	в значительной	1	3
37	того чтобы	1	3
38	для того	1	3
39	жизни и	1	3
40	значительной мере	1	3
41	самого себя	2	2
42	говорить о	1	2
43	что при	1	2
44	о творчестве	1	2
45	только для	1	2
46	могло бы	1	2
47	а для	1	2
48	с а	1	2
49	и сам	1	2
50	он не	2	2
51	вплоть до	1	2
52	понятий и	1	1
53	не слишком	1	1
54	и творчества	1	1
55	без этого	1	1
56	а также	1	1
57	а отсюда	1	1
58	этим и	1	1
59	тем что	1	1
60	бы все	1	1
61	и без	1	1
62	с жизнью	1	1
63	это было	1	1
64	этого писателя	1	1
65	более чем	1	1
66	а с	1	1
67	в основе	1	1
68	а если	1	1
69	тех же	1	1
70	нам в	1	1
71	не дает	1	1
72	и дети	1	1
73	о достоевском	2	1
74	а по	1	1
75	и та	1	1
76	не случайно	1	1
77	и идей	1	1
78	так то	1	1
79	и еще	1	1
80	автор не	1	1
81	бы его	1	1
82	стороны он	1	1
