N	2gram	Tiupa_Anal	SlovoVZh
1	не может	26	16
2	может быть	33	14
3	точки зрения	10	14
4	как бы	15	13
5	и его	9	13
6	таким образом	5	12
7	и в	30	12
8	отношению к	9	11
9	по отношению	10	11
10	в нашем	3	11
11	и не	33	10
12	так как	3	9
13	если бы	6	9
14	прежде всего	8	8
15	творца и	1	7
16	для нас	1	7
17	сказать что	2	7
18	художественного произведения	6	7
19	все время	1	6
20	в ней	1	6
21	в том	36	6
22	в процессе	2	6
23	только в	8	6
24	в интонации	1	6
25	в нем	3	6
26	при этом	20	6
27	и др	1	5
28	можно сказать	6	5
29	что мы	3	5
30	хотя бы	4	5
31	должна быть	1	5
32	то же	12	5
33	к предмету	4	5
34	а не	25	5
35	в виду	2	5
36	то что	11	5
37	мы ни	1	5
38	в жизни	1	5
39	как и	23	5
40	как в	3	5
41	отнюдь не	22	5
42	том что	21	5
43	но в	11	5
44	никогда не	4	5
45	в самом	12	4
46	и к	5	4
47	в литературе	4	4
48	и на	10	4
49	материала и	1	4
50	не только	30	4
51	ни было	4	4
52	и является	4	4
53	на самом	2	4
54	как если	1	4
55	за пределы	6	4
56	его в	2	4
57	литературы и	1	4
58	с другой	7	4
59	не в	17	4
60	отношение к	2	4
61	что не	3	4
62	так и	16	4
63	уже не	6	4
64	жизни и	1	4
65	в этом	31	4
66	все же	4	4
67	зависимости от	1	4
68	к нему	4	4
69	бы то	3	3
70	как к	2	3
71	и с	2	3
72	только ему	1	3
73	ее и	1	3
74	до сих	1	3
75	это как	2	3
76	и более	5	3
77	в котором	5	3
78	с героем	1	3
79	и по	2	3
80	в поэзии	2	3
81	мы не	1	3
82	то ни	3	3
83	или не	2	3
84	между тем	7	3
85	для него	5	3
86	отношении к	1	3
87	с ним	6	3
88	не должна	1	3
89	того что	5	3
90	быть и	1	3
91	и уже	1	3
92	когда он	1	3
93	тем не	3	3
94	имеет в	1	3
95	все это	2	3
96	ни в	5	3
97	с автором	1	3
98	в пределах	11	3
99	сколько бы	3	3
100	по себе	6	3
101	так же	1	3
102	в них	1	3
103	в каком	1	3
104	социального взаимодействия	1	3
105	этой точки	2	3
106	самом деле	3	3
107	только на	3	3
108	в себе	17	3
109	слово в	1	3
110	художественном произведении	1	3
111	все эти	3	3
112	теоретической поэтики	1	3
113	о том	11	3
114	социальной группы	1	3
115	в своей	7	3
116	здесь не	2	3
117	не менее	5	3
118	из этого	2	3
119	в художественном	4	3
120	художественного творчества	2	3
121	в такой	2	3
122	нуждается в	9	3
123	да и	2	3
124	но и	29	3
125	бы мы	1	3
126	ведь и	1	3
127	и для	3	3
128	на границе	1	3
129	художественное произведение	5	3
130	и ее	1	3
131	и наконец	2	3
132	сих пор	1	3
133	не к	3	3
134	внутренней речи	9	3
135	еще не	5	3
136	в особенности	1	2
137	что в	7	2
138	этих двух	1	2
139	все они	2	2
140	истории литературы	4	2
141	нет ничего	2	2
142	но это	1	2
143	не так	3	2
144	и потому	2	2
145	смысл и	3	2
146	ни на	1	2
147	продукт социального	1	2
148	и то	4	2
149	психике творца	1	2
150	влияние на	1	2
151	героя или	1	2
152	в данном	6	2
153	в душе	1	2
154	произведение и	1	2
155	в то	10	2
156	еще раз	1	2
157	по природе	4	2
158	разрыв между	1	2
159	данном случае	3	2
160	в событии	1	2
161	высказывания с	1	2
162	со всех	1	2
163	зависит от	1	2
164	с одной	7	2
165	совпадает с	6	2
166	уже в	1	2
167	высказывания и	3	2
168	в его	15	2
169	с этой	2	2
170	это не	7	2
171	одной стороны	6	2
172	автора и	4	2
173	как уже	5	2
174	дело с	5	2
175	с точки	6	2
176	мы имеем	9	2
177	была бы	4	2
178	вещи и	1	2
179	на него	3	2
180	тем как	2	2
181	тогда когда	3	2
182	в себя	8	2
183	автором и	2	2
184	в формах	1	2
185	и слово	2	2
186	как это	5	2
187	те же	3	2
188	форму в	1	2
189	но все	1	2
190	одно и	2	2
191	и та	2	2
192	не способен	1	2
193	из него	1	2
194	и что	2	2
195	что и	5	2
196	в отношении	2	2
197	же самое	3	2
198	о ком	2	2
199	и значение	1	2
200	на примере	3	2
201	другой стороны	2	2
202	но отнюдь	2	2
203	этой стороны	1	2
204	и те	2	2
205	как не	1	2
206	в этих	3	2
207	есть уже	1	2
208	тому же	6	2
209	связь с	1	2
210	оно не	1	2
211	форма в	1	2
212	ко всем	2	2
213	на это	2	2
214	имеем в	1	2
215	к ним	1	2
216	выходят за	2	2
217	и здесь	1	2
218	как на	1	2
219	выбор слова	3	2
220	и все	5	2
221	но не	13	2
222	быть только	1	2
223	речи в	3	2
224	его как	3	2
225	не есть	8	2
226	могут быть	12	2
227	значения и	1	2
228	с другими	4	2
229	из общей	1	2
230	не остается	2	2
231	в своем	2	2
232	за его	1	2
233	в какой	3	2
234	имеет место	6	2
235	вместе с	6	2
236	между ними	1	2
237	место в	3	2
238	в зависимости	1	2
239	к его	3	2
240	такой же	3	2
241	бы оно	1	2
242	в психике	2	2
243	до известной	1	2
244	с его	3	2
245	себя и	5	2
246	на все	2	2
247	его к	3	2
248	является для	1	2
249	известной степени	1	2
250	к этому	2	2
251	бы не	3	2
252	между собой	2	2
253	он не	4	2
254	независимо от	2	2
255	слушателя который	1	2
256	в чем	2	2
257	делает его	1	2
258	но мы	2	2
259	частной жизни	1	2
