N	3gram	Savitsky_P	Freidism
1	с точки зрения	3	15
2	не может быть	1	14
3	в том что	4	9
4	во всяком случае	1	8
5	в то же	7	6
6	мы знаем что	1	6
7	то же время	7	6
8	– все это	1	5
9	в большинстве случаев	1	5
10	для того чтобы	1	3
11	в собственном смысле	1	3
12	но в общем	1	3
13	но в то	1	3
14	и не может	1	3
15	в применении к	1	2
16	в этом смысле	1	2
17	заключается в том	2	2
18	хотя бы и	1	2
19	в отличие от	1	2
20	с одной стороны	3	2
21	и т д	1	1
22	но в отличие	1	1
23	в противоречии с	1	1
24	в них самих	1	1
25	только в условиях	1	1
26	но и в	2	1
27	мы видим в	1	1
28	по сравнению с	1	1
29	в гораздо большей	4	1
30	сводится к следующему	1	1
31	гораздо большей степени	4	1
32	не было бы	1	1
33	друг с другом	1	1
34	да и не	1	1
35	теория исторического материализма	1	1
36	в эту эпоху	1	1
37	мира а не	1	1
38	так же как	1	1
39	том что в	1	1
40	можно говорить о	1	1
41	и в то	2	1
42	есть прежде всего	1	1
43	из этой области	1	1
44	что с точки	1	1
45	настоящее время в	1	1
46	мы не будем	1	1
47	одно из важнейших	1	1
48	большинстве случаев только	1	1
49	тот или иной	1	1
50	или хотя бы	1	1
51	потому что по	1	1
52	в настоящее время	1	1
