N	2gram	Trubetskoy	EvropaiC
1	таким образом	11	34
2	в том	17	31
3	и в	14	24
4	культурных ценностей	1	20
5	том что	9	20
6	все эти	2	19
7	то что	13	18
8	народа а	2	18
9	не может	22	18
10	может быть	9	17
11	до сих	5	15
12	все же	4	15
13	сих пор	5	15
14	точки зрения	11	14
15	к культуре	2	14
16	в этом	17	13
17	все это	6	13
18	самом деле	7	12
19	с этим	2	12
20	между тем	5	12
21	в своем	6	12
22	по отношению	2	11
23	но и	10	11
24	культуры и	2	11
25	отношению к	1	11
26	все что	4	10
27	мы знаем	1	10
28	не только	9	10
29	так и	1	10
30	европейской цивилизации	2	10
31	как и	4	10
32	культуры в	3	10
33	во всех	5	10
34	как бы	4	10
35	что в	4	9
36	при этом	5	9
37	в результате	2	9
38	не в	4	9
39	и все	1	9
40	и не	19	9
41	с другом	14	9
42	а т.к	1	9
43	потому что	5	9
44	и что	2	9
45	на то	5	9
46	друг с	14	9
47	того же	1	9
48	в самом	3	8
49	у народа	1	8
50	с точки	9	8
51	европейской культуры	2	8
52	касается до	2	8
53	более или	4	8
54	ясно что	2	8
55	или менее	4	8
56	к тому	7	8
57	мы говорили	3	8
58	для того	6	8
59	если бы	6	8
60	того чтобы	8	8
61	а между	5	8
62	земного шара	1	8
63	так же	2	8
64	знаем что	3	8
65	идет речь	4	8
66	из этих	3	8
67	так как	4	7
68	что при	1	7
69	того что	3	7
70	что и	3	7
71	на самом	6	7
72	национальной культуры	13	7
73	данного народа	5	7
74	что он	6	7
75	в психике	1	7
76	не менее	1	7
77	о которых	3	7
78	о котором	3	7
79	из этого	3	7
80	о том	7	7
81	вместе с	4	7
82	по своей	1	7
83	в этой	4	7
84	в сознании	3	7
85	в силу	2	7
86	по существу	5	7
87	для этого	3	7
88	мы можем	2	6
89	и на	5	6
90	несмотря на	3	6
91	с ним	2	6
92	что с	2	6
93	только в	5	6
94	тому же	1	6
95	от друга	2	6
96	к европейской	1	6
97	в мире	4	6
98	отличается от	2	6
99	друг от	2	6
100	говорили выше	1	6
101	еще не	3	6
102	все они	3	6
103	и если	7	6
104	должна быть	2	6
105	так что	2	6
106	народов и	2	6
107	и при	6	6
108	тогда как	2	6
109	что касается	1	6
110	как на	8	6
111	в каждый	1	6
112	в общем	1	6
113	с другой	1	6
114	в то	10	6
115	лишь при	5	6
116	в европе	1	6
117	и для	6	6
118	с культурой	1	5
119	и к	6	5
120	а потому	5	5
121	ничем не	1	5
122	должно быть	3	5
123	в состоянии	1	5
124	в его	4	5
125	из всех	2	5
126	что это	3	5
127	многие из	1	5
128	европейской культуре	1	5
129	романогерманцев и	1	5
130	у него	2	5
131	его в	4	5
132	первое время	1	5
133	в которой	1	5
134	но все	1	5
135	и с	7	5
136	именно в	3	5
137	у романогерманцев	1	5
138	и без	1	5
139	по своему	1	5
140	на все	1	5
141	свою культуру	1	5
142	случае если	3	5
143	по сравнению	1	5
144	быть и	2	5
145	не будет	7	5
146	и их	1	5
147	народа к	1	5
148	оказывается что	1	5
149	котором идет	2	5
150	от культуры	1	5
151	лишь в	3	5
152	своего народа	6	5
153	в себе	9	5
154	и от	2	5
155	что все	3	5
156	столь же	1	5
157	как будто	2	5
158	к этому	1	5
159	из них	3	5
160	но в	2	5
161	иначе говоря	1	4
162	не так	2	4
163	значительная часть	1	4
164	каждый данный	1	4
165	и то	4	4
166	то они	1	4
167	поэтому что	1	4
168	ее и	1	4
169	самого себя	7	4
170	которых мы	1	4
171	и культура	1	4
172	сильнее чем	1	4
173	этом случае	3	4
174	общая сумма	1	4
175	тем не	1	4
176	мало того	1	4
177	совершенно не	2	4
178	из которых	5	4
179	чем больше	1	4
180	это есть	2	4
181	в их	4	4
182	в виде	3	4
183	связи с	3	4
184	что его	1	4
185	и культур	1	4
186	в конце	3	4
187	в таком	2	4
188	с тем	6	4
189	этой культуры	2	4
190	не есть	3	4
191	не могут	4	4
192	между собой	5	4
193	и у	1	4
194	как сказано	1	4
195	что та	1	4
196	и сейчас	3	4
197	том случае	4	4
198	а с	2	4
199	данный момент	1	4
200	культуре и	2	4
201	мы уже	2	4
202	в течение	2	4
203	ни один	1	4
204	хотя бы	5	4
205	цивилизации и	1	4
206	то ни	4	4
207	в такой	1	4
208	мы должны	7	4
209	что эта	1	4
210	факт что	2	4
211	целый ряд	2	4
212	тот факт	2	4
213	признать что	6	4
214	всегда будет	1	4
215	и т.д	4	4
216	что для	3	4
217	и культуры	1	4
218	все-таки не	1	4
219	без того	1	4
220	том же	2	4
