N	4gram	Voloshinov	VeschiIm
1	не что иное как	1	12
2	бы то ни было	2	12
3	есть не что иное	1	8
4	одно и то же	1	5
5	и тем не менее	2	5
6	ни в каком случае	2	4
7	дело в том что	1	4
8	в то же время	6	4
9	и в то же	1	3
10	в каком случае не	1	2
11	или по крайней мере	1	2
12	уже не может быть	1	2
13	заключается в том что	2	2
14	в том что он	2	2
15	в своих прежних работах	1	2
16	между ними уже не	1	1
17	на самом же деле	2	1
18	ни в коем случае	1	1
19	что с точки зрения	1	1
20	может быть и речи	3	1
21	с точки зрения этого	1	1
22	– только одна из	1	1
23	и не подозревает о	1	1
24	с точки зрения строгой	1	1
25	и т д таким	1	1
26	каких бы то ни	1	1
27	мы видим таким образом	1	1
28	т д таким образом	1	1
29	ничего сказать не может	1	1
30	в коем случае не	1	1
31	не может обойтись без	1	1
32	из того что мы	1	1
33	том что он не	1	1
34	что между ними уже	1	1
35	и быть не может	1	1
36	в своем месте мы	1	1
37	но даже и не	1	1
38	ничто нам не дает	1	1
39	но в то же	3	1
40	не может быть и	4	1
41	видим таким образом что	1	1
42	даже и не подозревает	1	1
43	один и тот же	3	1
44	что бы то ни	1	1
