N	4gram	Propp_Isto	Analitik
1	не что иное как	3	6
2	есть не что иное	2	5
3	в том что он	1	4
4	не в том чтобы	1	3
5	дело в том что	2	3
6	мы имеем дело не	1	3
7	бы то ни было	2	3
8	не может быть признано	1	2
9	в тех случаях когда	1	2
10	не говоря уже о	1	2
11	один и тот же	2	2
12	какой бы то ни	1	2
13	имеем дело не с	1	2
14	есть на самом деле	1	1
15	не сам по себе	1	1
16	к тому или иному	1	1
17	в большей или меньшей	1	1
18	но в отличие от	3	1
19	которые следует понимать как	1	1
20	на самом же деле	1	1
21	внимание на то что	1	1
22	а тем самым и	1	1
23	и вместе с тем	2	1
24	то же самое что	2	1
25	не сами по себе	1	1
26	это далеко не единичный	1	1
27	дело не только в	1	1
28	во всех этих случаях	1	1
29	приводит к тому что	1	1
30	и в этом смысле	1	1
31	мы видим что в	1	1
32	уже по одному этому	1	1
33	ответ на этот вопрос	1	1
