N	4gram	Losev_Dial	SlovoVZh
1	дело в том что	1	4
2	с одной стороны и	3	2
3	одно и то же	8	2
4	одна и та же	5	1
5	ни в чем не	1	1
6	на самом же деле	2	1
7	но в то же	1	1
8	одному и тому же	1	1
9	и в этом смысле	2	1
10	все более и более	1	1
11	так же как и	1	1
12	в то время как	2	1
13	на самом деле это	1	1
14	можно было бы показать	1	1
15	сама по себе не	4	1
16	ни в коем случае	1	1
17	до сих пор не	1	1
18	по крайней мере два	1	1
19	до сих пор мы	1	1
20	в то же время	7	1
21	если бы не было	1	1
22	и с другой стороны	2	1
23	одной стороны и с	1	1
