N	4gram	Tiupa_Disk	Tvorches
1	в то же время	7	24
2	и в то же	2	6
3	дело в том что	3	4
4	в том что в	3	3
5	и не может быть	1	3
6	нет и не может	1	2
7	в том числе и	3	2
8	заключается в том что	1	2
9	очередь по отношению к	1	1
10	как уже было сказано	2	1
11	но и потому что	1	1
12	в русской литературе xix	1	1
13	первую очередь по отношению	1	1
14	сами по себе не	1	1
15	потому что в них	2	1
16	по отношению к самому	1	1
17	ни в чем не	1	1
18	не может быть ни	1	1
19	одного и того же	4	1
20	уже в е годы	1	1
21	или во всяком случае	1	1
22	в первую очередь по	1	1
23	бахтина о том что	1	1
24	не только потому что	1	1
25	но в таком случае	1	1
26	было в том что	1	1
27	между автором и читателем	1	1
28	то же время они	1	1
29	если можно так выразиться	2	1
