N	4gram	Bakhtin_Fr	Mirosoze
1	не что иное как	1	4
2	одна и та же	1	3
3	одной и той же	1	3
4	так же как и	2	3
5	есть не что иное	1	3
6	ни в чем не	1	2
7	не может быть и	1	2
8	вместе с тем он	1	2
9	в резком противоречии с	1	1
10	мы еще вернемся к	1	1
11	не одна а две	1	1
12	еще в одном отношении	1	1
13	ничего не остается кроме	1	1
14	в своем художественном творчестве	1	1
15	в то же время	14	1
16	и не может быть	1	1
17	бы он ни был	1	1
18	быть и речи о	1	1
19	находится в противоречии с	1	1
20	в том что это	1	1
21	того что преподносится в	1	1
22	потому что в основе	1	1
23	из самых замечательных и	1	1
24	может быть и речи	1	1
25	начинается после того как	1	1
26	до сих пор не	1	1
