N	2gram	Vinokur_Vv	Komedia
1	и в	35	77
2	и не	13	47
3	iv в	2	45
4	в том	38	44
5	том что	30	42
6	о том	16	33
7	т е	40	33
8	в г	5	33
9	но и	7	32
10	может быть	30	30
11	из них	4	29
12	таким образом	21	29
13	в то	6	28
14	и его	6	28
15	в этом	35	27
16	потому что	18	27
17	что он	5	26
18	к тому	4	26
19	тому же	1	25
20	не только	26	25
21	вместе с	6	25
22	так как	15	24
23	как и	7	23
24	что в	13	23
25	в самом	13	22
26	что и	5	22
27	если бы	3	22
28	то же	11	21
29	ясно что	11	21
30	в конце	3	21
31	так и	2	21
32	а в	6	21
33	в его	12	20
34	к этому	3	19
35	во время	1	19
36	по адресу	1	19
37	со стороны	16	19
38	в этой	3	18
39	тем что	6	17
40	же время	6	17
41	в нем	13	17
42	и здесь	3	17
43	и т	45	17
44	еще не	4	17
45	при этом	3	16
46	все же	9	16
47	не менее	9	16
48	у него	1	16
49	сих пор	7	16
50	до нас	3	16
51	и сам	3	16
52	до сих	7	16
53	тот же	1	16
54	не в	10	15
55	в своем	3	15
56	точки зрения	12	15
57	его в	6	15
58	в которой	1	15
59	между тем	10	15
60	один из	6	15
61	и на	3	15
62	было бы	7	15
63	прежде всего	10	15
64	и с	2	14
65	на протяжении	2	14
66	к нему	3	14
67	в свою	2	14
68	все это	6	14
69	об этом	6	14
70	только что	4	13
71	самом деле	7	13
72	о чем	4	13
73	в них	5	13
74	в одном	4	13
75	что она	3	13
76	того же	3	13
77	как раз	4	13
78	мы можем	2	13
79	так что	5	13
80	то что	19	13
81	того чтобы	22	13
82	но в	10	13
83	в котором	4	12
84	для того	23	12
85	так же	3	12
86	с другой	8	12
87	н э	6	12
88	несмотря на	2	12
89	хотя и	5	12
90	в качестве	8	12
91	как это	5	12
92	т п	5	12
93	из которых	3	12
94	как в	3	12
95	уже в	5	12
96	в истории	9	12
97	не по	1	12
98	в начале	3	12
99	не может	19	12
100	но не	9	12
101	и даже	6	11
102	с тем	6	11
103	по отношению	4	11
104	наряду с	3	11
105	что его	1	11
106	с ним	1	11
107	должны были	1	11
108	речь идет	2	11
109	как мы	11	11
110	на этот	6	11
111	и для	4	11
112	в их	12	11
113	в частности	3	11
114	одного из	1	11
115	с этим	3	10
116	он был	1	10
117	свою очередь	2	10
118	с одной	4	10
119	в чем	4	10
120	как бы	7	10
121	и что	6	10
122	в отношении	3	10
123	и все	1	10
124	на основании	5	10
125	одной из	4	10
126	ничего не	2	10
127	мы не	2	10
128	г и	1	10
129	на его	1	10
130	тем более	2	10
131	еще в	1	10
132	отношение к	3	10
133	же в	1	10
134	в целом	5	10
135	все что	1	9
136	но все	4	9
137	в своей	4	9
138	одной стороны	4	9
139	говорить о	5	9
140	тому что	2	9
141	только в	16	9
142	в тех	2	9
143	судя по	1	9
144	независимо от	5	9
145	из его	2	9
146	однако в	3	9
147	ответ на	4	9
148	того как	3	9
149	а также	3	9
150	вовсе не	6	9
151	отличие от	4	9
152	в ней	3	9
153	и особенно	1	9
154	отношению к	4	9
155	с этой	5	8
156	а затем	2	8
157	другой стороны	5	8
158	что ни	1	8
159	то это	3	8
160	по поводу	1	8
161	что у	1	8
162	такого рода	3	8
163	не было	2	8
164	бы в	2	8
165	во всех	2	8
166	то ни	1	8
167	можно было	8	8
168	если не	1	8
169	в которых	6	8
170	да и	4	8
171	в течение	5	8
172	тех пор	1	8
173	связи с	3	8
174	по содержанию	3	8
175	по своему	5	8
176	и других	3	8
177	с самого	1	8
178	дошедших до	1	8
179	как он	6	8
180	в в	3	8
181	и ее	4	8
182	место в	1	8
183	и к	3	7
184	дело с	9	7
185	в результате	4	7
186	в этих	3	7
187	во всяком	5	7
188	вопрос о	10	7
189	хотя бы	6	7
190	в другом	3	7
191	в руках	1	7
192	самого начала	1	7
193	бы то	1	7
194	что они	2	7
195	ни было	1	7
196	в связи	2	7
197	и это	6	7
198	так или	4	7
199	и тот	1	7
200	в себе	4	7
201	и у	1	7
202	не имеет	4	7
203	из этих	9	7
204	после смерти	1	7
205	мы знаем	1	7
206	до конца	3	7
207	но если	6	7
208	всяком случае	5	7
