N	3gram	Losev_Vlad	Analitik
1	в том что	13	25
2	не может быть	4	19
3	в то же	7	16
4	о том что	9	15
5	то же время	7	14
6	к тому же	3	13
7	мы имеем дело	1	11
8	так и не	3	10
9	с другой стороны	3	9
10	в свою очередь	2	9
11	в том чтобы	4	9
12	по крайней мере	1	9
13	с одной стороны	1	9
14	не только в	3	8
15	в этом отношении	2	8
16	в свое время	6	7
17	во всяком случае	8	7
18	что иное как	2	7
19	тем не менее	8	6
20	так или иначе	3	6
21	не что иное	2	6
22	не только не	1	5
23	есть не что	1	5
24	в этом случае	1	5
25	имеем дело с	1	5
26	в самом начале	1	4
27	до известной степени	1	4
28	все той же	1	4
29	в самом деле	1	4
30	для того чтобы	3	4
31	не в том	3	4
32	и тем самым	1	4
33	и не может	1	4
34	и в этом	1	4
35	в ответ на	2	4
36	и не в	1	4
37	в этом смысле	4	4
38	том что он	4	4
39	и тот же	2	3
40	и как бы	1	3
41	и то что	7	3
42	дело не в	1	3
43	в том числе	1	3
44	сам по себе	1	3
45	бы то ни	2	3
46	а в том	3	3
47	то ни было	1	3
48	в связи с	7	3
49	как раз и	2	3
50	можно сказать что	3	3
51	и той же	1	3
52	и все же	2	3
53	дело в том	7	3
54	содержит в себе	1	3
55	одной и той	1	3
56	что он не	3	2
57	на первом слоге	1	2
58	более или менее	5	2
59	того что в	1	2
60	смысле этого слова	1	2
61	в особенности же	1	2
62	а с другой	1	2
63	же касается самого	2	2
64	и то же	1	2
65	к тому что	1	2
66	вместе с ним	1	2
67	мысль о том	1	2
68	на то что	6	2
69	заключается в том	1	2
70	в сравнении с	2	2
71	один и тот	2	2
72	как и сам	1	2
73	в таких случаях	1	2
74	здесь мы имеем	1	2
75	тем более что	2	2
76	но и его	1	2
77	до тех пор	2	2
78	не говоря уже	3	2
79	одно и то	1	2
80	но в то	2	2
81	так и его	1	2
82	но отнюдь не	1	2
83	в себе не	1	2
84	говоря уже о	3	2
85	что же касается	8	2
86	нет и не	1	2
87	что несмотря на	1	2
88	для него самого	1	1
89	еще а н	1	1
90	тех пор пока	2	1
91	в дальнейшем мы	1	1
92	в частности к	1	1
93	в споре с	1	1
94	на предпоследнем слоге	2	1
95	и после нее	1	1
96	ведь и сам	1	1
97	этом же году	1	1
98	то он не	1	1
99	а не к	1	1
100	в той же	1	1
101	и наконец в	1	1
102	было не так	1	1
103	как и вообще	1	1
104	сразу же после	1	1
105	был молод и	1	1
106	то что с	1	1
107	и тут же	1	1
108	он как можно	1	1
109	а то что	1	1
110	в течение всего	1	1
111	для нас очень	1	1
112	в том же	3	1
113	года то есть	2	1
114	они не могут	1	1
115	не говоря о	1	1
116	с ним в	2	1
117	что между прочим	1	1
118	свидетельствует о том	1	1
119	тот же самый	1	1
120	то есть непосредственно	1	1
121	дальнейшем мы будем	1	1
122	и следовало ожидать	1	1
123	такой степени что	1	1
124	сообщение о том	1	1
125	в доме а	3	1
126	что у него	2	1
127	уже потому что	1	1
128	я со своей	1	1
129	приходит к выводу	1	1
130	и не могла	1	1
131	чего бы то	1	1
132	указывает на его	1	1
133	можно судить по	6	1
134	с этой стороны	1	1
135	в конце концов	6	1
136	своего отца и	1	1
137	я от него	1	1
138	в году а	1	1
139	в то что	1	1
140	само по себе	1	1
141	и вместе с	1	1
142	именно здесь в	1	1
143	это было в	1	1
144	виде в каком	1	1
145	вера в то	1	1
146	из них не	2	1
147	отставку в году	1	1
148	том виде в	1	1
149	что в этом	1	1
150	на него не	1	1
151	искусства и религии	1	1
152	имеет дело с	1	1
153	ни к какой	1	1
154	в чем мы	1	1
155	на этот раз	7	1
156	на вопрос зачем	1	1
157	что даже в	1	1
158	не только во	1	1
159	только то что	1	1
160	лицом к лицу	1	1
161	этот раз не	1	1
162	на самом же	1	1
163	и особенно в	1	1
164	в году о	1	1
165	а не путем	1	1
166	и в том	2	1
167	поводу того что	1	1
168	в чем дело	1	1
169	он так и	2	1
170	в отставку в	1	1
171	его личности с	1	1
172	по поводу того	1	1
173	с теми же	2	1
174	на руках и	1	1
175	он и в	1	1
176	однако дело здесь	1	1
177	больше и больше	1	1
178	но он не	1	1
179	то его можно	1	1
180	вместе с тем	2	1
181	а в начале	1	1
182	ни с той	1	1
183	этом отношении он	1	1
184	к чему не	1	1
185	самом же деле	1	1
186	еще в году	2	1
187	есть отнюдь не	1	1
188	он не только	2	1
189	в этом же	2	1
190	в котором по	1	1
191	но дело в	2	1
192	в году но	2	1
193	не было и	1	1
194	и теперь в	1	1
195	и в особенности	1	1
196	выходят за пределы	1	1
197	по возвращении в	2	1
198	той же самой	1	1
199	точно так же	2	1
200	как это было	1	1
201	в этой борьбе	1	1
202	к одному из	1	1
203	к выводу что	1	1
204	но как бы	1	1
205	все что может	1	1
206	сказать что в	1	1
207	требует от нас	1	1
208	том же году	1	1
209	да и в	1	1
210	в то время	6	1
211	в конце его	1	1
212	во всех своих	1	1
213	не столько с	1	1
214	до некоторой степени	2	1
215	да может быть	1	1
216	уже не может	1	1
217	второй и третий	1	1
218	хотя и не	2	1
219	несмотря на свою	1	1
220	равно как и	1	1
221	где мы читаем	1	1
222	из этого письма	2	1
223	но и все	1	1
224	в церковь а	1	1
225	и в частности	3	1
226	нам представляется что	1	1
227	это было не	1	1
228	как и следовало	1	1
229	как раз в	1	1
230	также и в	2	1
231	в начале июня	3	1
232	не менее не	1	1
233	с ним и	1	1
234	как мы увидим	2	1
235	так и в	1	1
236	во второй половине	3	1
237	ни к чему	1	1
238	я никогда не	1	1
239	ко всему этому	2	1
240	между прочим и	2	1
241	субъект и объект	1	1
242	все это было	2	1
243	состояла в том	1	1
244	в том виде	1	1
245	этот факт не	1	1
246	личности и всего	1	1
247	оно может быть	1	1
248	не мог найти	1	1
249	что и в	2	1
250	не только как	1	1
251	мы имеем не	1	1
252	в своем внутреннем	1	1
253	но и для	1	1
254	после того как	2	1
255	с особого рода	1	1
