N	4gram	Bakhtin_sl	Formalny
1	в то же время	15	20
2	бы то ни было	1	7
3	и в то же	6	6
4	одни и те же	1	5
5	с одной стороны и	2	5
6	все более и более	1	4
7	и т п в	2	4
8	бы она ни была	1	4
9	на самом же деле	1	3
10	с точки зрения самого	2	3
11	как бы ни были	1	3
12	во всех областях идеологического	1	3
13	в том числе и	1	3
14	но в то же	6	3
15	всех областях идеологического творчества	1	3
16	в неразрывной связи с	1	2
17	не может войти в	1	2
18	с этой точки зрения	1	2
19	не выходит за пределы	3	2
20	во всех своих моментах	1	2
21	менее всего может быть	1	2
22	мы имеем в виду	1	2
23	и с точки зрения	1	2
24	в самом языке как	1	2
25	то же время и	2	2
26	в зависимости от характера	1	2
27	могут выйти за пределы	1	1
28	в значительной степени и	1	1
29	как не может быть	1	1
30	может иметь место в	1	1
31	и в этом случае	2	1
32	каково бы оно ни	1	1
33	в этом случае в	1	1
34	и прежде всего в	1	1
35	не может быть конечно	1	1
36	и т п слово	1	1
37	с той или иной	1	1
38	одно и то же	2	1
39	не может внести в	1	1
40	большей или меньшей степени	3	1
41	не с точки зрения	1	1
42	различия между этими двумя	1	1
43	быть более или менее	1	1
44	нового специально поэтического языка	1	1
45	является лишь одним из	1	1
46	не могут выйти за	1	1
47	дело в том что	1	1
48	не значит конечно что	2	1
49	в большей или меньшей	3	1
50	в одной плоскости с	1	1
51	и т п все	1	1
52	или иной идеологической сферой	1	1
53	ни в чем не	1	1
54	ни в какой степени	1	1
55	нем и в то	1	1
56	языка не может быть	2	1
57	оно не может быть	1	1
58	дело идет уже не	1	1
59	одной и той же	1	1
60	как бы она ни	1	1
61	рассматривать с точки зрения	1	1
62	тем не менее в	1	1
63	по самому своему существу	1	1
64	то же время в	1	1
65	только с точки зрения	1	1
66	это не значит конечно	2	1
67	с другой стороны эти	1	1
68	бы оно ни было	1	1
69	во всей ее конкретности	1	1
70	или во всяком случае	2	1
71	и т п на	1	1
72	между поэтом и его	1	1
73	как к своему пределу	1	1
74	в каждый данный момент	4	1
75	жанра может быть только	1	1
76	во всяком случае были	1	1
77	в какой степени не	1	1
78	той или иной идеологической	1	1
79	могут противоречить друг другу	1	1
