N	3gram	Nazirov_Tr	Dialekti
1	в том что	2	25
2	не может быть	1	18
3	тем не менее	1	16
4	сам по себе	1	16
5	то же время	5	15
6	в то же	5	14
7	о том что	2	12
8	в самом деле	1	10
9	и в этом	1	9
10	это и есть	1	9
11	не только не	1	8
12	точно так же	2	7
13	в связи с	1	7
14	и в частности	2	7
15	как и все	1	6
16	во всяком случае	1	6
17	по сравнению с	1	5
18	несмотря на всю	1	5
19	в конце концов	1	5
20	к тому что	1	5
21	и т п	1	4
22	что это значит?	1	4
23	в данном случае	2	4
24	не только о	1	4
25	может быть в	1	4
26	не могут быть	1	4
27	и как бы	2	3
28	а стало быть	1	3
29	но все же	2	3
30	и не может	1	3
31	и что же?	1	3
32	в чем же	1	3
33	как и в	1	3
34	но в то	2	3
35	мы отнюдь не	1	3
36	с самого начала	1	3
37	и должно быть	1	3
38	еще ничего не	1	3
39	что он не	1	2
40	бы и не	1	2
41	хотя бы и	1	2
42	прежде всего необходимо	1	2
43	на всю ее	1	2
44	в обоих случаях	1	2
45	это не просто	1	2
46	и вместе с	1	2
47	не в силах	2	2
48	на деле же	1	2
49	и не быть	1	2
50	это может быть	1	2
51	у достоевского в	1	2
52	и то что	1	2
53	и при этом	1	2
54	в таком виде	1	2
55	что с г	1	1
56	все это мы	1	1
57	имеет в виду	1	1
58	это как бы	1	1
59	на них он	1	1
60	никогда не был	1	1
61	что уже не	1	1
62	в применении к	1	1
63	что в ней	1	1
64	то что он	1	1
65	а я люблю	1	1
66	таком виде что	1	1
67	в братьях карамазовых	1	1
68	чем он сам	1	1
69	что все это	1	1
70	все это происходит	1	1
71	во веки веков	1	1
72	по природе своей	1	1
73	вопрос об этом	1	1
74	но при этом	1	1
75	сам говорит что	1	1
76	должно быть по	1	1
77	бросается в глаза	2	1
78	в этом мире	1	1
79	в отличие от	2	1
80	в последней главе	1	1
81	что нужно для	1	1
82	это должно быть	1	1
83	несмотря на все	1	1
84	подобного нет в	1	1
85	отнюдь не является	1	1
86	в одном из	1	1
87	за то что	1	1
88	отношение к нему	1	1
89	как это часто	1	1
90	во всем его	1	1
91	ничего подобного нет	1	1
92	своей и чужой	1	1
93	что он вообще	1	1
94	что он с	1	1
95	в виду не	1	1
96	а между тем	1	1
97	по вопросу об	1	1
98	тому что оно	1	1
99	все же не	1	1
100	ни за что	1	1
101	но в конце	1	1
102	в голову что	1	1
103	в своем известном	1	1
104	в каких терминах	1	1
105	что я вижу	1	1
106	вообще не имеет	1	1
107	это мы видим	1	1
108	в этом случае	1	1
109	хорошо знает и	1	1
110	том что он	1	1
111	и сорвался с	1	1
112	и не могли	1	1
113	я не хочу	1	1
114	в той же	1	1
115	и то в	1	1
116	и цветов и	1	1
117	после того как	1	1
