N	3gram	Bakhtin_Fr	Russkaja
1	друг с другом	2	14
2	то же время	5	10
3	в то же	5	10
4	с точки зрения	6	9
5	в том что	6	7
6	на самом деле	2	6
7	во всяком случае	2	6
8	для того чтобы	2	6
9	а между тем	1	5
10	до сих пор	7	5
11	не может быть	5	4
12	на то что	1	4
13	к тому чтобы	1	4
14	той или иной	5	3
15	в конце концов	1	3
16	в этом случае	1	3
17	и не может	2	3
18	с самим собой	1	2
19	и в том	2	2
20	того или иного	1	2
21	в значительной мере	3	2
22	в большинстве случаев	2	2
23	они принадлежат к	1	2
24	о том что	3	2
25	в себе и	2	2
26	друг от друга	1	2
27	в настоящее время	1	2
28	подлежит никакому сомнению	2	1
29	во всех областях	1	1
30	но для нас	1	1
31	как и при	1	1
32	прежде всего о	1	1
33	чтобы освободиться от	1	1
34	и не к	1	1
35	но при этом	1	1
36	в самом деле	1	1
37	воплощает в себе	1	1
38	в борьбе с	1	1
39	на точку зрения	1	1
40	и в частности	2	1
41	дело в том	2	1
42	главным образом как	1	1
43	силе и по	1	1
44	и в некоторых	1	1
45	этого прежде всего	1	1
46	он еще не	1	1
47	но в то	2	1
48	в разных странах	1	1
49	это конечно не	1	1
50	в некоторых других	1	1
51	наиболее полное и	1	1
52	для борьбы с	1	1
53	на земле не	1	1
54	том числе и	7	1
55	прежде всего на	3	1
56	до известной степени	2	1
57	тех или иных	1	1
58	по отношению к	2	1
59	и прежде всего	4	1
60	никакому сомнению что	1	1
61	одной из этих	1	1
62	и вот в	1	1
63	во всех этих	2	1
64	как бы ни	2	1
65	и видеть в	1	1
66	даже и в	4	1
67	в том чтобы	1	1
68	не только от	1	1
69	говорили в начале	1	1
70	того чтобы освободиться	1	1
71	прежде всего в	1	1
72	яркое выражение в	2	1
73	и в других	2	1
74	том что только	1	1
75	всяком случае не	1	1
76	что касается до	2	1
77	основе его лежит	1	1
78	было бы чрезвычайно	1	1
79	для этого прежде	1	1
80	то что для	2	1
81	неразрывно связаны с	1	1
82	совершенно чуждые ему	1	1
83	здесь же мы	1	1
84	с нею не	1	1
85	же время эти	1	1
86	в связи с	1	1
87	в этих последних	1	1
88	в нем все	1	1
89	же время в	1	1
90	что с точки	1	1
91	ни к какому	2	1
92	в том числе	10	1
93	выражение в его	1	1
94	в своем стремлении	1	1
95	но как бы	1	1
96	но все же	3	1
97	только то что	1	1
98	в другом месте	2	1
99	жизни но и	1	1
100	свидетельствуют о том	1	1
101	некоторых из них	2	1
102	жизни в эпоху	1	1
103	с ним в	1	1
104	от нас и	1	1
105	в этом отношении	5	1
106	то есть не	1	1
107	прежде всего необходимо	2	1
108	в применении к	3	1
109	и не только	1	1
110	точки зрения этих	1	1
111	не подлежит никакому	2	1
112	в его целом	2	1
113	в значительной степени	4	1
114	в основе его	2	1
115	нельзя было не	1	1
116	во всех странах	1	1
117	но даже и	2	1
118	на этот вопрос	2	1
119	или хотя бы	1	1
120	к тому же	1	1
121	того что не	1	1
122	сводится к тому	1	1
123	речь идет не	1	1
