N	2gram	Bakhtin_Fr	Problema
1	и в	68	182
2	то есть	31	165
3	и не	25	152
4	вовсе не	18	145
5	то что	11	144
6	не только	21	104
7	потому что	3	89
8	в этом	28	88
9	может быть	10	82
10	в том	12	81
11	том что	6	81
12	только в	9	73
13	сказать что	3	72
14	но и	17	70
15	в виде	2	69
16	у нас	4	68
17	также и	6	68
18	и даже	7	66
19	по себе	1	64
20	даже и	3	63
21	не менее	2	58
22	о том	5	57
23	а не	6	56
24	так и	8	56
25	но в	20	55
26	так что	1	52
27	ни в	6	51
28	для нас	1	50
29	в себе	5	48
30	отнюдь не	1	48
31	и вообще	3	48
32	смысле слова	5	47
33	при помощи	1	47
34	было бы	4	46
35	прежде всего	23	45
36	в своей	11	45
37	что в	14	44
38	в его	21	44
39	не в	2	43
40	все эти	16	43
41	то же	14	42
42	а именно	1	42
43	как раз	8	42
44	таким образом	22	42
45	и что	2	40
46	и то	2	40
47	что он	7	40
48	так как	7	40
49	что мы	1	40
50	во всяком	2	39
51	не может	5	39
52	такого рода	5	39
53	и тем	1	39
54	в этой	15	39
55	как бы	7	39
56	той или	2	38
57	в данном	5	38
58	хотя бы	2	37
59	никак не	3	37
60	в нем	12	37
61	того что	3	37
62	точки зрения	8	36
63	есть нечто	1	36
64	еще не	3	36
65	и все	16	36
66	и т	1	35
67	в виду	8	34
68	уже не	2	34
69	и с	15	34
70	как и	17	34
71	указывает на	1	34
72	в таком	2	33
73	или иной	2	33
74	здесь не	5	32
75	в то	14	32
76	но не	4	32
77	так же	3	31
78	в своем	11	31
79	связи с	8	31
80	что такое	1	31
81	в конце	8	31
82	но это	5	31
83	все это	6	31
84	подобного рода	1	30
85	и для	6	30
86	с другой	8	30
87	настоящее время	2	30
88	в настоящее	2	30
89	в связи	7	29
90	есть ее	1	29
91	все же	6	29
92	можно сказать	2	29
93	перед нами	4	29
94	как мы	18	29
95	об этом	3	29
96	данном случае	3	28
97	мы не	3	28
98	а в	3	28
99	и о	5	28
100	и это	5	27
101	и как	5	27
102	хотя и	2	27
103	ничего не	4	27
104	в результате	1	26
105	другой стороны	5	26
106	да и	2	26
107	как будто	2	26
108	вместе с	4	26
109	еще и	6	26
110	это не	5	26
111	и его	26	26
112	и на	16	25
113	тем самым	1	25
114	с точки	4	25
115	всяком случае	2	25
116	с тем	1	24
117	на самом	7	24
118	в нашем	5	24
119	и вполне	2	24
120	не имеет	1	24
121	по своему	3	23
122	на то	1	23
123	при этом	5	23
124	тут же	3	23
125	в качестве	2	23
126	и притом	1	23
127	конце концов	3	23
128	мы находим	3	23
129	есть не	1	23
130	и к	4	22
131	раз и	2	22
132	только на	4	22
133	никогда не	2	22
134	всех этих	5	22
135	нет ничего	1	22
136	есть в	1	22
137	его в	7	22
138	и от	4	22
139	и есть	5	22
140	и если	2	22
141	что и	3	22
142	другими словами	4	22
143	в самом	6	21
144	и ее	3	21
145	а также	6	21
146	и только	1	21
147	именно в	5	20
148	для того	5	20
149	но как	5	20
150	можно было	3	20
151	и потому	6	20
152	о чем	3	20
153	тем что	6	20
154	несмотря на	1	20
155	как о	2	20
156	или в	3	20
157	кроме того	5	19
158	в них	19	19
159	с ним	3	19
160	самом деле	5	19
161	но если	1	19
162	уже в	4	19
163	то в	2	19
164	в отношении	3	19
165	но только	2	19
166	он не	11	19
167	это есть	2	19
168	если бы	3	19
169	как в	4	19
170	как нечто	3	19
171	жизни и	6	19
172	в этих	8	18
173	того же	4	18
174	не было	7	18
175	в ее	5	18
176	того чтобы	6	18
177	в ней	6	18
178	что они	3	17
179	во всех	8	17
180	и здесь	5	17
181	гораздо более	1	17
182	мы уже	19	17
183	в языке	2	17
184	что здесь	2	17
185	это и	4	17
186	совершенно не	1	17
187	тех или	2	17
188	будто бы	2	16
189	как это	1	16
190	он и	10	16
191	художественного произведения	1	16
192	же в	2	16
193	для этого	3	16
194	но все	5	16
195	но даже	2	16
196	далеко не	3	16
197	и сам	5	15
198	казалось бы	1	15
199	с этим	2	15
200	в чем	3	15
201	всякого рода	2	15
202	в той	7	15
203	у него	14	15
204	что не	1	15
205	и более	2	15
206	здесь в	6	15
207	в частности	4	15
208	уже и	2	14
209	что все	2	14
210	с другими	1	14
211	сих пор	6	14
212	не так	3	14
213	этом случае	1	14
214	нас не	1	14
215	все равно	1	14
216	в котором	3	14
217	говорит о	2	14
218	нас в	2	14
219	до сих	6	14
220	в дальнейшем	4	14
221	не что	1	14
222	то ни	1	14
223	что иное	1	14
224	иное как	1	14
225	же и	4	13
226	из них	8	13
227	тому что	1	13
228	действительности и	1	13
229	из этого	3	13
230	бы и	1	13
231	мы имеем	2	13
232	в их	6	13
233	или даже	1	13
234	здесь только	3	13
235	в области	5	13
236	который в	2	13
237	уже давно	2	13
238	в других	4	13
239	в целях	1	13
240	мы в	1	13
241	дело в	4	13
242	в другом	3	12
243	он сам	1	12
244	с одной	5	12
245	в которой	6	12
246	время как	1	12
247	в самой	1	12
248	для них	1	12
249	то время	1	12
250	на первый	1	12
251	в литературе	10	12
252	каждый раз	1	12
253	в начале	5	12
254	и очень	2	12
255	не являются	1	12
256	что этот	1	12
257	значения и	1	12
258	в смысле	1	12
259	что это	4	12
260	нашем смысле	1	12
261	но именно	3	12
262	нисколько не	1	12
263	в целом	3	12
264	или иных	2	11
265	бы то	1	11
266	и следовательно	3	11
267	жизни в	1	11
268	свидетельствует о	2	11
269	и литературы	1	11
270	тот же	4	11
271	как именно	1	11
272	в таких	3	11
273	одной стороны	4	11
274	оказывается что	1	11
275	никак нельзя	1	11
276	к нему	4	11
277	только не	1	11
278	без всякой	2	11
279	не могут	1	11
280	и у	2	11
281	заключается в	1	11
282	в истории	5	11
283	и во	6	11
284	и самого	1	11
285	указание на	1	11
286	и их	5	11
287	в нашей	2	11
288	по этому	1	11
289	более или	1	10
290	есть то	1	10
291	что у	2	10
292	на том	2	10
293	но он	9	10
294	что для	2	10
295	один из	9	10
296	художественного творчества	1	10
297	от нас	1	10
298	со всеми	5	10
299	бы не	1	10
300	что оно	1	10
301	и всякий	1	10
302	все еще	1	10
303	очень много	1	10
304	в году	11	10
305	в одном	7	10
306	представление о	2	10
307	отличается от	1	10
308	которые мы	1	10
309	все время	3	10
310	в заключение	4	10
311	и сама	2	10
312	действительности но	1	10
313	быть только	1	10
314	он в	2	10
315	из которых	1	10
316	относится к	2	10
317	внимание на	1	10
318	ни с	1	10
319	или менее	1	10
320	быть и	2	10
321	только то	2	10
322	слова и	3	10
323	и другие	4	9
324	в своих	7	9
325	их в	7	9
326	нет и	1	9
327	что даже	1	9
328	здесь как	1	9
329	именно как	1	9
330	в тех	1	9
331	тогда когда	1	9
332	о котором	2	9
333	то он	1	9
334	только тогда	1	9
335	это вовсе	2	9
336	того как	1	9
337	но эта	1	9
338	имеется в	2	9
339	которые в	2	9
340	само собой	1	9
341	языка и	1	9
342	в жизни	1	9
343	правда в	1	9
344	в художественном	3	9
345	только для	6	9
346	вообще и	1	9
347	в буквальном	1	9
348	между прочим	1	9
349	на себе	1	9
350	не был	4	9
351	мы говорили	2	9
352	литературы и	1	9
353	был бы	1	9
354	поэтому и	4	9
355	здесь мы	3	9
356	чем же	1	9
357	и до	14	9
358	образности и	1	9
359	в условиях	3	9
360	это было	2	9
361	жизнь и	2	9
362	как же	1	9
363	и наконец	5	9
364	во всем	4	8
365	только что	1	8
366	мы считаем	1	8
367	и образ	2	8
368	он был	5	8
369	и весь	2	8
370	конечно не	4	8
371	во всей	3	8
372	тем же	2	8
373	но для	1	8
374	от этого	2	8
375	между собой	1	8
376	почти всегда	1	8
377	и по	4	8
378	с ее	1	8
379	и самый	2	8
380	к сожалению	1	8
381	и при	2	8
382	к его	1	8
383	никто не	1	8
384	из этих	2	8
385	значение в	4	8
386	и тут	2	8
387	бы мы	1	8
388	на его	4	8
389	еще в	4	8
390	вплоть до	5	8
391	для всех	1	8
392	были бы	1	8
393	самом же	1	8
394	как они	2	8
395	от всего	1	8
396	если в	1	8
397	входит в	2	8
398	и он	2	8
399	здесь нет	2	8
400	ни было	1	8
401	но ведь	3	8
402	себе и	1	8
403	мы здесь	2	8
404	которое мы	1	8
405	не значит	1	8
