N	2gram	Potebnia_M	Retstnzi
1	не может	18	4
2	и в	48	3
3	если в	2	2
4	один из	7	2
5	при сравнении	1	1
6	произведения но	1	1
7	может и	1	1
8	нуждаются в	1	1
9	несмотря на	2	1
10	может быть	46	1
11	не только	32	1
12	точки зрения	4	1
13	с точки	3	1
14	может не	1	1
15	для него	14	1
16	в ней	11	1
17	явление если	1	1
18	тех же	1	1
19	себе все	2	1
20	в каждом	6	1
21	связи с	6	1
22	не из	4	1
23	если один	1	1
24	с другими	9	1
25	лежащие в	2	1
26	если бы	20	1
27	художественного произведения	6	1
28	исходя из	1	1
29	в его	6	1
30	и тому	1	1
31	влияния на	2	1
32	не менее	9	1
33	тому подобных	1	1
34	именно с	1	1
35	и заставляет	1	1
36	в языке	19	1
37	но и	30	1
38	в выборе	1	1
39	мы видим	3	1
40	к тому	9	1
41	во второй	1	1
42	сравнении с	1	1
43	можно назвать	2	1
44	о формах	1	1
45	тому что	6	1
46	языка как	1	1
47	теми или	1	1
48	грамматических категорий	3	1
49	в то	16	1
50	из этих	10	1
51	он в	1	1
52	же время	8	1
53	то же	35	1
54	по своим	1	1
55	а не	22	1
56	бы в	3	1
57	нет и	2	1
58	в системе	2	1
59	и не	28	1
60	так называемая	1	1
61	на нее	2	1
62	и все	5	1
63	истории но	1	1
64	и на	5	1
65	себя от	2	1
