N	3gram	Tiupa_Hudo	EvropaiE
1	с точки зрения	5	16
2	в то же	11	15
3	то же время	11	14
4	и в то	2	8
5	с одной стороны	4	8
6	в том что	15	6
7	одной стороны и	1	6
8	так же как	2	5
9	как нам кажется	1	5
10	этой точки зрения	1	5
11	для того чтобы	2	5
12	с этой точки	1	5
13	того или иного	4	4
14	той или иной	1	4
15	не только в	4	4
16	бы то ни	1	4
17	и в этом	3	4
18	друг с другом	1	3
19	можно было бы	5	3
20	в этом смысле	1	3
21	же как и	2	3
22	заключает в себе	1	3
23	хотя бы и	1	3
24	ту или иную	2	3
25	между тем в	2	3
26	во всяком случае	1	3
27	можно сказать что	1	3
28	в известном смысле	1	3
29	в этом отношении	4	3
30	так и в	1	2
31	в одном из	1	2
32	а тем более	1	2
33	но в то	3	2
34	не может быть	5	2
35	на то что	2	2
36	в данном случае	3	2
37	прежде всего в	1	2
38	заключается в том	1	2
39	к тому чтобы	1	2
40	только в том	4	2
41	друг от друга	2	2
42	во второй половине	2	2
43	в свою очередь	1	2
44	с другой стороны	1	2
45	не более чем	2	2
46	по нашему мнению	1	2
47	во многих отношениях	1	1
48	и т д	5	1
49	как одно из	1	1
50	а также о	1	1
51	что для него	1	1
52	в своем прошлом	1	1
53	в одной из	1	1
54	в том случае	2	1
55	так обстояло дело	1	1
56	наше внимание на	1	1
57	именно потому что	1	1
58	именно к этой	1	1
59	не означает что	1	1
60	и та же	1	1
61	дело в том	1	1
62	в своем духовном	1	1
63	же время не	1	1
64	так и по	1	1
65	речь идет о	2	1
66	не сводится к	1	1
67	то или иное	1	1
68	вместо того чтобы	2	1
69	к тому что	8	1
70	том числе и	1	1
71	большей степени чем	1	1
72	к ней в	1	1
73	по преимуществу и	1	1
74	в соответствии с	1	1
75	в том смысле	1	1
76	в отличие от	1	1
77	несмотря на то	1	1
78	и то и	1	1
79	к концу xix	1	1
80	то и другое	2	1
81	не может не	1	1
82	с тем что	1	1
83	в гораздо большей	1	1
84	точки зрения развития	1	1
85	что же касается	2	1
86	личности именно в	1	1
87	на то чтобы	2	1
88	в связи с	3	1
89	том случае если	2	1
90	в пределах одного	1	1
91	а также в	1	1
92	только в качестве	1	1
93	та или иная	4	1
94	в том числе	1	1
95	в стороне от	1	1
96	на тех кто	2	1
97	связи с этим	2	1
98	гораздо большей степени	1	1
99	более или менее	1	1
100	чтобы ответить на	1	1
101	в значительной степени	3	1
102	действительности как и	1	1
103	одной из европейских	1	1
104	стороне от основного	1	1
105	но и для	2	1
106	одна и та	1	1
107	а также и	1	1
