N	2gram	Bakhtin_Pr	BTomashe
1	у нас	3	3
2	все это	9	2
3	литературных произведений	1	2
4	в ней	2	2
5	можно было	3	2
6	не то	1	2
7	и не	55	2
8	видеть в	2	2
9	вопрос о	3	1
10	и о	7	1
11	о них	1	1
12	и нет	6	1
13	не только	26	1
14	пожалуй и	2	1
15	а о	1	1
16	всего в	2	1
17	таким образом	15	1
18	не было	5	1
19	его функцией	1	1
20	прежде всего	16	1
21	и в	64	1
22	на самом	5	1
23	так и	8	1
24	на которой	1	1
25	признать его	1	1
26	можно в	1	1
27	из своей	1	1
28	в своей	11	1
29	стиля и	5	1
30	во всяком	7	1
31	и потому	7	1
32	и во	3	1
33	также что	1	1
34	за пределы	7	1
35	говорить об	1	1
36	понимания художественной	1	1
37	же не	4	1
38	по крайней	2	1
39	в речи	3	1
40	с другой	7	1
41	об этом	3	1
42	художественного произведения	2	1
43	своей книге	1	1
44	как будто	4	1
45	точке зрения	3	1
46	совершенно не	5	1
47	не о	3	1
48	другой стороны	6	1
49	крайней мере	2	1
50	всяком случае	4	1
51	кроме того	5	1
52	было бы	8	1
53	установка на	4	1
54	но автор	1	1
55	не следует	1	1
56	не признать	1	1
57	и ее	5	1
58	одной из	1	1
59	в значительной	1	1
60	почти совершенно	1	1
61	в пределах	24	1
62	в данном	2	1
63	должна быть	8	1
64	выпадает из	1	1
65	в области	1	1
66	является только	1	1
67	далеко не	7	1
68	еще лучше	1	1
69	позиции на	1	1
70	говорить не	1	1
71	что все	2	1
72	не все	1	1
73	нельзя не	1	1
74	художественном произведении	1	1
75	автором не	1	1
76	по этим	1	1
77	никак не	4	1
78	в книге	2	1
79	значительной степени	1	1
80	его не	1	1
81	будто бы	1	1
82	произведения все	1	1
83	также не	2	1
84	а не	29	1
85	до конца	10	1
86	представляется нам	2	1
87	художественная функция	1	1
88	не укладывается	4	1
89	и на	16	1
90	приемов построения	1	1
91	выходит за	1	1
92	между ними	6	1
93	произведении что	1	1
94	еще не	10	1
95	нет но	2	1
96	целиком в	1	1
97	все же	11	1
98	что в	11	1
