N	4gram	Voloshinov	Sovremen
1	что же это за	1	2
2	мы уже знаем что	1	1
3	в первый период развития	2	1
4	может быть и речи	3	1
5	с помощью которых он	1	1
6	но мы знаем что	2	1
7	но тем не менее	1	1
8	быть и речи мы	1	1
9	не могут быть поняты	1	1
10	дело в том что	1	1
11	ничего общего не имеет	1	1
12	бы то ни было	2	1
13	одной и той же	3	1
14	в дословном переводе с	1	1
15	во всяком случае не	1	1
16	и в то же	1	1
17	не что иное как	1	1
18	не может быть и	4	1
19	в то же время	6	1
20	в предыдущей главе мы	2	1
21	назвать в отличие от	1	1
22	необходимо сказать несколько слов	1	1
23	не давая себе даже	1	1
24	одни и те же	1	1
25	дословном переводе с греческого	1	1
26	мы знаем что это	1	1
27	таким образом ясно что	1	1
28	один и тот же	3	1
29	а может быть и	1	1
30	есть не что иное	1	1
