N	2gram	Potebnia_M	VeschiIm
1	не есть	13	79
2	и не	34	57
3	не только	32	48
4	то что	24	48
5	не может	30	46
6	и в	58	45
7	и есть	4	40
8	и т	10	39
9	может быть	47	39
10	т д	6	38
11	а не	38	37
12	значит что	1	32
13	это значит	1	30
14	что я	2	26
15	потому что	89	25
16	было бы	21	24
17	только в	36	23
18	по себе	24	23
19	что она	3	23
20	в себе	22	23
21	сказать что	5	22
22	в смысле	4	22
23	и что	13	22
24	как бы	12	20
25	что такое	3	20
26	и следовательно	4	20
27	что это	5	19
28	что же	3	19
29	с нею	6	19
30	но и	26	19
31	и ее	1	19
32	в этом	18	18
33	все же	11	18
34	есть только	16	18
35	так как	29	17
36	что мы	11	17
37	прежде всего	8	17
38	и это	3	17
39	есть не	7	17
40	таким образом	21	16
41	оно есть	1	16
42	того что	15	16
43	как и	16	15
44	уже не	4	15
45	в том	38	15
46	в ней	9	15
47	но это	7	14
48	и то	4	14
49	сущности и	1	14
50	не в	23	14
51	в самом	5	13
52	не будет	2	13
53	том что	21	13
54	и для	8	13
55	а и	5	13
56	в себя	2	13
57	то ни	3	13
58	что в	34	12
59	и с	3	12
60	бы то	2	12
61	то же	13	12
62	и даже	4	12
63	есть нечто	7	12
64	о том	6	12
65	еще не	9	12
66	не что	2	12
67	если мы	5	12
68	точки зрения	8	12
69	но если	4	12
70	она есть	3	12
71	ничего не	2	12
72	что они	6	12
73	что иное	2	12
74	ни было	4	12
75	совершенно не	1	12
76	что и	16	12
77	между собою	10	12
78	и как	11	12
79	если она	1	12
80	иное как	2	12
81	и их	6	11
82	не менее	10	11
83	себя в	1	11
84	д и	2	11
85	еще и	1	11
86	тем не	11	11
87	ни в	2	11
88	что не	15	11
89	вовсе не	13	11
90	предполагает что	1	11
91	в то	6	11
92	и только	6	11
93	по крайней	6	10
94	в чем	6	10
95	крайней мере	6	10
96	что оно	5	10
97	с ее	2	10
98	я и	1	9
99	с ним	7	9
100	в результате	1	9
101	со стороны	11	9
102	то и	15	9
103	хотя бы	4	9
104	нисколько не	2	9
105	в своем	3	9
106	ни с	2	9
107	должно быть	9	9
108	это не	10	9
109	у нас	3	9
110	есть явление	5	9
111	но что	2	9
112	бы в	6	9
113	если оно	1	9
114	она не	3	9
115	так что	23	9
116	но не	19	9
117	на то	5	9
118	и его	7	9
119	как с	1	8
120	должна быть	4	8
121	если бы	23	8
122	с тем	9	8
123	что он	5	8
124	себя и	3	8
125	отличается от	1	8
126	по сравнению	1	8
127	но в	12	8
128	мы не	17	8
129	мы имеем	1	8
130	для него	13	8
131	в ее	2	8
132	все это	3	8
133	с другими	3	8
134	в отношении	1	8
135	его в	3	8
136	указывает на	2	8
137	и потому	7	8
138	не с	2	8
139	с другой	13	8
140	можно сказать	1	8
141	что есть	3	8
142	с этой	3	7
143	в сущности	2	7
144	то не	5	7
145	оно не	4	7
146	самом деле	2	7
147	все эти	3	7
148	тем что	15	7
149	сравнению с	1	7
150	ни на	1	7
151	в действительности	6	7
152	относится к	5	7
153	и тогда	2	7
154	слова и	7	7
155	не потому	2	7
156	без всякого	1	7
157	мог бы	5	7
158	никак не	3	7
159	или не	3	7
160	сама по	4	7
161	есть именно	1	7
162	и тем	5	7
163	ни от	1	7
164	от того	9	7
165	а в	11	7
166	из них	2	7
167	с чем	1	7
168	в той	1	6
169	для себя	4	6
170	в разных	2	6
171	мы говорим	3	6
172	их в	2	6
173	в своей	3	6
174	в каком	7	6
175	в данном	1	6
176	из себя	6	6
177	в одном	13	6
178	вообще но	1	6
179	и до	1	6
180	как только	1	6
181	как я	1	6
182	одна из	4	6
183	ее не	1	6
184	вопрос о	5	6
185	для всякого	3	6
186	несмотря на	5	6
187	с точки	4	6
188	все равно	1	6
189	как же	1	6
190	дело в	3	6
191	быть только	7	6
192	и другое	7	6
193	между ними	2	6
194	и бытия	1	6
195	в нем	26	6
196	и вообще	5	6
197	определенным образом	1	6
198	понимать себя	2	6
199	должны быть	11	6
200	одно и	1	6
201	можно было	1	6
202	этот вопрос	2	6
203	когда мы	4	6
204	как мы	3	6
205	бытия и	3	6
206	жизни и	3	6
207	независимо от	15	6
208	и все	6	6
209	никогда не	7	6
210	все что	5	5
211	как это	1	5
212	один из	2	5
213	на себе	3	5
214	и здесь	1	5
215	даже и	4	5
216	как к	1	5
217	тогда когда	15	5
218	мысли и	9	5
219	а есть	1	5
220	подобно тому	7	5
221	звук и	4	5
222	в жизни	5	5
223	ничем не	2	5
224	вместе с	12	5
225	да и	1	5
226	я хочу	1	5
227	себе в	2	5
228	в свою	8	5
229	и если	6	5
230	быть не	7	5
231	с а	4	5
232	и след	3	5
233	ее с	2	5
234	свою очередь	8	5
235	собою и	2	5
236	вообще и	2	5
237	это что	2	5
238	того же	13	5
239	только не	2	5
240	во всех	12	5
241	мы видим	5	5
242	есть тоже	1	5
243	что у	2	5
244	и мы	1	5
245	в его	7	5
246	отлично от	2	5
247	хотя и	6	5
248	а это	1	5
249	как можно	1	5
250	мы находим	3	5
251	знания и	1	5
252	тоже есть	1	5
253	в которой	5	5
254	но совершенно	2	5
255	на себя	1	5
256	в понятии	2	5
257	то это	8	5
258	и без	4	5
259	как она	3	5
260	между прочим	5	5
261	или что	3	5
262	об этом	1	5
263	должен быть	2	5
264	в мысли	13	5
265	тому как	8	5
266	мы должны	4	5
267	есть всегда	2	5
268	если же	5	5
269	или как	2	5
270	собственно говоря	2	5
271	на это	2	5
272	что для	5	5
273	но тогда	3	5
274	для этого	2	5
275	в чисто	1	5
276	в особенности	1	4
277	и от	5	4
278	собственном смысле	2	4
279	образом и	2	4
280	существования и	1	4
281	или других	1	4
282	переходит в	2	4
283	еще более	2	4
284	сказать даже	1	4
285	сам по	5	4
286	о которой	2	4
287	говорить что	1	4
288	более или	6	4
289	этой точки	2	4
290	равно как	1	4
291	существуют и	1	4
292	есть в	4	4
293	есть или	1	4
294	если это	2	4
295	то время	3	4
296	его на	3	4
297	с ними	2	4
298	то как	1	4
299	что смысл	1	4
300	том как	6	4
301	с этим	11	4
302	во всяком	9	4
303	его и	1	4
304	не существует	2	4
305	и более	3	4
306	в котором	5	4
307	того чтобы	4	4
308	но то	1	4
309	явления и	1	4
310	обойтись без	1	4
311	только тогда	7	4
312	об отношении	3	4
313	отношении к	1	4
314	нет никакой	1	4
315	как оно	2	4
316	же время	4	4
317	так же	7	4
318	при помощи	2	4
319	только это	1	4
320	точке зрения	4	4
321	она может	3	4
322	отличны от	1	4
323	ее как	1	4
324	на него	6	4
325	находится в	2	4
326	что все	4	4
327	что именно	2	4
328	а следовательно	1	4
329	тот же	5	4
330	не то	3	4
331	то в	6	4
332	понимает себя	1	4
333	это будет	5	4
334	к себе	1	4
335	в природу	1	4
336	и всем	1	4
337	так и	17	4
338	значит не	1	4
339	же не	2	4
340	же такое	1	4
341	в их	3	4
342	есть уже	4	4
343	и притом	6	4
344	судить о	3	4
345	смысле и	1	4
346	время как	2	4
347	не предполагает	1	4
348	и оно	1	4
349	что только	1	4
350	или менее	6	4
351	и у	3	4
352	это так	1	4
353	мы можем	10	4
354	на этом	3	4
355	не было	7	4
356	что вы	1	4
357	нужно для	1	4
358	который мы	2	4
