N	3gram	Tiupa_Anal	Morfolog
1	в этих случаях	1	14
2	мы видим что	1	11
3	в этом случае	1	10
4	не может быть	2	9
5	в связи с	1	9
6	по отношению к	9	7
7	с точки зрения	2	6
8	тем не менее	3	6
9	подобно тому как	3	5
10	с другой стороны	7	5
11	в том что	12	4
12	может быть отнесен	1	4
13	на самом деле	1	4
14	не могут быть	1	4
15	в большинстве случаев	1	3
16	о том что	7	3
17	как и в	6	3
18	для того чтобы	1	3
19	в отдельных случаях	1	3
20	в то время	1	3
21	состоит в том	2	3
22	в первом случае	1	3
23	после чего следует	1	2
24	к чему не	1	2
25	ни к чему	1	2
26	дело не в	1	2
27	получает в дар	1	2
28	хотя и не	1	2
29	под углом зрения	1	2
30	не что иное	1	2
31	можно было бы	1	2
32	точно так же	1	2
33	в данном случае	11	2
34	тех случаях когда	1	2
35	во всяком случае	6	2
36	что иное как	1	2
37	в тех случаях	1	2
38	с этого момента	2	2
39	с одной стороны	3	2
40	в таких случаях	1	2
41	в этом отношении	3	2
42	вопрос о том	1	2
43	есть не что	1	1
44	в свою очередь	7	1
45	и тот же	1	1
46	а в качестве	1	1
47	текст состоит из	1	1
48	в применении к	1	1
49	до известной степени	3	1
50	и может быть	1	1
51	видим что в	1	1
52	в подобных случаях	1	1
53	то что не	1	1
54	один и тот	1	1
55	здесь как и	1	1
56	отправляется на поиски	1	1
57	что же касается	1	1
58	во всех подобных	1	1
59	отдельных случаях может	1	1
60	а в русской	1	1
61	но как бы	1	1
62	можно сказать что	2	1
63	далеко не всегда	1	1
64	здесь мы имеем	1	1
65	в то же	7	1
66	но они не	1	1
67	но и его	1	1
68	тех или иных	1	1
69	на этот вопрос	1	1
70	вступает в брак	1	1
71	в таком случае	2	1
72	уже не может	1	1
73	во многих отношениях	2	1
74	в противном случае	2	1
75	в частности как	1	1
76	с первых же	1	1
77	и не всегда	1	1
78	до сих пор	1	1
79	всех подобных случаях	1	1
80	ни одна из	1	1
81	между собой и	1	1
82	той или иной	6	1
83	является одновременно и	1	1
84	это уже не	1	1
85	в том или	1	1
86	из них не	1	1
87	том что он	2	1
88	что они хотят	1	1
89	к этому же	1	1
90	есть на самом	1	1
91	между тем в	2	1
92	с тех пор	1	1
93	это все же	1	1
94	одна из них	1	1
95	как бы в	1	1
96	тех пор как	1	1
97	один из наиболее	1	1
98	если в первом	1	1
99	то что они	1	1
100	во втором случае	1	1
101	то же время	7	1
102	если например в	1	1
103	что и в	1	1
104	на первом месте	1	1
105	после того как	1	1
106	что несмотря на	2	1
107	и в этой	1	1
108	было бы сказать	1	1
